Squad;# Pl;90s;Performance-CrdY;Performance-CrdR;Performance-2CrdY;Performance-Fls;Performance-Fld;Performance-Off;Performance-Crs;Performance-Int;Performance-TklW;Performance-PKwon;Performance-PKcon;Performance-OG;Performance-Recov;Aerial Duels-Won;Aerial Duels-Lost;Aerial Duels-Won%;
Angers;22;8.0;12;0;0;84;108;7;85;105;115;2;2;0;576;80;104;43.5
Bordeaux;25;8.0;17;0;0;87;86;9;76;134;95;0;2;0;562;91;95;48.9
Brest;21;9.0;14;0;0;116;88;15;119;146;110;2;1;2;668;181;152;54.4
Clermont Foot;20;8.0;9;1;0;62;101;9;97;104;100;0;2;1;612;90;86;51.1
Lens;22;9.0;16;2;0;112;86;7;102;143;88;1;1;0;663;113;107;51.4
Lille;22;8.0;21;0;0;91;105;13;73;100;97;2;2;0;608;133;120;52.6
Lorient;23;8.0;25;3;3;103;90;11;68;137;94;1;3;0;612;83;128;39.3
Lyon;24;8.0;15;3;2;91;74;11;85;116;108;1;2;2;540;108;105;50.7
Marseille;22;7.0;10;1;0;46;90;9;72;98;74;1;1;1;461;74;64;53.6
Metz;26;8.0;21;2;1;105;105;8;74;150;102;1;2;2;631;150;128;54.0
Monaco;23;8.0;17;1;0;100;99;16;102;127;119;1;2;1;671;103;101;50.5
Montpellier;22;9.0;16;2;2;105;105;7;127;132;99;0;0;1;700;118;133;47.0
Nantes;21;8.0;12;0;0;93;90;10;87;139;111;1;0;0;653;146;140;51.0
Nice;22;8.0;17;0;0;108;76;10;80;131;78;1;1;0;646;122;103;54.2
Paris S-G;25;8.0;15;0;0;89;86;12;81;112;78;1;0;0;510;71;54;56.8
Reims;24;9.0;13;1;0;110;118;16;93;174;93;1;0;0;658;115;139;45.3
Rennes;26;8.0;15;1;1;119;71;9;79;87;71;0;0;0;530;113;107;51.4
Saint-Étienne;25;8.0;18;1;0;107;98;14;91;111;104;1;1;0;735;106;120;46.9
Strasbourg;20;9.0;20;2;1;128;102;14;123;163;107;1;1;1;696;139;134;50.9
Troyes;24;8.0;18;2;2;90;84;9;76;136;78;0;1;0;557;89;105;45.9
