Rk;Player;Nation;Pos;Squad;Age;Born;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;Matches;
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;33-334;1987;3.0;133;126;7;6;0;16;12;1;0;0;0;0;85;16;32;75;49;5;1;0;113;0;1;3;3;Matches
2;Salis Abdul Samed\Salis-Abdul-Samed;gh GHA;MF;Clermont Foot;21-155;2000;2.3;205;202;3;3;0;22;5;0;0;0;0;0;183;14;8;13;182;4;0;3;195;0;1;4;1;Matches
3;Laurent Abergel\Laurent-Abergel;fr FRA;MF;Lorient;28-208;1993;3.0;107;107;0;0;0;28;4;3;0;0;0;0;70;21;16;12;93;2;0;0;77;1;2;3;5;Matches
4;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;21-138;2000;0.5;6;6;0;0;0;3;0;1;0;0;0;0;5;0;1;6;0;0;0;0;2;0;0;2;0;Matches
5;Matthis Abline\Matthis-Abline;fr FRA;FW;Rennes;18-153;2003;0.2;3;3;0;0;0;0;0;1;0;0;0;0;3;0;0;0;3;0;0;0;2;0;0;0;0;Matches
6;Yacine Adli\Yacine-Adli;fr FRA;MF;Bordeaux;21-030;2000;1.1;44;42;2;2;0;6;4;1;0;0;0;0;31;1;12;2;41;1;0;0;34;0;0;2;2;Matches
7;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Rennes;25-151;1996;3.0;273;270;3;2;0;12;8;0;0;0;0;0;247;8;18;239;25;2;1;0;259;1;1;5;0;Matches
8;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;28-124;1993;1.9;194;165;29;0;0;15;2;4;1;0;1;0;142;40;12;3;160;3;28;0;180;0;2;4;2;Matches
9;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FW;Marseille;21-158;2000;0.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;Matches
10;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Strasbourg;27-161;1994;0.5;13;13;0;0;0;3;0;0;0;0;0;0;12;0;1;11;1;1;0;0;10;0;1;0;1;Matches
11;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;27-184;1994;2.8;78;77;1;0;0;22;4;3;0;0;0;0;43;22;13;49;14;5;0;2;62;0;1;3;3;Matches
12;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Metz;23-030;1998;0.7;60;54;6;0;0;7;0;1;0;0;0;0;48;7;5;4;49;0;6;0;47;0;0;4;5;Matches
13;Mohamed Ali Cho\Mohamed-Ali-Cho;fr FRA;FW;Angers;17-221;2004;2.7;42;40;2;1;0;10;3;6;0;0;0;0;29;7;6;31;10;1;0;0;30;0;2;1;2;Matches
14;Jim Allevinah\Jim-Allevinah;ga GAB;FW;Clermont Foot;26-182;1995;2.5;81;78;3;2;0;30;3;5;1;0;0;0;64;12;5;15;61;2;0;1;67;0;1;2;5;Matches
15;Benjamin André\Benjamin-Andre;fr FRA;MF;Lille;31-025;1990;3.0;214;207;7;6;0;35;10;0;0;0;0;0;158;29;27;28;165;11;1;0;181;0;3;8;5;Matches
16;Houssem Aouar\Houssem-Aouar;fr FRA;MF;Lyon;23-059;1998;4.0;199;191;8;4;1;24;3;4;2;0;1;1;165;18;16;15;179;1;0;3;175;0;0;5;4;Matches
17;Adil Aouchiche\Adil-Aouchiche;fr FRA;MFFW;Saint-Étienne;19-044;2002;1.2;77;70;7;2;0;20;8;0;5;2;3;0;55;4;18;13;59;2;0;0;57;0;3;4;1;Matches
18;Dennis Appiah\Dennis-Appiah;fr FRA;DF;Nantes;29-080;1992;2.7;99;71;28;0;0;15;0;1;0;0;0;0;47;22;30;12;53;6;28;0;62;0;6;10;6;Matches
19;Youcef Attal\Youcef-Attal;dz ALG;DF;Nice;25-103;1996;1.7;101;83;18;2;1;11;1;3;0;0;0;0;71;18;12;3;80;1;16;0;83;0;2;6;2;Matches
20;Karim Azamoum\Karim-Azamoum;fr FRA;DFFW;Troyes;31-223;1990;1.8;61;55;6;2;0;10;1;0;0;0;0;0;36;12;13;7;47;1;4;0;43;0;3;6;1;Matches
21;Loïc Bade\Loic-Bade;fr FRA;DF;Rennes;21-139;2000;3.0;219;216;3;3;0;9;3;2;0;0;0;0;204;3;12;17;198;4;0;0;206;0;3;3;0;Matches
22;Benoît Badiashile\Benoit-Badiashile;fr FRA;DF;Monaco;20-155;2001;1.0;119;118;1;1;0;5;6;0;0;0;0;0;103;6;10;98;15;4;0;0;110;0;4;3;1;Matches
23;Stéphane Bahoken\Stephane-Bahoken;cm CMR;FW;Angers;29-092;1992;0.7;6;6;0;0;0;3;0;1;0;0;0;0;6;0;0;0;6;0;0;0;6;0;0;0;0;Matches
