Squad;# Pl;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Outcomes-Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;
Angers;22;8.0;4132;3781;351;117;3;566;160;85;42;12;20;1;3129;395;608;1500;2289;101;125;62;3534;6;61;89;69
Bordeaux;25;8.0;3721;3318;403;97;5;488;145;76;30;14;6;5;2531;478;712;942;2374;118;193;29;3030;7;65;120;84
Brest;21;9.0;3974;3543;431;99;6;634;144;119;42;18;14;3;2644;506;824;1177;2273;134;202;65;3178;13;62;107;95
Clermont Foot;20;8.0;4522;4126;396;106;5;626;146;97;52;18;22;2;3327;528;667;1365;2759;128;156;58;3824;7;60;127;97
Lens;22;9.0;4407;4015;392;93;6;547;153;102;57;23;26;1;3200;509;698;1142;2802;156;162;64;3635;6;76;130;102
Lille;22;8.0;4100;3680;420;111;6;512;120;73;38;19;15;0;2869;605;626;1296;2304;153;200;56;3328;11;70;129;105
Lorient;23;8.0;3365;2997;368;93;2;558;126;68;26;11;6;5;2199;480;686;880;2131;105;159;34;2641;9;66;100;91
Lyon;24;8.0;4772;4396;376;88;16;605;135;85;48;16;18;3;3692;529;551;1343;3072;82;159;59;4141;10;54;129;62
Marseille;22;7.0;4377;4023;354;99;6;549;131;72;34;18;10;1;3423;475;479;1396;2664;82;150;39;3860;9;52;104;64
Metz;26;8.0;3513;3129;384;118;4;334;113;74;33;8;16;1;2405;435;673;730;2349;130;144;56;2780;7;71;104;78
Monaco;23;8.0;4784;4384;400;105;11;675;114;102;39;12;24;0;3481;633;670;1372;2928;164;181;69;3987;16;65;143;88
Montpellier;22;9.0;4236;3756;480;115;5;433;147;127;51;22;17;5;2730;621;885;989;2704;182;210;70;3350;7;90;136;109
Nantes;21;8.0;3018;2615;403;92;0;549;85;87;40;22;11;5;1794;483;741;870;1666;140;195;35;2209;10;85;107;94
Nice;22;8.0;4084;3732;352;86;14;560;79;80;42;14;18;3;2869;502;713;1373;2279;138;159;49;3366;10;69;121;72
Paris S-G;25;8.0;5457;5109;348;104;12;652;101;81;42;19;8;1;4475;549;433;1736;3408;79;136;56;4909;10;48;140;73
Reims;24;9.0;3692;3229;463;134;3;452;142;93;42;15;17;3;2320;605;767;1178;2027;152;207;53;2864;13;84;129;108
Rennes;26;8.0;4137;3767;370;77;8;505;120;79;43;13;23;4;3076;481;580;1256;2495;100;177;59;3515;8;59;125;69
Saint-Étienne;25;8.0;3635;3198;437;107;2;523;149;91;37;14;21;0;2460;496;679;1068;2107;139;195;52;2851;13;81;126;86
Strasbourg;20;9.0;4431;4001;430;111;6;530;164;123;40;11;24;4;2996;594;841;1281;2673;129;192;61;3543;11;70;155;101
Troyes;24;8.0;3283;2926;357;101;9;497;101;76;26;13;11;0;2168;455;660;989;1930;96;143;59;2602;8;62;114;78
