Rk;Player;Nation;Pos;Squad;Age;Born;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;Matches;
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;34-005;1987;9.0;353;424;83.3;7833;2451;94;106;88.7;202;224;90.2;56;82;68.3;0;0.1;-0.1;2;22;2;0;25;Matches
2;Salis Abdul Samed\Salis-Abdul-Samed;gh GHA;MF;Clermont Foot;21-191;2000;6.1;435;458;95.0;8457;1314;162;171;94.7;208;215;96.7;60;64;93.8;0;0.2;-0.2;2;16;1;0;11;Matches
3;Laurent Abergel\Laurent-Abergel;fr FRA;MF;Lorient;28-244;1993;8.0;308;383;80.4;5925;1589;127;140;90.7;134;155;86.5;44;64;68.8;1;1.5;-0.5;9;25;6;2;36;Matches
4;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;21-174;2000;0.5;2;6;33.3;24;0;1;2;50.0;1;3;33.3;0;0;;0;0.0;0.0;0;0;0;0;0;Matches
5;Matthis Abline\Matthis-Abline;fr FRA;FW;Rennes;18-189;2003;1.1;8;10;80.0;100;22;4;6;66.7;4;4;100.0;0;0;;0;0.0;0.0;1;1;1;0;1;Matches
6;Yacine Adli\Yacine-Adli;fr FRA;MFFW;Bordeaux;21-066;2000;4.5;163;226;72.1;3781;1046;60;69;87.0;56;71;78.9;45;77;58.4;2;1.8;+0.2;15;23;6;2;20;Matches
7;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Brest;19-236;2002;4.3;185;206;89.8;3895;822;59;64;92.2;81;87;93.1;44;50;88.0;0;0.1;-0.1;3;11;5;0;15;Matches
8;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Rennes;25-187;1996;8.0;567;609;93.1;12527;3759;140;145;96.6;317;325;97.5;109;134;81.3;0;0.0;0.0;0;17;0;0;18;Matches
9;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;28-160;1993;4.0;324;362;89.5;6023;2004;143;153;93.5;148;161;91.9;31;43;72.1;0;0.2;-0.2;3;31;6;2;31;Matches
10;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FWMF;Marseille;21-194;2000;3.3;38;48;79.2;531;109;20;24;83.3;13;15;86.7;1;3;33.3;0;0.0;0.0;0;1;0;0;3;Matches
11;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Strasbourg;27-197;1994;3.3;105;121;86.8;1751;256;43;47;91.5;51;56;91.1;9;16;56.3;0;0.2;-0.2;1;4;1;0;7;Matches
12;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;27-220;1994;7.9;180;250;72.0;2784;366;101;126;80.2;51;73;69.9;15;25;60.0;5;0.8;+4.2;7;10;8;2;14;Matches
13;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DFMF;Metz;23-066;1998;1.2;65;81;80.2;956;326;37;39;94.9;25;31;80.6;1;3;33.3;0;0.0;0.0;1;4;0;0;4;Matches
14;Mohamed Ali Cho\Mohamed-Ali-Cho;fr FRA;FW;Angers;17-257;2004;6.6;73;101;72.3;878;146;48;56;85.7;17;24;70.8;1;9;11.1;0;0.3;-0.3;3;2;3;1;4;Matches
15;Jim Allevinah\Jim-Allevinah;ga GAB;FW;Clermont Foot;26-218;1995;4.7;117;148;79.1;1871;283;66;80;82.5;39;46;84.8;8;13;61.5;0;0.2;-0.2;4;5;4;1;9;Matches
16;Jordan Amavi\Jordan-Amavi;fr FRA;DF;Marseille;27-208;1994;0.6;45;51;88.2;797;202;21;23;91.3;20;21;95.2;4;5;80.0;0;0.0;0.0;0;3;0;0;2;Matches
17;Benjamin André\Benjamin-Andre;fr FRA;MF;Lille;31-061;1990;8.0;418;503;83.1;7593;1950;185;214;86.4;154;177;87.0;57;78;73.1;0;0.5;-0.5;5;42;8;1;45;Matches
18;Houssem Aouar\Houssem-Aouar;fr FRA;MFFW;Lyon;23-095;1998;6.2;264;298;88.6;4090;1133;153;163;93.9;81;89;91.0;19;28;67.9;2;1.8;+0.2;7;30;7;1;24;Matches
19;Adil Aouchiche\Adil-Aouchiche;fr FRA;FWMF;Saint-Étienne;19-080;2002;2.3;89;131;67.9;1630;448;46;58;79.3;22;32;68.8;15;31;48.4;1;0.2;+0.8;2;7;1;0;5;Matches
20;Dennis Appiah\Dennis-Appiah;fr FRA;DF;Nantes;29-116;1992;2.8;65;102;63.7;1159;752;34;40;85.0;20;34;58.8;10;21;47.6;0;0.2;-0.2;1;3;1;1;3;Matches
21;Lorenz Assignon\Lorenz-Assignon;tg TOG;DF;Rennes;21-103;2000;1.4;75;86;87.2;1416;269;33;37;89.2;31;33;93.9;9;12;75.0;0;0.0;0.0;0;4;0;0;5;Matches
