Squad;# Pl;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;
Angers;19;3.0;1083;1320;82.0;21611;7725;412;456;90.4;477;539;88.5;167;271;61.6;5;2.6;+2.4;22;61;11;5;72
Bordeaux;21;3.0;1185;1411;84.0;24572;7837;444;488;91.0;511;570;89.6;211;300;70.3;3;1.7;+1.3;27;79;17;7;93
Brest;15;3.0;798;1041;76.7;17149;6933;288;335;86.0;338;401;84.3;154;254;60.6;3;2.8;+0.2;27;57;18;7;61
Clermont Foot;17;3.0;1519;1763;86.2;29178;8774;650;709;91.7;622;699;89.0;228;313;72.8;5;5.1;-0.1;34;97;27;9;107
Lens;20;3.0;964;1206;79.9;20121;7348;346;402;86.1;440;496;88.7;165;265;62.3;5;3.7;+1.3;29;72;17;7;97
Lille;19;3.0;1431;1741;82.2;27761;8795;598;674;88.7;580;667;87.0;229;323;70.9;2;2.8;-0.8;28;106;28;3;117
Lorient;19;3.0;767;1034;74.2;16226;6118;287;337;85.2;331;404;81.9;139;262;53.1;0;1.7;-1.7;14;61;10;4;65
Lyon;21;4.0;2150;2473;86.9;41588;12964;838;908;92.3;935;1024;91.3;322;446;72.2;2;5.4;-3.4;43;139;33;14;157
Marseille;17;2.8;1556;1755;88.7;29826;8320;672;723;92.9;654;705;92.8;215;289;74.4;4;3.5;+0.5;35;117;28;3;111
Metz;21;3.0;1164;1448;80.4;22361;7002;472;525;89.9;520;594;87.5;156;281;55.5;3;1.6;+1.4;25;76;16;4;78
Monaco;19;3.0;1807;2127;85.0;35692;9785;664;731;90.8;872;963;90.6;256;382;67.0;1;2.2;-1.2;26;149;39;11;160
Montpellier;18;3.0;1029;1311;78.5;21265;7876;408;471;86.6;417;500;83.4;186;286;65.0;4;2.7;+1.3;35;81;30;11;94
Nantes;18;4.0;933;1319;70.7;17918;7175;406;484;83.9;370;470;78.7;140;305;45.9;3;2.9;+0.1;26;80;19;8;84
Nice;17;2.8;1016;1238;82.1;20070;5981;386;439;87.9;481;537;89.6;135;218;61.9;1;1.6;+0.4;20;60;11;5;71
Paris S-G;18;3.0;2045;2229;91.7;36863;9959;920;975;94.4;895;950;94.2;209;264;79.2;7;3.7;+3.3;28;176;34;8;123
Reims;17;3.0;973;1250;77.8;19723;6788;368;430;85.6;420;478;87.9;158;275;57.5;2;3.6;-1.6;30;55;26;8;85
Rennes;19;3.0;1440;1669;86.3;30313;8471;470;521;90.2;679;742;91.5;271;368;73.6;3;2.0;+1.0;24;60;26;4;106
Saint-Étienne;22;3.0;1179;1459;80.8;22682;7568;526;583;90.2;443;513;86.4;184;297;62.0;2;2.2;-0.2;32;69;26;8;83
Strasbourg;17;3.0;1302;1595;81.6;26117;7694;506;564;89.7;580;660;87.9;199;328;60.7;2;2.3;-0.3;22;97;28;12;119
Troyes;19;3.0;1054;1301;81.0;21526;6853;407;454;89.6;444;497;89.3;186;300;62.0;2;1.9;+0.1;19;47;19;10;52
