Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;Matches;
1;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;33-334;1987;3.0;174;12;91;85;14;8;168;0;4;0.0;0;0;104;714;398;9;1;0;0;1;114;111;97.4;3;Matches
2;Salis Abdul Samed\Salis-Abdul-Samed;gh GHA;MF;Clermont Foot;21-155;2000;2.3;218;5;62;151;21;1;216;0;2;0.0;0;0;189;748;335;5;2;0;0;2;191;187;97.9;7;Matches
3;Laurent Abergel\Laurent-Abergel;fr FRA;MF;Lorient;28-208;1993;3.0;147;0;44;90;27;1;147;3;5;60.0;3;1;102;505;313;13;4;1;4;5;100;86;86.0;8;Matches
4;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;21-138;2000;0.5;12;0;0;5;9;3;12;0;0;;0;0;9;59;9;0;1;0;4;0;12;8;66.7;2;Matches
5;Matthis Abline\Matthis-Abline;fr FRA;FW;Rennes;18-153;2003;0.2;4;0;0;1;3;1;4;0;0;;0;0;3;17;13;1;0;0;1;0;10;4;40.0;4;Matches
6;Yacine Adli\Yacine-Adli;fr FRA;MF;Bordeaux;21-030;2000;1.1;60;2;8;37;22;1;58;0;2;0.0;0;0;48;163;94;5;2;0;3;8;53;46;86.8;3;Matches
7;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Rennes;25-151;1996;3.0;310;30;169;157;4;3;307;1;1;100.0;1;0;235;862;385;2;0;0;0;2;255;252;98.8;0;Matches
8;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;28-124;1993;1.9;214;5;43;128;53;0;185;2;2;100.0;2;0;153;665;366;22;3;0;1;1;146;144;98.6;3;Matches
9;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FW;Marseille;21-158;2000;0.0;2;1;2;0;0;0;2;0;0;;0;0;1;19;0;0;0;0;0;0;1;0;0.0;0;Matches
10;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Strasbourg;27-161;1994;0.5;23;3;7;14;3;0;23;0;1;0.0;1;0;12;35;18;1;1;0;1;0;11;11;100.0;1;Matches
11;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;27-184;1994;2.8;111;3;12;38;62;12;110;4;4;100.0;4;0;57;205;97;6;0;1;4;1;158;78;49.4;32;Matches
12;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Metz;23-030;1998;0.7;74;5;26;38;13;0;69;2;2;100.0;2;1;51;171;85;3;2;0;1;0;53;49;92.5;0;Matches
13;Mohamed Ali Cho\Mohamed-Ali-Cho;fr FRA;FW;Angers;17-221;2004;2.7;87;1;4;41;53;12;86;8;14;57.1;8;0;75;466;368;18;5;5;12;5;124;64;51.6;25;Matches
14;Jim Allevinah\Jim-Allevinah;ga GAB;FW;Clermont Foot;26-182;1995;2.5;115;0;20;58;57;14;113;5;6;83.3;5;1;104;991;686;29;15;5;7;9;119;93;78.2;14;Matches
15;Benjamin André\Benjamin-Andre;fr FRA;MF;Lille;31-025;1990;3.0;250;7;54;167;38;3;244;1;2;50.0;1;0;137;678;402;20;1;0;7;4;200;186;93.0;7;Matches
16;Houssem Aouar\Houssem-Aouar;fr FRA;MF;Lyon;23-059;1998;4.0;262;2;40;143;107;19;257;18;28;64.3;19;0;216;1033;655;36;14;2;9;3;252;202;80.2;25;Matches
17;Adil Aouchiche\Adil-Aouchiche;fr FRA;MFFW;Saint-Étienne;19-044;2002;1.2;89;1;13;49;39;2;82;2;2;100.0;2;0;57;313;217;11;5;0;3;2;77;64;83.1;6;Matches
18;Dennis Appiah\Dennis-Appiah;fr FRA;DF;Nantes;29-080;1992;2.7;128;16;58;50;24;0;100;4;7;57.1;5;1;60;193;86;4;0;0;2;2;59;52;88.1;2;Matches
19;Youcef Attal\Youcef-Attal;dz ALG;DF;Nice;25-103;1996;1.7;129;5;32;76;39;2;112;2;3;66.7;2;0;77;611;439;23;10;1;2;1;83;76;91.6;2;Matches
20;Karim Azamoum\Karim-Azamoum;fr FRA;DFFW;Troyes;31-223;1990;1.8;73;10;50;19;6;1;67;1;1;100.0;1;0;52;259;124;3;0;0;2;1;56;53;94.6;2;Matches
21;Loïc Bade\Loic-Bade;fr FRA;DF;Rennes;21-139;2000;3.0;247;34;130;128;3;0;245;0;0;;0;0;197;1355;778;15;2;0;1;0;209;206;98.6;0;Matches
22;Benoît Badiashile\Benoit-Badiashile;fr FRA;DF;Monaco;20-155;2001;1.0;128;8;32;96;8;2;127;0;1;0.0;0;0;98;566;396;13;2;0;0;0;111;110;99.1;0;Matches
23;Stéphane Bahoken\Stephane-Bahoken;cm CMR;FW;Angers;29-092;1992;0.7;17;0;1;11;6;2;17;0;0;;0;0;12;41;23;2;0;1;4;3;20;11;55.0;3;Matches
24;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DF;Marseille;22-214;1999;2.0;186;17;70;124;2;1;183;4;4;100.0;4;0;137;792;474;14;1;0;2;1;147;136;92.5;0;Matches
25;Jonathan Bamba\Jonathan-Bamba;fr FRA;MF;Lille;25-155;1996;2.8;201;1;26;100;90;13;188;3;8;37.5;3;1;134;601;324;23;6;2;11;11;180;145;80.6;26;Matches
26;Simon Banza\Simon-Banza;fr FRA;FW;Lens;25-015;1996;1.1;41;1;2;23;20;4;39;5;6;83.3;5;0;25;89;63;5;1;0;4;1;42;29;69.0;3;Matches
