Squad;# Pl;Poss;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;
Angers;22;50.8;8.0;5141;438;1748;2602;1108;153;4800;98;184;53.3;104;6;3462;16171;8904;340;98;31;117;118;3963;3534;89.2;236
Bordeaux;25;47.3;8.0;4636;485;1500;2496;940;133;4247;79;148;53.4;89;9;3024;15430;7797;282;74;20;103;105;3508;3030;86.4;222
Brest;21;43.9;9.0;5036;582;1836;2265;1260;201;4614;84;166;50.6;95;7;3153;16943;9747;329;98;31;124;110;3728;3178;85.2;266
Clermont Foot;20;53.8;8.0;5396;497;1886;2643;1174;184;5015;83;149;55.7;87;5;3780;16781;8977;336;93;33;90;113;4307;3824;88.8;256
Lens;22;48.2;9.0;5377;484;1527;2956;1285;183;4996;76;120;63.3;80;2;3405;18380;10325;452;150;32;121;97;4192;3635;86.7;307
Lille;22;53.4;8.0;5048;468;1599;2635;1123;182;4638;69;122;56.6;74;9;3063;15406;8798;340;88;29;137;71;3910;3328;85.1;268
Lorient;23;42.4;8.0;4360;491;1575;2177;869;95;3995;63;114;55.3;67;2;2545;11256;6305;271;83;25;104;114;3162;2641;83.5;212
Lyon;24;59.1;8.0;5746;536;1865;2917;1349;189;5390;103;175;58.9;110;9;3913;18759;10463;393;115;40;107;97;4675;4141;88.6;284
Marseille;22;60.9;7.0;5153;433;1510;2783;1234;180;4812;71;119;59.7;76;4;3743;19354;10824;441;120;42;84;98;4242;3860;91.0;245
Metz;26;47.3;8.0;4559;439;1520;2359;954;115;4188;61;121;50.4;71;6;2795;14782;7885;306;76;14;132;101;3320;2780;83.7;185
Monaco;23;60.6;8.0;5656;409;1444;3115;1430;210;5274;75;142;52.8;80;4;3880;18269;9826;438;121;32;115;103;4641;3987;85.9;336
Montpellier;22;50.0;9.0;5227;635;1781;2529;1240;174;4761;89;150;59.3;97;4;3183;17217;9554;362;104;28;110;105;3915;3350;85.6;273
Nantes;21;39.5;8.0;3968;401;1268;1819;1092;173;3569;59;122;48.4;66;6;2137;10683;5926;235;66;35;121;91;2784;2209;79.3;193
Nice;22;52.0;8.0;5005;421;1589;2636;1103;182;4665;85;130;65.4;90;5;3410;17269;9180;356;108;26;113;94;3831;3366;87.9;243
Paris S-G;25;62.1;8.0;6339;493;1596;3469;1708;227;6011;101;174;58.0;108;4;4743;21790;12208;511;163;47;105;100;5354;4909;91.7;333
Reims;24;42.4;9.0;4732;565;1847;2107;1106;171;4281;82;153;53.6;94;10;2964;15158;8370;306;104;22;115;100;3531;2864;81.1;226
Rennes;26;54.5;8.0;5004;491;1602;2523;1217;187;4652;53;110;48.2;53;7;3462;18469;10103;364;108;30;87;91;3999;3515;87.9;281
Saint-Étienne;25;49.3;8.0;4714;481;1564;2354;1110;146;4296;82;164;50.0;91;7;2871;15049;8273;330;113;27;139;117;3369;2851;84.6;221
Strasbourg;20;48.0;9.0;5453;580;1839;2731;1242;186;5050;75;117;64.1;80;3;3377;18011;9663;331;98;25;112;91;4238;3543;83.6;307
Troyes;24;39.5;8.0;4174;618;1794;1825;785;125;3827;66;123;53.7;73;6;2678;12822;6792;231;76;16;94;91;3105;2602;83.8;160
