Squad;# Pl;90s;Standard-Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Standard-PK;Standard-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;
Angers;19;3.0;5;28;11;39.3;9.33;3.67;0.18;0.45;16.8;1;0;0;3.2;3.2;0.11;+1.8;+1.8
Bordeaux;21;3.0;3;32;13;40.6;10.67;4.33;0.09;0.23;21.9;1;0;0;1.9;1.9;0.06;+1.1;+1.1
Brest;15;3.0;4;34;15;44.1;11.33;5.00;0.12;0.27;15.0;1;0;0;3.5;3.5;0.11;+0.5;+0.5
Clermont Foot;17;3.0;6;52;22;42.3;17.33;7.33;0.12;0.27;15.4;2;0;0;6.8;6.8;0.13;-0.8;-0.8
Lens;20;3.0;5;37;15;40.5;12.33;5.00;0.14;0.33;16.4;0;0;0;4.6;4.6;0.13;+0.4;+0.4
Lille;19;3.0;3;36;14;38.9;12.00;4.67;0.08;0.21;16.7;2;0;0;3.6;3.6;0.10;-0.6;-0.6
Lorient;19;3.0;2;18;8;44.4;6.00;2.67;0.06;0.13;18.4;0;1;1;2.8;2.0;0.11;-0.8;-1.0
Lyon;21;4.0;5;58;21;36.2;14.50;5.25;0.07;0.19;15.7;1;1;1;7.9;7.2;0.13;-2.9;-3.2
Marseille;17;2.8;5;41;12;29.3;14.76;4.32;0.12;0.42;16.5;5;0;0;3.9;3.9;0.09;+1.1;+1.1
Metz;21;3.0;4;33;15;45.5;11.00;5.00;0.12;0.27;21.3;1;0;0;2.5;2.5;0.08;+1.5;+1.5
Monaco;19;3.0;1;37;7;18.9;12.33;2.33;0.03;0.14;16.1;2;0;0;3.3;3.3;0.10;-2.3;-2.3
Montpellier;18;3.0;7;54;17;31.5;18.00;5.67;0.13;0.41;17.9;3;0;0;5.4;5.4;0.10;+1.6;+1.6
Nantes;18;4.0;3;38;13;34.2;9.50;3.25;0.08;0.23;17.3;2;0;0;3.5;3.5;0.09;-0.5;-0.5
Nice;17;2.8;4;33;11;33.3;11.88;3.96;0.09;0.27;14.9;1;1;1;4.1;3.5;0.11;+0.9;+0.5
Paris S-G;18;3.0;9;39;15;38.5;13.00;5.00;0.23;0.60;17.6;1;0;0;5.1;5.1;0.13;+3.9;+3.9
Reims;17;3.0;4;38;13;34.2;12.67;4.33;0.11;0.31;17.1;0;0;0;3.9;3.9;0.11;+0.1;+0.1
Rennes;19;3.0;3;31;9;29.0;10.33;3.00;0.10;0.33;16.9;1;0;0;2.5;2.5;0.08;+0.5;+0.5
Saint-Étienne;22;3.0;4;41;10;24.4;13.67;3.33;0.07;0.30;20.0;0;1;1;3.8;3.0;0.08;+0.2;0.0
Strasbourg;17;3.0;3;29;7;24.1;9.67;2.33;0.10;0.43;16.3;0;0;0;3.2;3.2;0.11;-0.2;-0.2
Troyes;19;3.0;2;31;14;45.2;10.33;4.67;0.06;0.14;17.5;0;0;0;2.5;2.5;0.08;-0.5;-0.5
