Squad;# Pl;Age;Poss;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;
Angers;19;27.7;44.0;3;33;270;3.0;5;5;5;0;0;4;0;1.67;1.67;3.33;1.67;3.33;3.2;3.2;2.6;5.8;1.05;0.88;1.93;1.05;1.93
Bordeaux;21;26.5;43.0;3;33;270;3.0;3;3;3;0;0;5;0;1.00;1.00;2.00;1.00;2.00;1.9;1.9;1.7;3.6;0.63;0.56;1.19;0.63;1.19
Brest;15;25.1;32.7;3;33;270;3.0;4;3;4;0;0;4;0;1.33;1.00;2.33;1.33;2.33;3.5;3.5;2.8;6.3;1.17;0.93;2.10;1.17;2.10
Clermont Foot;17;28.1;55.0;3;33;270;3.0;6;5;6;0;0;3;0;2.00;1.67;3.67;2.00;3.67;6.8;6.8;5.1;11.9;2.27;1.71;3.98;2.27;3.98
Lens;20;26.9;42.3;3;33;270;3.0;5;5;5;0;0;4;1;1.67;1.67;3.33;1.67;3.33;4.6;4.6;3.7;8.3;1.53;1.25;2.78;1.53;2.78
Lille;19;27.0;59.0;3;33;270;3.0;3;2;3;0;0;8;0;1.00;0.67;1.67;1.00;1.67;3.6;3.6;2.8;6.4;1.19;0.94;2.14;1.19;2.14
Lorient;19;27.6;36.3;3;33;270;3.0;2;0;1;1;1;12;2;0.67;0.00;0.67;0.33;0.33;2.8;2.0;1.7;3.7;0.92;0.57;1.49;0.67;1.24
Lyon;21;26.1;61.5;4;44;360;4.0;5;2;4;1;1;10;2;1.25;0.50;1.75;1.00;1.50;7.9;7.2;5.4;12.6;1.97;1.35;3.32;1.81;3.16
Marseille;17;25.4;64.0;3;22;250;2.8;5;4;5;0;0;3;1;1.80;1.44;3.24;1.80;3.24;3.9;3.9;3.5;7.3;1.29;1.15;2.44;1.29;2.44
Metz;21;25.5;53.7;3;33;270;3.0;4;3;4;0;0;5;1;1.33;1.00;2.33;1.33;2.33;2.5;2.5;1.6;4.1;0.83;0.55;1.38;0.83;1.38
Monaco;19;24.3;73.0;3;33;270;3.0;1;1;1;0;0;3;1;0.33;0.33;0.67;0.33;0.67;3.3;3.3;2.2;5.5;1.09;0.73;1.83;1.09;1.83
Montpellier;18;25.5;46.7;3;33;270;3.0;7;4;7;0;0;1;0;2.33;1.33;3.67;2.33;3.67;5.4;5.4;2.7;8.1;1.80;0.90;2.70;1.80;2.70
Nantes;18;27.0;33.8;4;44;360;4.0;3;3;3;0;0;6;0;0.75;0.75;1.50;0.75;1.50;3.5;3.5;2.9;6.4;0.87;0.72;1.59;0.87;1.59
Nice;17;24.8;49.5;3;22;250;2.8;4;1;3;1;1;2;0;1.44;0.36;1.80;1.08;1.44;4.1;3.5;1.6;5.1;1.36;0.53;1.89;1.18;1.71
Paris S-G;18;27.7;65.3;3;33;270;3.0;9;7;9;0;0;7;0;3.00;2.33;5.33;3.00;5.33;5.1;5.1;3.7;8.7;1.68;1.22;2.91;1.68;2.91
Reims;17;25.2;46.0;3;33;270;3.0;4;2;4;0;0;5;0;1.33;0.67;2.00;1.33;2.00;3.9;3.9;3.6;7.5;1.31;1.20;2.51;1.31;2.51
Rennes;19;24.7;60.3;3;33;270;3.0;3;3;3;0;0;5;0;1.00;1.00;2.00;1.00;2.00;2.5;2.5;2.0;4.5;0.82;0.68;1.49;0.82;1.49
Saint-Étienne;22;24.6;50.7;3;33;270;3.0;4;2;3;1;1;9;0;1.33;0.67;2.00;1.00;1.67;3.8;3.0;2.2;5.2;1.26;0.72;1.97;1.00;1.72
Strasbourg;17;27.2;50.7;3;33;270;3.0;3;2;3;0;0;9;1;1.00;0.67;1.67;1.00;1.67;3.2;3.2;2.3;5.5;1.05;0.78;1.83;1.05;1.83
Troyes;19;27.6;39.7;3;33;270;3.0;2;2;2;0;0;5;1;0.67;0.67;1.33;0.67;1.33;2.5;2.5;1.9;4.4;0.85;0.63;1.48;0.85;1.48
