Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Playing Time-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success-On-Off;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;Team Success (xG)-On-Off;Matches;
1;Rocco Ascone\Rocco-Ascone;fr FRA;FW;Lille;17-350;2003;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
2;Yunis Abdelhamid\Yunis-Abdelhamid;ma MAR;DF;Reims;33-334;1987;3;270;90;100.0;3.0;3;90;3;0;;0;1.00;4;4;0;0.00;;3.9;3.6;+0.4;+0.12;;Matches
3;Salis Abdul Samed\Salis-Abdul-Samed;gh GHA;MF;Clermont Foot;21-155;2000;3;211;70;78.1;2.3;2;90;2;1;31;0;2.33;6;0;+6;+2.56;+5.61;6.0;2.5;+3.5;+1.50;+4.20;Matches
4;Laurent Abergel\Laurent-Abergel;fr FRA;MF;Lorient;28-208;1993;3;270;90;100.0;3.0;3;90;3;0;;0;1.33;3;4;-1;-0.33;;2.8;5.8;-3.0;-1.02;;Matches
5;Charles Abi\Charles-Abi;fr FRA;FW;Saint-Étienne;21-138;2000;1;45;45;16.7;0.5;1;45;0;0;;0;1.00;0;0;0;0.00;0.00;0.7;0.9;-0.2;-0.31;-0.16;Matches
6;Matthis Abline\Matthis-Abline;fr FRA;FW;Rennes;18-153;2003;3;16;5;5.9;0.2;0;;0;3;5;0;1.67;0;1;-1;-5.63;-6.33;0.1;1.1;-1.0;-5.37;-5.16;Matches
7;Yacine Adli\Yacine-Adli;fr FRA;MF;Bordeaux;21-030;2000;3;96;32;35.6;1.1;1;45;0;2;26;0;0.67;0;0;0;0.00;+1.03;0.5;1.4;-0.9;-0.85;+0.42;Matches
8;Nayef Aguerd\Nayef-Aguerd;ma MAR;DF;Rennes;25-151;1996;3;270;90;100.0;3.0;3;90;3;0;;0;1.67;3;2;+1;+0.33;;2.5;4.0;-1.5;-0.52;;Matches
9;Ruben Aguilar\Ruben-Aguilar;fr FRA;DF;Monaco;28-124;1993;2;173;87;64.1;1.9;2;87;1;0;;1;0.50;1;2;-1;-0.52;+1.34;2.4;0.6;+1.8;+0.94;+1.24;Matches
10;Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng;sn SEN;FW;Marseille;21-158;2000;1;2;2;0.8;0.0;0;;0;1;2;2;3.00;0;0;0;0.00;0.00;0.0;0.0;0.0;-0.11;-0.73;Matches
11;Aymeric Ahmed\Aymeric-Ahmed;fr FRA;MF;Strasbourg;17-293;2003;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
12;Jean-Eudes Aholou\Jean-Eudes-Aholou;ci CIV;MF;Strasbourg;27-161;1994;2;48;24;17.8;0.5;1;41;0;1;7;0;0.00;0;3;-3;-5.63;-5.22;0.2;1.1;-0.8;-1.57;-1.31;Matches
13;Ludovic Ajorque\Ludovic-Ajorque;re REU;FW;Strasbourg;27-184;1994;3;255;85;94.4;2.8;3;85;2;0;;0;0.33;3;6;-3;-1.06;+4.94;2.9;3.8;-0.9;-0.31;+3.24;Matches
14;Sofiane Alakouch\Sofiane-Alakouch;fr FRA;DF;Metz;23-030;1998;1;61;61;22.6;0.7;0;;0;1;61;2;0.00;0;1;-1;-1.48;-1.04;1.0;0.8;+0.2;+0.31;+1.20;Matches
15;Josué Albert\Josue-Albert;gf GUF;DF;Clermont Foot;29-219;1992;0;;;;;0;;0;0;;3;;;;;;;;;;;;Matches
16;Mohamed Ali Cho\Mohamed-Ali-Cho;fr FRA;FW;Angers;17-221;2004;3;239;80;88.5;2.7;3;80;0;0;;0;2.33;5;1;+4;+1.51;-1.40;3.0;2.0;+1.0;+0.37;+0.11;Matches
17;Rachid Alioui\Rachid-Alioui;ma MAR;FW;Angers;29-071;1992;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
