Squad;# Pl;Age;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Starts-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;
Angers;19;27.7;3;270;90;100;3.0;33;85;20;13;13;14;2.33;6;1;+5;+1.67;3.2;2.1;+1.1;+0.36
Bordeaux;21;26.5;3;270;90;100;3.0;33;79;18;15;24;12;0.67;3;5;-2;-0.67;1.9;5.2;-3.4;-1.12
Brest;15;25.1;3;270;90;100;3.0;33;84;23;10;20;17;0.67;4;6;-2;-0.67;3.5;3.6;-0.1;-0.05
Clermont Foot;17;28.1;3;270;90;100;3.0;33;82;20;13;19;14;2.33;7;3;+4;+1.33;6.8;5.1;+1.8;+0.58
Lens;20;26.9;3;270;90;100;3.0;33;82;18;15;16;12;1.67;5;3;+2;+0.67;4.6;2.3;+2.3;+0.77
Lille;19;27.0;3;270;90;100;3.0;33;84;24;9;22;18;0.67;4;8;-4;-1.33;3.6;3.3;+0.3;+0.10
Lorient;19;27.6;3;270;90;100;3.0;33;83;18;14;15;14;1.33;3;4;-1;-0.33;2.8;5.8;-3.0;-1.02
Lyon;21;26.1;4;360;90;100;4.0;44;81;28;14;25;21;1.25;5;7;-2;-0.50;7.9;4.7;+3.1;+0.78
Marseille;17;25.4;3;250;83;100;2.8;22;85;14;7;14;16;2.00;5;4;+1;+0.36;3.9;2.0;+1.9;+0.62
Metz;21;25.5;3;270;90;100;3.0;33;81;22;12;22;15;0.67;4;6;-2;-0.67;2.5;4.3;-1.8;-0.61
Monaco;19;24.3;3;270;90;100;3.0;33;79;17;15;24;12;0.33;1;4;-3;-1.00;3.3;1.8;+1.5;+0.49
Montpellier;18;25.5;3;270;90;100;3.0;33;84;19;14;14;13;1.33;8;7;+1;+0.33;5.4;4.9;+0.5;+0.17
Nantes;18;27.0;4;360;90;100;4.0;44;82;25;19;18;16;1.00;3;3;0;0.00;3.5;5.8;-2.3;-0.58
Nice;17;24.8;3;250;83;100;2.8;22;82;12;10;18;15;2.00;4;0;+4;+1.44;4.1;2.0;+2.1;+0.68
Paris S-G;18;27.7;3;270;90;100;3.0;33;87;24;9;12;18;3.00;10;5;+5;+1.67;5.1;2.6;+2.5;+0.83
Reims;17;25.2;3;270;90;100;3.0;33;80;22;11;30;16;1.00;4;4;0;0.00;3.9;3.6;+0.4;+0.12
Rennes;19;24.7;3;270;90;100;3.0;33;84;18;15;13;12;1.67;3;2;+1;+0.33;2.5;4.0;-1.5;-0.52
Saint-Étienne;22;24.6;3;270;90;100;3.0;33;81;18;15;19;12;1.00;4;4;0;0.00;3.8;4.3;-0.5;-0.17
Strasbourg;17;27.2;3;270;90;100;3.0;33;83;22;10;23;16;0.33;3;7;-4;-1.33;3.2;4.6;-1.5;-0.50
Troyes;19;27.6;3;270;90;100;3.0;33;80;19;13;20;13;0.33;2;5;-3;-1.00;2.5;5.6;-3.1;-1.02
