Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tkl;TklW;Def 3rdDef;Mid 3rdDef;Att 3rdDef;TklVsDr;Att;Tkl%;Past;Press;Succ;%;DefPre 3rdDefPre;MidPre 3rdDefPre;AttPre 3rdDefPre;Blocks;Sh;ShSv;Pass;Int;Clr;Err;Matches
1;Antonio Adán\Antonio-Adan;es ESP;GK;Atlético Madrid;32;1987;0.3;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
2;Aritz Aduriz\Aritz-Aduriz;es ESP;FW;Athletic Bilbao;38;1981;2.2;1;1;0;1;0;0;0;;0;16;4;25.0;4;5;7;0;0;0;0;0;3;0;Matches
3;Lumor Agbenyenu\Lumor-Agbenyenu;gh GHA;DF;Mallorca;22;1996;17.9;31;20;21;7;3;15;31;48.4;16;213;62;29.1;124;65;24;33;1;0;32;24;57;0;Matches
4;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;23;1996;17.0;36;18;16;17;3;16;36;44.4;20;184;46;25.0;82;86;16;31;6;0;25;11;46;1;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;23;1995;20.9;24;15;17;7;0;3;19;15.8;16;212;72;34.0;163;46;3;35;13;0;22;37;121;0;Matches
6;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;30;1989;15.3;16;8;8;4;4;4;14;28.6;10;151;39;25.8;60;62;29;16;3;0;13;22;28;0;Matches
7;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;33;1985;26.0;42;29;24;17;1;15;20;75.0;5;199;59;29.6;121;74;4;29;17;0;12;32;191;4;Matches
8;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;25;1993;5.5;3;1;1;2;0;1;3;33.3;2;68;23;33.8;8;31;29;5;1;0;4;1;5;0;Matches
9;Rubén Alcaraz\Ruben-Alcaraz;es ESP;MF;Valladolid;28;1991;13.7;42;27;23;17;2;18;44;40.9;26;268;84;31.3;100;149;19;37;11;0;26;10;43;0;Matches
10;Álex Alegría\Alex-Alegria;es ESP;FW;Mallorca;26;1992;1.1;1;0;0;1;0;0;0;;0;21;6;28.6;1;8;12;1;0;0;1;0;0;0;Matches
11;Carles Aleñá\Carles-Alena;es ESP;MFFW;Betis;21;1998;4.9;17;9;2;9;6;6;12;50.0;6;83;17;20.5;21;40;22;5;1;0;4;1;1;0;Matches
12;Carles Aleñá\Carles-Alena;es ESP;MF;Barcelona;21;1998;1.9;2;1;1;1;0;1;5;20.0;4;38;6;15.8;10;21;7;2;0;0;2;0;1;0;Matches
13;Sergio Álvarez\Sergio-Alvarez;es ESP;MFDF;Eibar;27;1992;7.8;17;10;9;7;1;7;20;35.0;13;164;52;31.7;53;91;20;15;1;0;14;10;42;0;Matches
14;Sergio Álvarez\Sergio-Alvarez;es ESP;GK;Celta Vigo;32;1986;2.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;Matches
15;Yeray Álvarez\Yeray-Alvarez;es ESP;DF;Athletic Bilbao;24;1995;25.0;32;19;23;8;1;11;24;45.8;13;168;61;36.3;110;47;11;45;18;2;27;50;213;2;Matches
16;Ibrahim Amadou\Ibrahim-Amadou;fr FRA;MF;Leganés;26;1993;1.0;2;2;1;1;0;1;2;50.0;1;21;6;28.6;9;9;3;0;0;0;0;0;1;0;Matches
