Squad;# Pl;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;
Arminia;16;2.0;36;23;21;13;2;10;20;50.0;10;315;86;27.3;110;138;67;25;6;0;19;28;64;59;2
Augsburg;19;2.0;27;14;8;17;2;6;25;24.0;19;269;86;32.0;106;110;53;35;9;0;26;33;60;62;0
Bayern Munich;18;2.0;38;21;17;15;6;12;32;37.5;20;293;96;32.8;86;132;75;29;3;0;26;23;61;44;1
Bochum;19;2.0;27;15;15;9;3;8;22;36.4;14;226;66;29.2;103;94;29;29;10;1;19;32;59;74;1
Dortmund;22;3.0;46;35;20;24;2;15;34;44.1;19;401;141;35.2;118;172;111;57;9;0;48;33;79;51;0
Eint Frankfurt;17;2.0;35;21;13;17;5;7;30;23.3;23;244;68;27.9;82;104;58;35;4;0;31;36;71;43;1
Freiburg;19;2.0;28;18;13;8;7;15;34;44.1;19;196;67;34.2;84;72;40;35;10;0;25;37;65;85;1
Greuther Fürth;17;2.0;28;15;9;14;5;12;33;36.4;21;267;69;25.8;89;116;62;31;11;0;20;21;49;42;1
Hertha BSC;19;2.0;33;17;13;16;4;16;38;42.1;22;278;83;29.9;99;128;51;50;8;0;42;17;50;66;0
Hoffenheim;17;3.0;56;33;22;24;10;20;48;41.7;28;399;122;30.6;127;183;89;43;8;0;35;37;93;72;1
Köln;18;2.0;48;29;22;22;4;15;45;33.3;30;366;124;33.9;110;167;89;27;6;0;21;49;97;35;0
Leverkusen;16;2.0;42;26;26;16;0;17;29;58.6;12;231;90;39.0;74;126;31;21;1;0;20;28;70;26;0
M'Gladbach;17;2.0;52;24;22;20;10;29;63;46.0;34;336;94;28.0;81;170;85;30;7;0;23;34;86;46;0
Mainz 05;19;2.0;28;16;14;9;5;13;30;43.3;17;244;80;32.8;85;91;68;28;6;0;22;33;61;62;0
RB Leipzig;19;2.0;31;21;6;20;5;9;24;37.5;15;270;104;38.5;63;143;64;37;6;0;31;29;60;57;1
Stuttgart;18;2.0;33;18;15;15;3;13;26;50.0;13;281;79;28.1;78;141;62;27;11;1;16;19;52;34;0
Union Berlin;17;2.0;38;23;21;10;7;16;36;44.4;20;356;99;27.8;101;176;79;31;9;0;22;33;71;56;0
Wolfsburg;17;2.0;34;19;18;11;5;10;28;35.7;18;249;73;29.3;63;108;78;26;6;0;20;25;59;37;0
