Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;W;D;L;Performance-CS;Performance-CS%;Performance-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;Matches;
1;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;31-123;1990;7;7;630;7.0;11;1.57;37;26;70.3;2;2;3;2;28.6;0;0;0;0;;Matches
2;Sascha Burchert\Sascha-Burchert;de GER;GK;Greuther Fürth;31-338;1989;6;6;540;6.0;16;2.67;35;21;57.1;0;1;5;0;0.0;1;1;0;0;0.0;Matches
3;Koen Casteels\Koen-Casteels;be BEL;GK;Wolfsburg;29-100;1992;7;7;630;7.0;8;1.14;24;18;70.8;4;1;2;3;42.9;2;1;1;0;50.0;Matches
4;Mark Flekken\Mark-Flekken;nl NED;GK;Freiburg;28-112;1993;7;7;630;7.0;5;0.71;26;22;80.8;4;3;0;3;42.9;0;0;0;0;;Matches
5;Marius Funk\Marius-Funk;de GER;GK;Greuther Fürth;25-275;1996;1;1;90;1.0;3;3.00;8;5;62.5;0;0;1;0;0.0;0;0;0;0;;Matches
6;Rafał Gikiewicz\Rafal-Gikiewicz;pl POL;GK;Augsburg;33-342;1987;7;7;630;7.0;13;1.86;32;21;65.6;1;2;4;3;42.9;2;2;0;0;0.0;Matches
7;Péter Gulácsi\Peter-Gulacsi;hu HUN;GK;RB Leipzig;31-150;1990;7;7;630;7.0;7;1.00;24;18;75.0;3;1;3;3;42.9;1;1;0;0;0.0;Matches
8;Timo Horn\Timo-Horn;de GER;GK;Köln;28-144;1993;7;7;630;7.0;9;1.29;30;22;70.0;3;3;1;0;0.0;0;0;0;0;;Matches
9;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;Leverkusen;31-313;1989;6;6;540;6.0;7;1.17;30;24;80.0;4;1;1;2;33.3;2;1;1;0;50.0;Matches
10;Gregor Kobel\Gregor-Kobel;ch SUI;GK;Dortmund;23-301;1997;7;7;630;7.0;13;1.86;28;17;57.1;5;0;2;0;0.0;1;1;0;0;0.0;Matches
11;Andreas Luthe\Andreas-Luthe;de GER;GK;Union Berlin;34-207;1987;6;6;540;6.0;8;1.33;24;17;66.7;2;3;1;2;33.3;0;0;0;0;;Matches
12;Florian Müller\Florian-Muller;de GER;GK;Stuttgart;23-324;1997;7;7;630;7.0;13;1.86;37;25;67.6;2;2;3;1;14.3;1;1;0;0;0.0;Matches
13;Manuel Neuer\Manuel-Neuer;de GER;GK;Bayern Munich;35-190;1986;6;6;540;6.0;5;0.83;21;16;76.2;5;1;0;2;33.3;0;0;0;0;;Matches
14;Stefan Ortega\Stefan-Ortega;de GER;GK;Arminia;28-331;1992;6;6;540;6.0;6;1.00;25;20;80.0;0;4;2;2;33.3;1;1;0;0;0.0;Matches
15;Manuel Riemann\Manuel-Riemann;de GER;GK;Bochum;33-024;1988;7;7;630;7.0;16;2.29;44;29;63.6;1;1;5;2;28.6;1;0;1;0;100.0;Matches
16;Alexander Schwolow\Alexander-Schwolow;de GER;GK;Hertha BSC;29-123;1992;7;7;630;7.0;20;2.86;36;17;50.0;2;0;5;0;0.0;2;2;0;0;0.0;Matches
17;Yann Sommer\Yann-Sommer;ch SUI;GK;M'Gladbach;32-290;1988;7;7;630;7.0;10;1.43;30;21;66.7;3;1;3;1;14.3;0;0;0;0;;Matches
18;Kevin Trapp\Kevin-Trapp;de GER;GK;Eint Frankfurt;31-087;1990;6;6;540;6.0;9;1.50;22;13;59.1;0;5;1;1;16.7;0;0;0;0;;Matches
19;Robin Zentner\Robin-Zentner;de GER;GK;Mainz 05;26-340;1994;6;6;540;6.0;3;0.50;17;14;82.4;3;1;2;4;66.7;0;0;0;0;;Matches
