Squad;# Pl;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;Performance-W;Performance-D;Performance-L;Performance-CS;Performance-CS%;Penalty Kicks-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;
Arminia;1;6;6;540;6.0;6;1.00;25;20;80.0;0;4;2;2;33.3;1;1;0;0;0.0
Augsburg;1;7;7;630;7.0;13;1.86;32;21;65.6;1;2;4;3;42.9;2;2;0;0;0.0
Bayern Munich;1;6;6;540;6.0;5;0.83;21;16;76.2;5;1;0;2;33.3;0;0;0;0;
Bochum;1;7;7;630;7.0;16;2.29;44;29;63.6;1;1;5;2;28.6;1;0;1;0;100.0
Dortmund;1;7;7;630;7.0;13;1.86;28;17;57.1;5;0;2;0;0.0;1;1;0;0;0.0
Eint Frankfurt;1;6;6;540;6.0;9;1.50;22;13;59.1;0;5;1;1;16.7;0;0;0;0;
Freiburg;1;7;7;630;7.0;5;0.71;26;22;80.8;4;3;0;3;42.9;0;0;0;0;
Greuther Fürth;2;7;7;630;7.0;19;2.71;43;26;58.1;0;1;6;0;0.0;1;1;0;0;0.0
Hertha BSC;1;7;7;630;7.0;20;2.86;36;17;50.0;2;0;5;0;0.0;2;2;0;0;0.0
Hoffenheim;1;7;7;630;7.0;11;1.57;37;26;70.3;2;2;3;2;28.6;0;0;0;0;
Köln;1;7;7;630;7.0;9;1.29;30;22;70.0;3;3;1;0;0.0;0;0;0;0;
Leverkusen;1;6;6;540;6.0;7;1.17;30;24;80.0;4;1;1;2;33.3;2;1;1;0;50.0
M'Gladbach;1;7;7;630;7.0;10;1.43;30;21;66.7;3;1;3;1;14.3;0;0;0;0;
Mainz 05;1;6;6;540;6.0;3;0.50;17;14;82.4;3;1;2;4;66.7;0;0;0;0;
RB Leipzig;1;7;7;630;7.0;7;1.00;24;18;75.0;3;1;3;3;42.9;1;1;0;0;0.0
Stuttgart;1;7;7;630;7.0;13;1.86;37;25;67.6;2;2;3;1;14.3;1;1;0;0;0.0
Union Berlin;1;6;6;540;6.0;8;1.33;24;17;66.7;2;3;1;2;33.3;0;0;0;0;
Wolfsburg;1;7;7;630;7.0;8;1.14;24;18;70.8;4;1;2;3;42.9;2;1;1;0;50.0
