Rk;Player;Nation;Pos;Squad;Age;Born;90s;Performance-CrdY;Performance-CrdR;Performance-2CrdY;Performance-Fls;Performance-Fld;Performance-Off;Crs;Int;TklW;Performance-PKwon;Performance-PKcon;Performance-OG;Performance-Recov;Aerial Duels-Won;Aerial Duels-Lost;Aerial Duels-Won%;Matches;
1;Dickson Abiama\Dickson-Abiama;ng NGA;FW;Greuther Fürth;22-334;1998;3.3;1;0;0;7;4;5;2;1;6;0;0;0;15;10;17;37.0;Matches
2;Ragnar Ache\Ragnar-Ache;de GER;FWMF;Eint Frankfurt;23-067;1998;0.3;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;100.0;Matches
3;Tyler Adams\Tyler-Adams;us USA;MF;RB Leipzig;22-231;1999;3.7;1;0;0;3;1;0;1;8;5;0;0;0;38;5;1;83.3;Matches
4;Sargis Adamyan\Sargis-Adamyan;am ARM;MFFW;Hoffenheim;28-133;1993;3.0;0;0;0;3;7;3;5;4;6;0;0;0;14;4;8;33.3;Matches
5;Amine Adli\Amine-Adli;fr FRA;FWMF;Leverkusen;21-146;2000;0.8;0;0;0;1;2;0;0;1;2;0;0;0;6;1;3;25.0;Matches
6;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;26-076;1995;7.0;1;0;0;3;7;0;0;9;13;0;0;0;49;20;14;58.8;Matches
7;Kevin Akpoguma\Kevin-Akpoguma;ng NGA;DF;Hoffenheim;26-167;1995;3.3;0;0;0;6;4;0;9;5;2;0;0;0;19;4;6;40.0;Matches
8;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;28-360;1992;0.2;1;0;0;2;0;0;1;0;0;0;0;0;1;1;5;16.7;Matches
9;Nadiem Amiri\Nadiem-Amiri;de GER;FWMF;Leverkusen;24-341;1996;1.3;0;0;0;0;3;0;1;1;3;0;0;0;7;0;3;0.0;Matches
10;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Köln;30-080;1991;4.3;2;0;0;8;5;3;3;0;4;0;0;0;5;10;17;37.0;Matches
11;Andrés Andrade Cedeño\Andres-Andrade-Cedeno;pa PAN;DF;Arminia;22-352;1998;0.2;0;0;0;1;0;0;2;0;0;0;0;0;2;1;1;50.0;Matches
