Squad;# Pl;90s;Performance-CrdY;Performance-CrdR;Performance-2CrdY;Performance-Fls;Performance-Fld;Performance-Off;Performance-Crs;Performance-Int;Performance-TklW;Performance-PKwon;Performance-PKcon;Performance-OG;Performance-Recov;Aerial Duels-Won;Aerial Duels-Lost;Aerial Duels-Won%;
Arminia;19;6.0;8;1;1;80;60;6;71;89;48;0;1;0;507;148;173;46.1
Augsburg;23;7.0;11;0;0;84;64;15;82;100;75;0;2;2;587;135;141;48.9
Bayern Munich;22;6.0;3;1;0;53;56;8;89;87;69;0;0;0;567;88;81;52.1
Bochum;23;7.0;11;1;0;91;78;18;95;119;77;0;0;1;515;108;115;48.4
Dortmund;25;7.0;16;1;1;74;93;13;71;91;85;2;1;1;621;95;94;50.3
Eint Frankfurt;21;6.0;15;0;0;80;63;9;110;99;70;0;0;0;482;129;118;52.2
Freiburg;22;7.0;8;0;0;93;96;15;77;105;62;0;0;1;587;165;156;51.4
Greuther Fürth;24;7.0;16;0;0;101;91;14;68;93;83;1;1;2;570;138;165;45.5
Hertha BSC;27;7.0;13;0;0;96;85;13;49;92;63;1;2;0;539;139;139;50.0
Hoffenheim;22;7.0;12;0;0;73;76;10;109;75;65;0;0;0;451;106;133;44.4
Köln;21;7.0;16;1;1;98;95;12;139;129;79;0;0;1;517;119;121;49.6
Leverkusen;21;6.0;17;1;0;57;66;10;45;102;72;0;2;0;453;74;94;44.0
M'Gladbach;22;7.0;14;0;0;70;88;19;73;85;81;1;0;1;558;105;99;51.5
Mainz 05;24;6.0;12;0;0;96;77;15;60;94;75;0;0;0;551;114;148;43.5
RB Leipzig;22;7.0;7;0;0;69;90;13;89;86;81;1;1;0;586;118;96;55.1
Stuttgart;26;7.0;16;1;0;79;80;8;84;89;86;0;1;0;521;124;100;55.4
Union Berlin;22;6.0;10;1;1;69;46;15;75;94;55;1;0;1;474;148;122;54.8
Wolfsburg;21;7.0;20;1;1;99;89;14;98;96;65;1;1;0;618;157;115;57.7
