Rk;Player;Nation;Pos;Squad;Age;Born;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;Matches;
1;Dickson Abiama\Dickson-Abiama;ng NGA;FW;Greuther Fürth;22-298;1998;1.3;22;21;1;0;1;6;0;1;0;0;0;0;19;2;1;6;14;1;0;0;18;0;0;1;1;Matches
2;Ragnar Ache\Ragnar-Ache;de GER;MFFW;Eint Frankfurt;23-031;1998;0.2;2;2;0;0;0;1;0;1;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0;1;0;Matches
3;Tyler Adams\Tyler-Adams;us USA;MF;RB Leipzig;22-195;1999;1.7;107;106;1;1;0;10;1;0;0;0;0;0;83;9;15;14;81;6;0;3;89;1;0;6;1;Matches
4;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;28-097;1993;0.9;28;28;0;0;0;9;0;1;0;0;0;0;21;2;5;7;17;2;0;0;20;0;1;1;3;Matches
5;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;26-040;1995;3.0;286;278;8;8;0;12;11;0;0;0;0;0;237;16;33;66;211;6;0;1;270;1;5;2;0;Matches
6;Kevin Akpoguma\Kevin-Akpoguma;ng NGA;DF;Hoffenheim;26-131;1995;2.8;141;109;32;2;0;18;2;3;0;0;0;0;77;39;25;13;89;5;30;0;113;2;1;6;4;Matches
7;Nadiem Amiri\Nadiem-Amiri;de GER;FW;Leverkusen;24-305;1996;1.1;69;65;4;1;0;12;4;1;2;0;2;0;52;7;10;4;65;0;0;0;58;1;1;1;0;Matches
8;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Köln;30-044;1991;0.4;8;8;0;0;0;3;1;0;0;0;0;0;5;2;1;3;3;1;0;1;6;0;1;0;0;Matches
9;Robert Andrich\Robert-Andrich;de GER;MF;Leverkusen;26-340;1994;0.3;14;13;1;1;1;3;0;0;0;0;0;0;11;1;2;4;9;1;0;0;13;0;0;0;0;Matches
10;Angeliño\Angelino;es ESP;DF;RB Leipzig;24-236;1997;1.0;90;80;10;1;0;3;7;13;2;2;0;0;45;14;31;72;5;4;7;0;65;0;1;1;2;Matches
11;Waldemar Anton\Waldemar-Anton;de GER;DF;Stuttgart;25-039;1996;2.0;136;135;1;1;0;15;0;0;0;0;0;0;112;10;14;22;109;2;0;0;126;0;1;1;2;Matches
12;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Bochum;27-202;1994;1.0;27;24;3;0;0;11;0;3;0;0;0;0;15;6;6;5;16;1;3;0;22;0;0;1;0;Matches
