Squad;# Pl;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Outcomes-Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;
Arminia;19;6.0;2292;1979;313;75;2;399;79;71;21;9;7;1;1232;357;703;603;1253;143;142;35;1632;5;48;67;65
Augsburg;23;7.0;2454;2091;363;73;1;367;101;82;23;9;11;0;1306;439;709;529;1469;124;185;48;1723;14;68;100;80
Bayern Munich;22;6.0;3805;3508;297;75;10;553;90;89;30;19;8;0;2794;485;526;1073;2363;107;144;75;3190;6;48;138;73
Bochum;23;7.0;2252;1930;322;77;1;354;100;95;25;13;7;0;1167;346;739;655;1176;127;145;39;1605;10;59;96;65
Dortmund;25;7.0;4334;3984;350;102;6;517;98;71;35;13;12;2;3305;454;575;1133;2822;118;158;49;3682;10;49;126;96
Eint Frankfurt;21;6.0;2520;2267;253;62;2;380;61;110;22;12;8;1;1655;365;500;1059;1129;91;127;35;1930;6;52;106;62
Freiburg;22;7.0;2942;2598;344;103;2;588;100;77;36;25;3;1;1780;418;744;825;1705;124;128;43;2237;12;72;72;89
Greuther Fürth;24;7.0;2572;2218;354;108;3;442;54;68;25;9;14;0;1511;390;671;717;1437;137;142;30;1881;14;64;89;74
Hertha BSC;27;7.0;2626;2267;359;94;2;455;83;49;28;10;16;1;1577;409;640;669;1547;135;143;58;1986;12;50;94;57
Hoffenheim;22;7.0;3147;2827;320;82;5;509;97;109;33;16;5;1;2043;464;640;774;1947;154;144;58;2523;9;62;77;91
Köln;21;7.0;2844;2502;342;98;2;420;97;139;27;15;7;1;1748;422;674;958;1479;120;162;47;2201;11;60;60;95
Leverkusen;21;6.0;3053;2765;288;75;12;449;82;45;33;13;13;1;2139;471;443;972;1791;77;111;50;2531;9;45;66;74
M'Gladbach;22;7.0;3895;3542;353;102;7;520;107;73;34;9;14;5;2883;477;535;806;2734;97;145;53;3277;15;46;85;74
Mainz 05;24;6.0;2154;1835;319;89;5;327;52;60;31;16;14;0;1131;373;650;617;1151;130;139;45;1467;13;44;73;65
RB Leipzig;22;7.0;3117;2835;282;83;3;435;85;89;38;13;22;2;2125;407;585;575;2181;121;119;50;2530;11;37;85;86
Stuttgart;26;7.0;3205;2898;307;73;4;517;75;84;29;6;16;0;2253;456;496;1377;1476;106;141;35;2635;7;55;84;80
Union Berlin;22;6.0;2460;2193;267;54;6;400;92;75;27;14;11;1;1485;363;612;629;1428;140;129;44;1837;14;76;71;65
Wolfsburg;21;7.0;3631;3290;341;94;3;469;140;98;34;25;3;0;2409;482;740;1561;1643;145;152;36;2932;13;62;99;82
