Rk;Player;Nation;Pos;Squad;Age;Born;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;Matches;
1;Dickson Abiama\Dickson-Abiama;ng NGA;FW;Greuther Fürth;22-298;1998;1.3;18;22;81.8;239;86;12;15;80.0;5;5;100.0;0;0;;1;0.6;+0.4;3;0;2;0;2;Matches
2;Ragnar Ache\Ragnar-Ache;de GER;MFFW;Eint Frankfurt;23-031;1998;0.2;1;2;50.0;6;0;1;1;100.0;0;1;0.0;0;0;;1;0.0;+1.0;0;0;0;0;0;Matches
3;Tyler Adams\Tyler-Adams;us USA;MF;RB Leipzig;22-195;1999;1.7;89;107;83.2;1592;369;39;44;88.6;34;41;82.9;12;17;70.6;0;0.0;0.0;1;17;2;0;8;Matches
4;Sargis Adamyan\Sargis-Adamyan;am ARM;FWMF;Hoffenheim;28-097;1993;0.9;20;28;71.4;306;72;11;13;84.6;7;11;63.6;2;2;100.0;0;0.1;-0.1;1;1;0;0;4;Matches
5;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;26-040;1995;3.0;270;286;94.4;6319;2095;51;53;96.2;160;164;97.6;58;68;85.3;0;0.0;0.0;1;27;0;0;24;Matches
6;Kevin Akpoguma\Kevin-Akpoguma;ng NGA;DF;Hoffenheim;26-131;1995;2.8;113;141;80.1;1990;992;57;67;85.1;44;56;78.6;11;16;68.8;1;0.1;+0.9;2;11;0;0;12;Matches
7;Nadiem Amiri\Nadiem-Amiri;de GER;FW;Leverkusen;24-305;1996;1.1;58;69;84.1;1018;130;29;31;93.5;20;24;83.3;8;12;66.7;0;0.0;0.0;1;2;2;0;2;Matches
8;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Köln;30-044;1991;0.4;6;8;75.0;82;11;3;3;100.0;2;2;100.0;0;1;0.0;0;0.0;0.0;0;1;0;0;0;Matches
9;Robert Andrich\Robert-Andrich;de GER;MF;Leverkusen;26-340;1994;0.3;13;14;92.9;170;49;7;7;100.0;5;6;83.3;0;0;;0;0.0;0.0;0;1;1;0;2;Matches
10;Angeliño\Angelino;es ESP;DF;RB Leipzig;24-236;1997;1.0;65;90;72.2;1090;279;37;40;92.5;18;25;72.0;8;23;34.8;0;0.0;0.0;1;1;3;2;5;Matches
11;Waldemar Anton\Waldemar-Anton;de GER;DF;Stuttgart;25-039;1996;2.0;126;136;92.6;2363;946;54;55;98.2;60;63;95.2;12;17;70.6;0;0.0;0.0;1;7;0;0;2;Matches
12;Christopher Antwi-Adjei\Christopher-Antwi-Adjei;gh GHA;MFFW;Bochum;27-202;1994;1.0;22;27;81.5;263;53;18;21;85.7;4;6;66.7;0;0;;0;0.0;0.0;0;0;0;0;0;Matches
13;Charles Aránguiz\Charles-Aranguiz;cl CHI;MF;Leverkusen;32-133;1989;1.9;91;105;86.7;1785;399;28;30;93.3;49;54;90.7;11;17;64.7;0;0.0;0.0;2;6;2;0;5;Matches
14;Maximilian Arnold\Maximilian-Arnold;de GER;MF;Wolfsburg;27-093;1994;2.0;142;159;89.3;3073;698;34;37;91.9;80;85;94.1;24;32;75.0;0;0.1;-0.1;2;20;2;1;15;Matches
15;Takuma Asano\Takuma-Asano;jp JPN;FW;Bochum;26-291;1994;0.6;7;9;77.8;60;13;6;7;85.7;0;1;0.0;0;0;;0;0.0;0.0;0;0;0;0;0;Matches
16;Santiago Ascacíbar\Santiago-Ascacibar;ar ARG;MF;Hertha BSC;24-184;1997;2.0;66;76;86.8;982;242;37;40;92.5;25;28;89.3;3;4;75.0;0;0.0;0.0;1;2;0;0;4;Matches
17;Taiwo Awoniyi\Taiwo-Awoniyi;ng NGA;FW;Union Berlin;24-016;1997;1.4;13;20;65.0;139;39;7;9;77.8;3;7;42.9;0;0;;0;0.2;-0.2;2;0;0;0;0;Matches
18;Mitchel Bakker\Mitchel-Bakker;nl NED;DF;Leverkusen;21-069;2000;2.0;120;140;85.7;2119;759;63;67;94.0;42;49;85.7;15;19;78.9;1;0.1;+0.9;2;9;2;1;9;Matches
19;Ridle Baku\Ridle-Baku;de GER;MFFW;Wolfsburg;23-142;1998;2.0;37;50;74.0;584;143;20;25;80.0;16;19;84.2;1;5;20.0;0;0.0;0.0;1;5;1;1;6;Matches
20;Aymen Barkok\Aymen-Barkok;ma MAR;FW;Eint Frankfurt;23-099;1998;0.5;8;11;72.7;130;36;5;6;83.3;2;3;66.7;1;1;100.0;0;0.0;0.0;0;1;0;0;1;Matches
21;Leandro Barreiro Martins\Leandro-Barreiro-Martins;lu LUX;MF;Mainz 05;21-237;2000;2.0;24;34;70.6;336;129;14;20;70.0;10;13;76.9;0;1;0.0;0;0.0;0.0;1;4;0;0;3;Matches
22;Jacob Barrett Laursen\Jacob-Barrett-Laursen;dk DEN;DF;Arminia;26-284;1994;1.8;46;72;63.9;933;397;18;20;90.0;19;29;65.5;9;20;45.0;0;0.0;0.0;0;4;1;0;6;Matches
23;Maximilian Bauer\Maximilian-Bauer;de GER;DF;Greuther Fürth;21-200;2000;2.0;102;125;81.6;2551;665;19;24;79.2;57;62;91.9;26;39;66.7;0;0.0;0.0;0;2;0;0;3;Matches
24;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;31-087;1990;3.0;98;127;77.2;2282;1316;34;34;100.0;36;37;97.3;23;51;45.1;0;0.0;0.0;0;2;0;0;0;Matches
25;Timo Baumgartl\Timo-Baumgartl;de GER;DF;Union Berlin;25-177;1996;1.0;35;43;81.4;760;253;9;9;100.0;20;22;90.9;6;12;50.0;0;0.0;0.0;0;2;0;0;2;Matches
26;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;Leverkusen;33-238;1988;0.1;7;8;87.5;170;18;1;2;50.0;5;5;100.0;1;1;100.0;0;0.0;0.0;0;1;0;0;0;Matches
27;Christoph Baumgartner\Christoph-Baumgartner;at AUT;FWMF;Hoffenheim;22-027;1999;2.4;46;66;69.7;801;224;20;21;95.2;18;28;64.3;6;12;50.0;0;0.2;-0.2;1;3;2;1;5;Matches
28;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;FW;Augsburg;25-007;1996;0.1;0;1;0.0;0;0;0;0;;0;1;0.0;0;0;;0;0.0;0.0;0;0;0;0;0;Matches
29;Kevin Behrens\Kevin-Behrens;de GER;MF;Union Berlin;30-206;1991;0.1;4;5;80.0;51;19;3;4;75.0;1;1;100.0;0;0;;0;0.0;0.0;1;0;1;0;1;Matches
30;Stefan Bell\Stefan-Bell;de GER;DF;Mainz 05;30-004;1991;1.7;41;57;71.9;1071;456;6;6;100.0;26;35;74.3;9;16;56.3;0;0.0;0.0;0;4;0;0;1;Matches
31;Armel Bella Kotchap\Armel-Bella-Kotchap;de GER;DF;Bochum;19-260;2001;1.0;34;37;91.9;876;166;4;4;100.0;19;20;95.0;10;12;83.3;0;0.0;0.0;0;2;0;0;0;Matches
32;Jude Bellingham\Jude-Bellingham;eng ENG;MF;Dortmund;18-060;2003;2.6;102;118;86.4;1865;362;41;46;89.1;45;49;91.8;12;16;75.0;1;0.2;+0.8;3;6;2;0;7;Matches
33;László Bénes\Laszlo-Benes;sk SVK;MF;M'Gladbach;23-353;1997;0.0;1;1;100.0;9;6;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0;1;0;0;0;Matches
34;Keanen Bennetts\Keanen-Bennetts;eng ENG;FW;M'Gladbach;22-172;1999;0.2;6;8;75.0;122;10;4;4;100.0;1;2;50.0;1;2;50.0;0;0.0;0.0;0;1;0;0;0;Matches
35;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;M'Gladbach;26-134;1995;0.5;35;37;94.6;653;241;16;16;100.0;15;15;100.0;4;6;66.7;0;0.1;-0.1;1;3;1;1;3;Matches
36;Kevin-Prince Boateng\Kevin-Prince-Boateng;gh GHA;MF;Hertha BSC;34-175;1987;1.1;30;37;81.1;742;175;9;12;75.0;10;11;90.9;10;13;76.9;0;0.0;0.0;1;1;1;0;1;Matches
37;Herbert Bockhorn\Herbert-Bockhorn;de GER;DF;Bochum;26-209;1995;0.5;12;19;63.2;301;86;3;4;75.0;4;9;44.4;5;6;83.3;0;0.0;0.0;0;1;0;0;2;Matches
38;Jean-Paul Boëtius\Jean-Paul-Boetius;nl NED;MF;Mainz 05;27-159;1994;0.5;20;27;74.1;344;57;10;10;100.0;7;11;63.6;3;6;50.0;0;0.0;0.0;1;1;0;0;0;Matches
39;Rafael Borré\Rafael-Borre;co COL;FW;Eint Frankfurt;25-347;1995;2.0;42;53;79.2;620;67;25;31;80.6;11;14;78.6;3;4;75.0;0;0.1;-0.1;1;2;3;0;3;Matches
40;Dedryck Boyata\Dedryck-Boyata;be BEL;DF;Hertha BSC;30-273;1990;0.9;36;36;100.0;968;229;3;3;100.0;23;23;100.0;10;10;100.0;0;0.0;0.0;1;2;0;0;0;Matches
41;Julian Brandt\Julian-Brandt;de GER;MF;Dortmund;25-118;1996;0.5;29;39;74.4;621;206;12;15;80.0;8;9;88.9;8;13;61.5;0;0.5;-0.5;3;4;1;1;4;Matches
42;Josip Brekalo\Josip-Brekalo;hr CRO;MF;Wolfsburg;23-066;1998;0.2;13;18;72.2;236;32;8;10;80.0;3;5;60.0;2;3;66.7;1;0.4;+0.6;1;0;0;0;1;Matches
43;Brian Brobbey\Brian-Brobbey;nl NED;FW;RB Leipzig;19-208;2002;0.1;1;1;100.0;36;0;0;0;;0;0;;1;1;100.0;0;0.0;0.0;0;0;0;0;0;Matches
44;John Brooks\John-Brooks;us USA;DF;Wolfsburg;28-212;1993;2.0;146;157;93.0;3179;1042;35;36;97.2;91;94;96.8;19;26;73.1;1;0.1;+0.9;1;16;0;0;11;Matches
45;Cédric Brunner\Cedric-Brunner;ch SUI;DF;Arminia;27-192;1994;1.7;43;68;63.2;977;367;9;13;69.2;24;27;88.9;9;26;34.6;1;0.3;+0.7;2;3;2;1;5;Matches
46;Jacob Bruun Larsen\Jacob-Bruun-Larsen;dk DEN;FWMF;Hoffenheim;22-343;1998;2.1;46;64;71.9;680;106;24;31;77.4;18;25;72.0;2;4;50.0;0;0.6;-0.6;3;0;3;1;2;Matches
