Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;Matches;
1;Dickson Abiama\Dickson-Abiama;ng NGA;FW;Greuther Fürth;22-334;1998;3.3;107;3;9;37;67;17;104;4;10;40.0;5;1;63;242;126;6;2;2;15;8;146;69;47.3;24;Matches
2;Ragnar Ache\Ragnar-Ache;de GER;FWMF;Eint Frankfurt;23-067;1998;0.3;18;0;0;4;15;6;18;0;1;0.0;1;0;11;39;20;2;0;2;1;1;21;14;66.7;4;Matches
3;Tyler Adams\Tyler-Adams;us USA;MF;RB Leipzig;22-231;1999;3.7;185;2;38;125;29;2;183;0;1;0.0;0;0;120;548;267;10;1;0;2;5;127;118;92.9;4;Matches
4;Sargis Adamyan\Sargis-Adamyan;am ARM;MFFW;Hoffenheim;28-133;1993;3.0;91;4;16;36;40;8;90;3;4;75.0;3;1;54;310;125;9;0;0;7;7;83;54;65.1;11;Matches
5;Amine Adli\Amine-Adli;fr FRA;FWMF;Leverkusen;21-146;2000;0.8;46;1;8;20;22;4;44;0;0;;0;0;34;217;130;6;1;1;4;4;47;33;70.2;6;Matches
6;Manuel Akanji\Manuel-Akanji;ch SUI;DF;Dortmund;26-076;1995;7.0;631;79;330;327;14;5;617;3;3;100.0;3;0;442;2730;1504;41;2;0;0;0;501;495;98.8;0;Matches
7;Kevin Akpoguma\Kevin-Akpoguma;ng NGA;DF;Hoffenheim;26-167;1995;3.3;175;5;46;91;47;11;143;5;7;71.4;5;0;87;464;319;18;3;3;1;1;101;91;90.1;2;Matches
8;Lucas Alario\Lucas-Alario;ar ARG;FW;Leverkusen;28-360;1992;0.2;14;0;1;4;10;3;14;0;0;;0;0;9;23;13;1;1;0;2;3;19;13;68.4;8;Matches
9;Nadiem Amiri\Nadiem-Amiri;de GER;FWMF;Leverkusen;24-341;1996;1.3;101;0;18;57;30;6;97;3;6;50.0;3;0;74;415;196;11;2;1;2;1;91;82;90.1;12;Matches
10;Sebastian Andersson\Sebastian-Andersson;se SWE;FW;Köln;30-080;1991;4.3;104;3;5;36;69;24;102;2;4;50.0;2;0;65;207;98;5;2;2;14;7;166;85;51.2;28;Matches
11;Andrés Andrade Cedeño\Andres-Andrade-Cedeno;pa PAN;DF;Arminia;22-352;1998;0.2;23;2;3;9;11;1;19;0;0;;0;0;14;64;46;4;0;1;0;1;16;14;87.5;1;Matches
12;Robert Andrich\Robert-Andrich;de GER;MF;Leverkusen;27-011;1994;1.9;97;9;36;57;10;1;95;0;0;;0;0;41;193;84;4;2;0;2;1;58;52;89.7;2;Matches
13;Angeliño\Angelino;es ESP;DF;RB Leipzig;24-272;1997;3.3;199;7;46;82;82;7;174;3;5;60.0;4;1;120;443;255;10;5;1;4;1;137;127;92.7;14;Matches
14;Waldemar Anton\Waldemar-Anton;de GER;DF;Stuttgart;25-075;1996;5.9;402;76;239;175;12;7;395;2;3;66.7;3;1;266;1657;831;23;3;0;1;1;282;278;98.6;2;Matches
