Squad;# Pl;Poss;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;
Arminia;16;39.5;2.0;916;159;400;346;200;33;811;13;28;46.4;15;1;455;2023;1013;35;11;6;22;16;615;463;75.3;35
Augsburg;19;42.0;2.0;973;142;404;402;218;44;867;15;26;57.7;16;2;551;2729;1197;32;11;3;30;24;695;509;73.2;39
Bayern Munich;18;61.0;2.0;1534;160;508;748;383;73;1437;33;63;52.4;35;1;984;5365;2949;131;34;19;30;24;1233;1053;85.4;106
Bochum;19;40.5;2.0;989;167;453;383;200;19;879;19;34;55.9;22;3;493;2408;1280;35;14;2;20;17;657;528;80.4;28
Dortmund;22;65.0;3.0;2368;251;740;1142;617;119;2213;33;57;57.9;38;1;1550;7575;4034;170;36;18;50;36;1859;1694;91.1;154
Eint Frankfurt;17;51.0;2.0;1224;135;402;586;289;44;1125;11;25;44.0;15;2;698;3310;1767;80;18;9;26;23;884;739;83.6;83
Freiburg;19;40.0;2.0;966;175;428;380;222;41;880;11;21;52.4;11;0;518;2742;1515;56;19;4;22;27;620;508;81.9;38
Greuther Fürth;17;49.0;2.0;1132;131;440;527;234;42;1039;10;18;55.6;10;2;721;3802;2018;71;21;9;25;18;888;748;84.2;59
Hertha BSC;19;41.0;2.0;986;145;412;438;200;32;872;14;26;53.8;17;3;513;2375;1312;53;19;5;27;30;657;527;80.2;40
Hoffenheim;17;53.0;3.0;1863;232;671;834;448;73;1705;26;42;61.9;28;2;1002;5137;2885;98;20;14;41;26;1409;1207;85.7;92
Köln;18;51.5;2.0;1196;141;436;533;317;49;1096;25;45;55.6;25;2;724;3784;2018;71;28;6;31;17;878;721;82.1;71
Leverkusen;16;57.0;2.0;1366;129;505;692;262;57;1272;24;45;53.3;27;2;903;4506;2348;84;28;13;31;26;1097;959;87.4;61
M'Gladbach;17;44.0;2.0;1158;135;388;556;282;51;1065;12;27;44.4;13;0;668;3294;1801;78;21;8;35;30;791;707;89.4;63
Mainz 05;19;43.0;2.0;1002;123;390;431;241;33;893;8;16;50.0;8;0;535;2676;1522;38;10;5;27;17;730;524;71.8;38
RB Leipzig;19;62.0;2.0;1443;94;313;744;462;73;1360;13;33;39.4;15;2;947;4653;2456;118;33;7;25;24;1130;967;85.6;81
Stuttgart;18;57.5;2.0;1373;133;437;704;321;60;1284;19;31;61.3;21;1;919;4604;2280;86;34;7;19;21;1109;972;87.6;80
Union Berlin;17;34.5;2.0;962;137;379;412;213;46;872;10;26;38.5;15;0;452;2307;1108;39;17;5;34;21;675;517;76.6;44
Wolfsburg;17;60.5;2.0;1337;93;327;742;353;58;1258;22;34;64.7;23;4;955;4809;2626;118;22;10;17;20;1061;935;88.1;93
