Squad;# Pl;90s;Standard-Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Standard-PK;Standard-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;
Arminia;19;6.0;3;69;20;29.0;11.50;3.33;0.04;0.15;17.4;2;0;0;5.8;5.8;0.09;-2.8;-2.8
Augsburg;23;7.0;3;61;17;27.9;8.71;2.43;0.05;0.18;17.7;1;0;0;5.1;5.1;0.08;-2.1;-2.1
Bayern Munich;22;6.0;21;108;45;41.7;18.00;7.50;0.19;0.44;14.8;2;1;1;18.1;17.3;0.17;+2.9;+2.7
Bochum;23;7.0;4;76;19;25.0;10.86;2.71;0.05;0.21;20.1;7;0;0;5.8;5.8;0.08;-1.8;-1.8
Dortmund;25;7.0;17;105;36;34.3;15.00;5.14;0.14;0.42;16.2;4;2;2;14.7;13.1;0.13;+2.3;+1.9
Eint Frankfurt;21;6.0;5;73;20;27.4;12.17;3.33;0.07;0.25;17.3;2;0;0;6.8;6.8;0.09;-2.8;-2.8
Freiburg;22;7.0;10;86;33;38.4;12.29;4.71;0.10;0.27;15.1;2;1;1;9.0;8.3;0.10;+1.0;+0.7
Greuther Fürth;24;7.0;5;70;23;32.9;10.00;3.29;0.04;0.13;17.8;2;2;2;7.3;5.9;0.09;-2.3;-2.9
Hertha BSC;27;7.0;7;66;24;36.4;9.43;3.43;0.09;0.25;18.8;4;1;1;6.6;5.8;0.09;+0.4;+0.2
Hoffenheim;22;7.0;12;84;27;32.1;12.00;3.86;0.14;0.44;14.4;4;0;0;10.3;10.3;0.13;+0.7;+0.7
Köln;21;7.0;13;107;34;31.8;15.29;4.86;0.12;0.38;16.1;2;0;0;9.7;9.7;0.09;+2.3;+2.3
Leverkusen;21;6.0;13;76;31;40.8;12.67;5.17;0.17;0.42;17.4;3;0;0;8.8;8.8;0.12;+4.2;+4.2
M'Gladbach;22;7.0;9;105;31;29.5;15.00;4.43;0.09;0.29;16.8;5;0;2;13.2;11.7;0.11;-4.2;-2.7
Mainz 05;24;6.0;6;80;27;33.8;13.33;4.50;0.08;0.22;17.0;1;0;0;7.7;7.7;0.10;-1.7;-1.7
RB Leipzig;22;7.0;15;113;44;38.9;16.14;6.29;0.12;0.30;16.5;7;2;2;12.0;10.6;0.09;0.0;-0.6
Stuttgart;26;7.0;12;110;45;40.9;15.71;6.43;0.11;0.27;16.9;3;0;0;9.5;9.5;0.09;-0.5;-0.5
Union Berlin;22;6.0;8;74;29;39.2;12.33;4.83;0.09;0.24;15.3;2;1;1;7.9;7.2;0.10;+0.1;-0.2
Wolfsburg;21;7.0;9;88;28;31.8;12.57;4.00;0.09;0.29;16.5;3;1;2;11.0;9.7;0.11;-2.0;-1.7
