Squad;# Pl;Age;Poss;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;
Arminia;16;26.8;39.5;2;22;180;2.0;1;1;1;0;0;5;1;0.50;0.50;1.00;0.50;1.00;1.5;1.5;0.7;2.2;0.74;0.36;1.10;0.74;1.10
Augsburg;19;26.6;42.0;2;22;180;2.0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.8;0.8;0.6;1.4;0.41;0.31;0.72;0.41;0.72
Bayern Munich;18;26.8;61.0;2;22;180;2.0;4;3;4;0;0;1;0;2.00;1.50;3.50;2.00;3.50;5.3;5.3;3.6;8.9;2.65;1.79;4.43;2.65;4.43
Bochum;19;28.9;40.5;2;22;180;2.0;2;2;2;0;0;6;1;1.00;1.00;2.00;1.00;2.00;1.3;1.3;1.1;2.4;0.65;0.53;1.18;0.65;1.18
Dortmund;22;25.2;65.0;3;33;270;3.0;8;6;8;0;0;6;0;2.67;2.00;4.67;2.67;4.67;8.1;8.1;6.7;14.8;2.70;2.23;4.93;2.70;4.93
Eint Frankfurt;17;26.7;51.0;2;22;180;2.0;1;1;1;0;0;3;0;0.50;0.50;1.00;0.50;1.00;3.3;3.3;2.3;5.6;1.67;1.14;2.81;1.67;2.81
Freiburg;19;26.6;40.0;2;22;180;2.0;2;1;2;0;0;5;0;1.00;0.50;1.50;1.00;1.50;2.5;2.5;2.1;4.6;1.24;1.05;2.29;1.24;2.29
Greuther Fürth;17;25.6;49.0;2;22;180;2.0;2;1;1;1;1;5;0;1.00;0.50;1.50;0.50;1.00;3.1;2.5;1.6;4.0;1.56;0.78;2.34;1.24;2.02
Hertha BSC;19;27.2;41.0;2;22;180;2.0;2;1;1;1;1;3;0;1.00;0.50;1.50;0.50;1.00;3.3;2.5;1.3;3.8;1.63;0.65;2.28;1.25;1.90
Hoffenheim;17;26.3;53.0;3;33;270;3.0;8;8;8;0;0;6;0;2.67;2.67;5.33;2.67;5.33;6.2;6.2;4.5;10.8;2.08;1.51;3.59;2.08;3.59
Köln;18;27.4;51.5;2;22;180;2.0;5;5;5;0;0;5;0;2.50;2.50;5.00;2.50;5.00;2.5;2.5;2.0;4.5;1.25;0.99;2.24;1.25;2.24
Leverkusen;16;24.9;57.0;2;22;180;2.0;4;4;4;0;0;5;0;2.00;2.00;4.00;2.00;4.00;2.7;2.7;1.9;4.6;1.34;0.94;2.28;1.34;2.28
M'Gladbach;17;27.2;44.0;2;22;180;2.0;1;1;1;0;1;4;0;0.50;0.50;1.00;0.50;1.00;3.7;2.9;2.3;5.3;1.85;1.17;3.02;1.47;2.64
Mainz 05;19;25.3;43.0;2;22;180;2.0;1;0;1;0;0;4;0;0.50;0.00;0.50;0.50;0.50;1.9;1.9;0.9;2.8;0.94;0.44;1.38;0.94;1.38
RB Leipzig;19;25.5;62.0;2;22;180;2.0;4;1;3;1;1;2;0;2.00;0.50;2.50;1.50;2.00;4.4;3.8;2.6;6.4;2.18;1.29;3.48;1.89;3.18
Stuttgart;18;25.4;57.5;2;22;180;2.0;5;5;5;0;0;3;0;2.50;2.50;5.00;2.50;5.00;5.2;5.2;4.2;9.4;2.60;2.09;4.69;2.60;4.69
Union Berlin;17;28.6;34.5;2;22;180;2.0;3;1;3;0;0;3;1;1.50;0.50;2.00;1.50;2.00;2.0;2.0;1.3;3.3;1.00;0.67;1.67;1.00;1.67
Wolfsburg;17;26.7;60.5;2;22;180;2.0;3;3;3;0;1;2;0;1.50;1.50;3.00;1.50;3.00;4.4;4.0;3.1;7.0;2.21;1.53;3.75;1.98;3.51
