Squad;# Pl;Age;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Starts-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;
Arminia;19;26.8;6;540;90;100;6.0;66;84;42;24;16;26;0.67;3;6;-3;-0.50;5.8;10.4;-4.6;-0.77
Augsburg;23;26.9;7;630;90;100;7.0;77;80;42;35;21;27;0.71;3;13;-10;-1.43;5.1;15.1;-10.1;-1.44
Bayern Munich;22;27.0;6;540;90;100;6.0;66;80;37;28;23;26;2.67;23;5;+18;+3.00;18.1;5.6;+12.5;+2.08
Bochum;23;28.5;7;630;90;100;7.0;77;83;49;27;17;33;0.57;4;16;-12;-1.71;5.8;11.3;-5.5;-0.92
Dortmund;25;25.9;7;630;90;100;7.0;77;83;45;31;17;29;2.14;19;13;+6;+0.86;14.7;9.5;+5.1;+0.73
Eint Frankfurt;21;26.4;6;540;90;100;6.0;66;82;42;24;23;30;0.83;6;9;-3;-0.50;6.8;6.7;+0.1;+0.02
Freiburg;22;26.5;7;630;90;100;7.0;77;82;42;35;18;27;2.14;11;5;+6;+0.86;9.0;6.9;+2.2;+0.31
Greuther Fürth;24;26.5;7;630;90;100;7.0;77;83;50;27;20;35;0.14;5;19;-14;-2.00;7.3;13.8;-6.4;-0.92
Hertha BSC;27;26.4;7;630;90;100;7.0;77;76;44;33;33;30;0.86;8;20;-12;-1.71;6.6;14.0;-7.4;-1.06
Hoffenheim;22;26.4;7;630;90;100;7.0;77;80;46;31;24;31;1.14;12;11;+1;+0.14;10.3;8.9;+1.4;+0.23
Köln;21;27.8;7;630;90;100;7.0;77;81;42;34;20;29;1.71;13;9;+4;+0.57;9.7;9.1;+0.6;+0.10
Leverkusen;21;24.8;6;540;90;100;6.0;66;83;40;25;16;27;2.17;16;7;+9;+1.50;8.8;8.0;+0.8;+0.14
M'Gladbach;22;26.5;7;630;90;100;7.0;77;81;52;25;26;38;1.43;9;10;-1;-0.14;13.2;10.5;+2.6;+0.38
Mainz 05;24;26.3;6;540;90;100;6.0;66;82;39;27;20;25;1.67;6;3;+3;+0.50;7.7;5.5;+2.1;+0.36
RB Leipzig;22;25.5;7;630;90;100;7.0;77;81;44;33;21;30;1.43;15;7;+8;+1.14;12.0;9.6;+2.4;+0.39
Stuttgart;26;24.8;7;630;90;100;7.0;77;81;45;32;21;30;1.14;12;13;-1;-0.14;9.5;8.6;+0.9;+0.15
Union Berlin;22;28.8;6;540;90;100;6.0;66;81;36;29;21;25;1.50;8;8;0;0.00;7.9;6.7;+1.2;+0.20
Wolfsburg;21;26.7;7;630;90;100;7.0;77;84;50;26;17;36;1.86;9;8;+1;+0.14;11.0;8.9;+2.1;+0.30
