Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;Matches;
1;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Roma;24-001;1997;5.6;7;5;1;4;2;2;2;100.0;0;78;18;23.1;4;37;37;9;3;0;6;0;7;6;1;Matches
2;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;33-235;1988;6.0;7;3;4;3;0;3;5;60.0;2;43;14;32.6;23;18;2;11;8;0;3;12;19;42;0;Matches
3;Kevin Agudelo\Kevin-Agudelo;co COL;FW;Spezia;22-323;1998;0.3;4;4;2;2;0;3;3;100.0;0;11;3;27.3;2;8;1;1;0;0;1;0;4;0;0;Matches
4;Ola Aina\Ola-Aina;ng NGA;DF;Torino;24-360;1996;4.0;7;3;3;3;1;3;4;75.0;1;41;9;22.0;7;22;12;5;1;0;4;11;18;8;0;Matches
5;Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro;ci CIV;MF;Lazio;28-357;1992;1.7;7;3;2;5;0;4;6;66.7;2;48;15;31.3;15;22;11;3;1;0;2;0;7;2;0;Matches
6;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;29-005;1992;4.7;8;5;3;2;3;3;10;30.0;7;70;24;34.3;21;36;13;4;1;0;3;2;10;1;0;Matches
7;Giorgio Altare\Giorgio-Altare;it ITA;DF;Cagliari;23-055;1998;0.0;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;1;1;0;0;Matches
8;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Spezia;23-237;1998;4.6;14;10;10;2;2;4;7;57.1;3;75;23;30.7;43;22;10;12;1;0;11;12;26;18;0;Matches
9;Ethan Ampadu\Ethan-Ampadu;wls WAL;MF;Venezia;21-019;2000;1.2;2;1;2;0;0;0;0;;0;19;6;31.6;12;7;0;3;1;0;2;2;4;2;0;Matches
10;Sofyan Amrabat\Sofyan-Amrabat;ma MAR;MF;Fiorentina;25-043;1996;1.0;5;3;2;2;1;3;5;60.0;2;21;5;23.8;5;16;0;5;1;0;4;1;6;1;0;Matches
11;Felipe Anderson\Felipe-Anderson;br BRA;FW;Lazio;28-171;1993;5.6;14;9;7;4;3;3;19;15.8;16;123;30;24.4;37;52;34;9;1;0;8;3;17;4;0;Matches
