Squad;# Pl;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;
Atalanta;16;1.0;20;7;9;11;0;5;17;29.4;12;155;50;32.3;61;80;14;20;9;0;11;3;23;24;0
Bologna;16;1.0;13;7;4;5;4;1;6;16.7;5;64;25;39.1;20;30;14;13;4;0;9;8;21;18;0
Cagliari;16;1.0;15;12;8;5;2;2;7;28.6;5;121;41;33.9;34;57;30;6;3;0;3;12;27;29;0
Empoli;16;1.0;16;11;7;7;2;4;12;33.3;8;147;40;27.2;39;68;40;4;1;0;3;20;36;11;0
Fiorentina;16;1.0;10;6;6;4;0;7;15;46.7;8;104;23;22.1;40;44;20;8;0;0;8;11;21;7;0
Genoa;16;1.0;19;14;13;4;2;5;12;41.7;7;114;31;27.2;58;38;18;18;4;0;14;13;32;19;0
Hellas Verona;20;2.0;24;16;9;9;6;9;27;33.3;18;229;66;28.8;73;99;57;25;8;0;17;30;54;35;0
Inter;18;2.0;40;28;20;14;6;16;30;53.3;14;207;63;30.4;72;73;62;22;3;0;19;21;61;28;0
Juventus;16;1.0;13;9;7;4;2;2;6;33.3;4;56;13;23.2;24;19;13;9;2;0;7;11;24;19;2
Lazio;16;1.0;26;14;16;6;4;13;21;61.9;8;152;33;21.7;63;55;34;17;6;1;11;13;39;23;0
Milan;15;1.0;19;14;4;9;6;3;10;30.0;7;164;56;34.1;37;80;47;19;7;0;12;20;39;18;1
Napoli;15;1.0;20;16;7;9;4;8;13;61.5;5;108;31;28.7;32;39;37;12;0;0;12;13;33;7;0
Roma;15;1.0;11;8;8;3;0;4;8;50.0;4;138;48;34.8;53;61;24;9;1;0;8;8;19;16;0
Salernitana;16;1.0;18;12;7;9;2;7;13;53.8;6;118;32;27.1;52;48;18;20;8;0;12;7;25;34;1
Sampdoria;14;1.0;21;13;10;5;6;9;17;52.9;8;162;49;30.2;42;79;41;12;2;0;10;21;42;30;0
Sassuolo;16;1.0;10;5;5;3;2;1;7;14.3;6;104;23;22.1;43;42;19;19;4;0;15;10;20;15;0
Spezia;13;1.0;7;2;4;3;0;4;12;33.3;8;118;22;18.6;37;63;18;23;6;1;17;16;23;32;1
Torino;15;1.0;19;12;9;9;1;5;10;50.0;5;161;55;34.2;35;87;39;18;5;0;13;13;32;26;0
Udinese;16;2.0;36;22;18;11;7;14;30;46.7;16;212;68;32.1;68;96;48;26;2;0;24;30;66;38;2
Venezia;24;2.0;30;21;13;11;6;16;37;43.2;21;262;64;24.4;84;107;71;35;14;0;21;28;58;24;0
