Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;W;D;L;Performance-CS;Performance-CS%;Performance-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;Matches;
1;Emil Audero\Emil-Audero;it ITA;GK;Sampdoria;24-222;1997;1;1;90;1.0;1;1.00;3;2;66.7;0;0;1;0;0.0;0;0;0;0;;Matches
2;Vid Belec\Vid-Belec;si SVN;GK;Salernitana;31-083;1990;1;1;90;1.0;3;3.00;7;4;57.1;0;0;1;0;0.0;0;0;0;0;;Matches
3;Andrea Consigli\Andrea-Consigli;it ITA;GK;Sassuolo;34-213;1987;1;1;90;1.0;2;2.00;3;2;66.7;1;0;0;0;0.0;1;1;0;0;0.0;Matches
4;Alessio Cragno\Alessio-Cragno;it ITA;GK;Cagliari;27-061;1994;1;1;90;1.0;2;2.00;4;2;50.0;0;1;0;0;0.0;0;0;0;0;;Matches
5;Bartłomiej Drągowski\Bartlomiej-Dragowski;pl POL;DFGK;Fiorentina;24-009;1997;1;1;16;0.2;0;0.00;0;0;;0;0;1;0;0.0;0;0;0;0;;Matches
6;Samir Handanović\Samir-Handanovic;si SVN;GK;Inter;37-045;1984;2;2;180;2.0;1;0.50;5;4;80.0;2;0;0;1;50.0;0;0;0;0;;Matches
7;Luca Lezzerini\Luca-Lezzerini;it ITA;GK;Venezia;26-157;1995;1;1;90;1.0;3;3.00;10;7;70.0;0;0;1;0;0.0;0;0;0;0;;Matches
8;Niki Mäenpää\Niki-Maenpaa;fi FIN;GK;Venezia;36-217;1985;1;1;90;1.0;2;2.00;3;2;66.7;0;0;1;0;0.0;2;1;0;1;0.0;Matches
9;Mike Maignan\Mike-Maignan;fr FRA;GK;Milan;25-273;1995;1;1;90;1.0;0;0.00;3;2;100.0;1;0;0;1;100.0;0;0;0;0;;Matches
10;Alex Meret\Alex-Meret;it ITA;GK;Napoli;24-159;1997;1;1;90;1.0;0;0.00;4;4;100.0;1;0;0;1;100.0;0;0;0;0;;Matches
11;Vanja Milinković-Savić\Vanja-Milinkovic-Savic;rs SRB;GK;Torino;24-189;1997;1;1;90;1.0;2;2.00;2;0;0.0;0;0;1;0;0.0;0;0;0;0;;Matches
12;Lorenzo Montipò\Lorenzo-Montipo;it ITA;GK;Hellas Verona;25-189;1996;1;1;90;1.0;3;3.00;8;5;62.5;0;0;1;0;0.0;0;0;0;0;;Matches
13;Juan Musso\Juan-Musso;ar ARG;GK;Atalanta;27-114;1994;1;1;90;1.0;1;1.00;7;6;85.7;1;0;0;0;0.0;0;0;0;0;;Matches
14;Ivor Pandur\Ivor-Pandur;hr CRO;GK;Hellas Verona;21-156;2000;1;1;90;1.0;3;3.00;7;4;57.1;0;0;1;0;0.0;0;0;0;0;;Matches
15;Rui Patrício\Rui-Patricio;pt POR;GK;Roma;33-194;1988;1;1;90;1.0;1;1.00;8;7;87.5;1;0;0;0;0.0;0;0;0;0;;Matches
16;Pepe Reina\Pepe-Reina;es ESP;GK;Lazio;38-362;1982;1;1;90;1.0;1;1.00;4;3;75.0;1;0;0;0;0.0;0;0;0;0;;Matches
17;Marco Silvestri\Marco-Silvestri;it ITA;GK;Udinese;30-179;1991;2;2;180;2.0;2;1.00;6;4;66.7;1;1;0;1;50.0;0;0;0;0;;Matches
18;Salvatore Sirigu\Salvatore-Sirigu;it ITA;GK;Genoa;34-228;1987;1;1;90;1.0;4;4.00;8;4;50.0;0;0;1;0;0.0;0;0;0;0;;Matches
19;Łukasz Skorupski\Lukasz-Skorupski;pl POL;GK;Bologna;30-115;1991;1;1;90;1.0;2;2.00;3;2;66.7;1;0;0;0;0.0;1;1;0;0;0.0;Matches
20;Wojciech Szczęsny\Wojciech-Szczesny;pl POL;GK;Juventus;31-132;1990;1;1;90;1.0;2;2.00;5;4;80.0;0;1;0;0;0.0;1;1;0;0;0.0;Matches
21;Pietro Terracciano\Pietro-Terracciano;it ITA;GK;Fiorentina;31-173;1990;1;0;71;0.8;3;3.80;6;3;50.0;;;;0;;0;0;0;0;;Matches
22;Guglielmo Vicario\Guglielmo-Vicario;it ITA;GK;Empoli;24-325;1996;1;1;90;1.0;3;3.00;3;1;33.3;0;0;1;0;0.0;1;1;0;0;0.0;Matches
23;Jeroen Zoet\Jeroen-Zoet;nl NED;GK;Spezia;30-234;1991;1;1;90;1.0;2;2.00;6;5;83.3;0;1;0;0;0.0;1;1;0;0;0.0;Matches
