Squad;# Pl;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;Performance-W;Performance-D;Performance-L;Performance-CS;Performance-CS%;Penalty Kicks-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;
Atalanta;2;6;6;540;6.0;6;1.00;16;12;75.0;3;2;1;2;33.3;3;2;0;1;0.0
Bologna;1;6;6;540;6.0;14;2.33;28;18;60.7;2;2;2;2;33.3;3;3;0;0;0.0
Cagliari;2;7;7;630;7.0;16;2.29;36;21;61.1;0;3;4;0;0.0;2;2;0;0;0.0
Empoli;1;6;6;540;6.0;10;1.67;25;16;64.0;3;0;3;2;33.3;2;1;0;1;0.0
Fiorentina;2;6;6;538;6.0;9;1.51;23;16;69.6;4;0;2;1;16.7;2;2;0;0;0.0
Genoa;1;7;7;630;7.0;16;2.29;37;24;64.9;1;2;4;0;0.0;3;3;0;0;0.0
Hellas Verona;2;6;6;540;6.0;14;2.33;29;17;55.2;1;2;3;0;0.0;1;1;0;0;0.0
Inter;1;7;7;630;7.0;8;1.14;27;20;74.1;5;2;0;1;14.3;1;1;0;0;0.0
Juventus;2;7;7;630;7.0;10;1.43;26;17;65.4;3;2;2;1;14.3;1;1;0;0;0.0
Lazio;1;6;6;540;6.0;9;1.50;24;15;66.7;3;2;1;0;0.0;2;1;0;1;0.0
Milan;1;6;6;540;6.0;3;0.50;19;15;84.2;5;1;0;3;50.0;0;0;0;0;
Napoli;2;6;6;540;6.0;2;0.33;18;16;88.9;6;0;0;4;66.7;0;0;0;0;
Roma;1;6;6;540;6.0;8;1.33;27;19;70.4;4;0;2;2;33.3;0;0;0;0;
Salernitana;1;7;7;630;7.0;15;2.14;39;24;61.5;1;1;5;1;14.3;0;0;0;0;
Sampdoria;1;6;6;540;6.0;10;1.67;29;20;69.0;1;2;3;2;33.3;1;1;0;0;0.0
Sassuolo;1;7;7;630;7.0;9;1.29;25;18;72.0;2;1;4;2;28.6;2;2;0;0;0.0
Spezia;1;6;6;540;6.0;15;2.50;36;22;61.1;1;1;4;0;0.0;2;1;1;0;50.0
Torino;1;7;7;630;7.0;7;1.00;18;13;72.2;2;2;3;2;28.6;2;2;0;0;0.0
Udinese;1;6;6;540;6.0;8;1.33;22;15;68.2;2;1;3;2;33.3;1;1;0;0;0.0
Venezia;2;7;7;630;7.0;12;1.71;31;21;67.7;1;2;4;0;0.0;3;2;0;1;0.0
