Rk;Player;Nation;Pos;Squad;Age;Born;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;Matches;
1;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Roma;24-001;1997;5.6;104;95;9;0;1;34;1;3;0;0;0;0;62;24;18;7;68;10;0;5;79;0;1;2;4;Matches
2;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;33-235;1988;6.0;426;410;16;11;1;36;10;1;0;0;0;0;314;49;63;329;70;14;0;0;379;0;7;3;3;Matches
3;Kevin Agudelo\Kevin-Agudelo;co COL;FW;Spezia;22-323;1998;0.3;16;16;0;0;0;8;0;0;0;0;0;0;11;3;2;14;1;0;0;0;11;0;1;0;1;Matches
4;Ola Aina\Ola-Aina;ng NGA;DF;Torino;24-360;1996;4.0;182;149;33;2;0;20;2;11;0;0;0;0;88;38;56;38;96;14;31;1;129;1;3;8;11;Matches
5;Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro;ci CIV;MF;Lazio;28-357;1992;1.7;52;52;0;0;0;7;0;0;0;0;0;0;37;14;1;9;36;2;0;1;43;0;0;2;4;Matches
6;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;29-005;1992;4.7;373;353;20;10;3;57;9;3;7;6;0;0;309;30;34;24;340;4;2;1;323;2;1;11;4;Matches
7;Giorgio Altare\Giorgio-Altare;it ITA;DF;Cagliari;23-055;1998;0.0;2;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;0;1;0;Matches
8;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Spezia;23-237;1998;4.6;185;143;42;5;0;33;6;6;0;0;0;0;110;49;26;19;121;6;37;1;151;1;6;3;5;Matches
9;Ethan Ampadu\Ethan-Ampadu;wls WAL;MF;Venezia;21-019;2000;1.2;74;72;2;2;0;9;4;0;0;0;0;0;49;17;8;15;55;2;0;0;59;1;0;4;1;Matches
10;Sofyan Amrabat\Sofyan-Amrabat;ma MAR;MF;Fiorentina;25-043;1996;1.0;75;72;3;3;0;5;3;0;0;0;0;0;59;7;9;1;68;5;0;1;70;0;0;1;3;Matches
11;Felipe Anderson\Felipe-Anderson;br BRA;FW;Lazio;28-171;1993;5.6;260;242;18;2;1;38;6;19;6;3;1;1;188;38;34;43;199;9;6;2;203;0;4;12;6;Matches
12;Cristian Ansaldi\Cristian-Ansaldi;ar ARG;DF;Torino;35-013;1986;3.0;167;138;29;1;0;18;7;16;2;0;1;0;79;33;55;51;86;3;26;0;122;0;5;4;10;Matches
13;Janis Antiste\Janis-Antiste;fr FRA;FWMF;Spezia;19-046;2002;3.5;63;56;7;0;1;11;0;3;0;0;0;0;42;12;9;13;42;5;0;0;43;2;1;3;2;Matches
14;Mattia Aramu\Mattia-Aramu;it ITA;FWMF;Venezia;26-142;1995;2.8;97;76;21;5;0;11;5;8;10;2;7;0;55;17;25;88;4;1;1;2;62;0;1;4;6;Matches
15;Marko Arnautović\Marko-Arnautovic;at AUT;FW;Bologna;32-167;1989;5.9;188;170;18;0;0;53;2;4;0;0;0;0;106;49;33;13;141;18;4;3;140;0;2;9;4;Matches
