Squad;# Pl;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Outcomes-Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;
Atalanta;23;6.0;3094;2789;305;98;4;449;102;59;36;18;14;2;2036;480;578;1156;1587;107;120;34;2496;8;60;73;75
Bologna;23;6.0;2981;2664;317;95;1;448;85;75;37;24;3;0;1963;445;573;712;1919;131;120;39;2414;1;40;76;68
Cagliari;24;7.0;3037;2679;358;100;3;384;75;77;30;13;13;1;1927;396;714;935;1716;104;140;48;2384;8;65;83;77
Empoli;23;6.0;2754;2404;350;89;1;425;64;101;36;7;18;3;1851;377;526;658;1776;78;158;36;2163;18;52;81;82
Fiorentina;24;6.0;3224;2943;281;102;3;346;105;66;26;8;10;1;2327;410;487;1202;1741;88;101;35;2736;8;43;83;58
Genoa;27;7.0;2956;2627;329;106;5;468;90;74;26;12;11;0;1956;403;597;824;1797;99;128;54;2338;11;55;78;65
Hellas Verona;24;6.0;2565;2292;273;74;0;406;51;64;25;8;7;5;1643;345;577;763;1450;131;106;47;1994;7;52;75;73
Inter;23;7.0;3342;3039;303;75;2;410;107;79;41;19;17;1;2366;419;557;780;2213;114;118;58;2766;9;38;113;70
Juventus;23;7.0;3268;2927;341;105;4;405;149;76;41;18;15;0;2195;492;581;1142;1792;97;124;50;2695;7;57;82;74
Lazio;22;6.0;3599;3324;275;83;12;398;63;65;24;14;5;1;2697;435;467;860;2422;104;105;44;3089;8;43;84;49
Milan;24;6.0;3269;3008;261;88;3;365;96;83;28;9;9;0;2410;383;476;1078;1938;66;97;46;2767;11;39;97;61
Napoli;23;6.0;3872;3612;260;88;10;505;97;57;36;11;14;2;3005;440;427;1407;2202;86;92;43;3431;10;29;86;58
Roma;21;6.0;3070;2783;287;87;11;327;97;62;41;27;9;1;2138;389;543;721;2058;98;101;31;2571;7;34;61;63
Salernitana;24;7.0;2455;2090;365;100;1;389;62;83;36;13;20;1;1276;407;772;756;1243;141;148;41;1707;10;39;82;90
Sampdoria;20;6.0;2650;2354;296;80;2;372;85;93;33;5;13;1;1642;381;627;690;1631;116;110;46;2051;16;51;67;74
Sassuolo;20;7.0;3717;3353;364;116;3;559;105;60;39;11;22;0;2718;452;547;1193;2214;99;117;41;3110;8;43;76;86
Spezia;24;6.0;2545;2242;303;81;3;382;73;60;27;14;5;1;1691;363;491;799;1461;81;121;44;2018;6;62;67;57
Torino;23;7.0;3115;2816;299;85;5;485;102;92;28;11;10;0;1918;471;726;920;1785;129;136;48;2431;11;67;47;86
Udinese;19;6.0;2722;2431;291;85;2;304;59;55;27;9;10;6;1976;337;409;756;1710;72;114;30;2252;11;41;67;58
Venezia;27;7.0;3000;2677;323;92;3;432;69;76;21;5;14;0;1990;401;609;828;1803;87;138;61;2399;8;52;93;75
