Squad;# Pl;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;
Atalanta;16;1.0;328;462;71.0;6372;2348;139;176;79.0;138;176;78.4;46;92;50.0;2;0.8;+1.2;5;13;7;1;20
Bologna;16;1.0;485;588;82.5;8629;2694;227;254;89.4;195;230;84.8;53;81;65.4;3;1.2;+1.8;11;36;8;1;38
Cagliari;16;1.0;409;519;78.8;7921;2941;161;184;87.5;180;197;91.4;61;115;53.0;1;1.2;-0.2;12;39;12;3;34
Empoli;16;1.0;411;496;82.9;8132;2239;145;164;88.4;200;229;87.3;61;91;67.0;1;1.1;-0.1;13;31;16;3;40
Fiorentina;16;1.0;498;564;88.3;10124;3159;173;190;91.1;234;257;91.1;81;96;84.4;1;1.2;-0.2;10;44;11;2;50
Genoa;16;1.0;365;430;84.9;6926;2096;148;161;91.9;157;174;90.2;53;81;65.4;0;0.9;-0.9;9;15;9;0;28
Hellas Verona;20;2.0;563;727;77.4;11057;4385;242;269;90.0;205;245;83.7;96;160;60.0;1;1.7;-0.7;17;45;17;7;56
Inter;18;2.0;951;1121;84.8;18502;5887;381;423;90.1;419;469;89.3;134;191;70.2;6;2.8;+3.2;28;75;22;8;77
Juventus;16;1.0;480;551;87.1;9916;2769;169;192;88.0;229;238;96.2;77;105;73.3;2;0.7;+1.3;8;26;4;1;29
Lazio;16;1.0;517;590;87.6;9306;3139;271;295;91.9;170;198;85.9;66;80;82.5;2;0.5;+1.5;6;30;10;2;35
Milan;15;1.0;349;442;79.0;6135;2357;166;183;90.7;123;149;82.6;43;83;51.8;1;0.7;+0.3;7;20;7;1;25
Napoli;15;1.0;521;586;88.9;10384;2465;190;215;88.4;252;270;93.3;75;96;78.1;0;0.5;-0.5;6;33;6;1;33
Roma;15;1.0;334;407;82.1;6847;2325;128;147;87.1;145;160;90.6;60;90;66.7;3;2.3;+0.7;8;18;4;0;23
Salernitana;16;1.0;130;233;55.8;2599;1274;60;88;68.2;46;69;66.7;22;65;33.8;0;0.3;-0.3;4;11;3;2;11
Sampdoria;14;1.0;331;428;77.3;6657;2751;130;155;83.9;136;164;82.9;57;92;62.0;0;0.4;-0.4;10;31;8;3;37
Sassuolo;16;1.0;481;540;89.1;8299;2865;238;253;94.1;167;182;91.8;58;79;73.4;3;1.1;+1.9;12;30;5;0;31
Spezia;13;1.0;244;324;75.3;4703;1640;90;110;81.8;126;144;87.5;26;65;40.0;2;0.7;+1.3;9;21;5;1;22
Torino;15;1.0;304;413;73.6;5897;2192;121;141;85.8;138;164;84.1;35;87;40.2;1;1.1;-0.1;14;27;7;3;32
Udinese;16;2.0;732;897;81.6;13819;4173;314;362;86.7;301;348;86.5;105;160;65.6;3;2.8;+0.2;24;46;16;4;48
Venezia;24;2.0;868;1010;85.9;17208;4951;332;369;90.0;406;442;91.9;125;175;71.4;0;1.5;-1.5;16;51;16;5;60
