Rk;Player;Nation;Pos;Squad;Age;Born;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;Matches;
1;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Roma;23-330;1997;0.8;14;0;1;6;8;5;13;1;2;50.0;1;0;7;27;17;1;0;1;1;0;24;10;41.7;5;Matches
2;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;33-199;1988;1.0;46;10;34;15;1;0;46;0;0;;0;0;25;137;33;1;0;0;0;1;24;23;95.8;0;Matches
3;Ola Aina\Ola-Aina;ng NGA;DF;Torino;24-324;1996;1.0;66;2;11;31;29;5;57;0;0;;0;0;36;237;144;6;3;2;3;0;39;37;94.9;3;Matches
4;Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro;ci CIV;MF;Lazio;28-321;1992;0.5;22;0;4;12;8;0;22;0;0;;0;0;19;68;10;1;0;0;1;1;20;16;80.0;3;Matches
5;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;28-334;1992;0.5;54;0;18;31;12;0;53;0;0;;0;0;46;299;210;2;1;0;0;1;51;48;94.1;0;Matches
6;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Spezia;23-201;1998;1.0;39;4;20;11;9;2;33;0;1;0.0;0;0;17;64;16;0;0;0;2;0;22;18;81.8;2;Matches
7;Felipe Anderson\Felipe-Anderson;br BRA;FW;Lazio;28-135;1993;1.0;87;2;11;51;30;6;84;4;4;100.0;4;0;73;297;141;10;0;2;1;5;75;71;94.7;4;Matches
8;Marko Arnautović\Marko-Arnautovic;at AUT;FW;Bologna;32-131;1989;0.9;37;0;1;17;20;8;33;1;1;100.0;1;0;20;54;17;1;1;1;1;2;42;29;69.0;13;Matches
9;Tolgay Arslan\Tolgay-Arslan;de GER;MF;Udinese;31-012;1990;1.8;92;2;16;52;41;3;91;2;6;33.3;2;0;71;541;339;18;11;0;1;2;78;67;85.9;3;Matches
10;Emil Audero\Emil-Audero;it ITA;GK;Sampdoria;24-222;1997;1.0;37;36;37;0;0;0;23;0;0;;0;0;14;55;45;0;0;0;0;0;13;13;100.0;0;Matches
11;Tommaso Augello\Tommaso-Augello;it ITA;DF;Sampdoria;26-363;1994;0.8;41;1;17;18;11;0;34;0;0;;0;0;21;133;101;6;4;0;0;0;27;25;92.6;1;Matches
12;Kaan Ayhan\Kaan-Ayhan;tr TUR;DF;Sassuolo;26-291;1994;0.0;4;0;4;1;0;0;4;0;0;;0;0;3;21;20;0;0;0;0;0;3;3;100.0;0;Matches
