Squad;# Pl;Poss;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;
Atalanta;23;54.0;6.0;3814;336;1180;1731;1109;181;3518;34;76;44.7;37;2;2364;11234;5833;230;69;25;81;68;2926;2496;85.3;230
Bologna;23;55.7;6.0;3636;397;1105;1824;946;133;3330;52;98;53.1;57;3;2309;12613;6391;259;90;11;69;53;2837;2414;85.1;178
Cagliari;24;43.4;7.0;3776;522;1454;1694;824;132;3435;45;82;54.9;46;1;2261;11929;6214;196;64;17;91;46;2862;2384;83.3;174
Empoli;23;49.7;6.0;3447;429;1045;1497;1138;190;3115;48;98;49.0;54;1;2130;12398;6511;265;83;26;59;66;2632;2163;82.2;232
Fiorentina;24;55.7;6.0;3836;440;1341;1891;860;120;3563;26;62;41.9;32;5;2649;13650;7104;260;94;26;79;50;3125;2736;87.6;192
Genoa;27;43.1;7.0;3811;516;1456;1747;833;125;3486;65;115;56.5;72;7;2356;11588;6017;224;76;25;87;70;2758;2338;84.8;181
Hellas Verona;24;48.8;6.0;3269;384;1040;1537;863;135;2999;41;80;51.3;47;2;1956;9797;5442;218;72;26;67;73;2413;1994;82.6;187
Inter;23;50.0;7.0;4068;505;1400;1905;1031;202;3770;46;90;51.1;50;2;2546;14514;7730;275;103;29;77;46;3170;2766;87.3;241
Juventus;23;50.4;7.0;4103;492;1498;1880;988;166;3775;50;95;52.6;57;5;2535;13366;6920;263;81;34;102;84;3107;2695;86.7;197
Lazio;22;57.5;6.0;4267;428;1352;2192;996;139;3994;49;77;63.6;51;5;2953;14323;7894;293;95;27;68;68;3451;3089;89.5;212
Milan;24;56.7;6.0;3912;343;1151;1987;1041;179;3663;75;137;54.7;86;8;2698;14577;7870;299;94;32;86;41;3177;2767;87.1;216
Napoli;23;61.2;6.0;4451;343;1168;2307;1254;174;4198;52;86;60.5;56;5;3130;16344;9085;389;107;43;46;52;3767;3431;91.1;238
Roma;21;53.5;6.0;3704;347;1090;1858;969;179;3429;43;84;51.2;48;3;2377;11995;6246;265;85;29;80;47;2939;2571;87.5;198
Salernitana;24;38.7;7.0;3229;403;1052;1467;894;143;2876;46;68;67.6;46;2;1782;9462;4920;189;72;20;86;72;2277;1707;75.0;189
Sampdoria;20;47.3;6.0;3297;417;1100;1464;923;121;3010;48;73;65.8;53;0;1940;9347;4783;193;75;18;62;60;2483;2051;82.6;223
Sassuolo;20;56.3;7.0;4499;635;1808;2076;910;165;4146;59;111;53.2;67;9;2957;15465;8867;302;93;40;100;81;3523;3110;88.3;236
Spezia;24;45.2;6.0;3222;444;1263;1414;723;105;2931;50;82;61.0;50;5;1933;9949;5196;199;60;14;63;80;2415;2018;83.6;161
Torino;23;49.3;7.0;3961;385;1187;1864;1144;166;3667;55;92;59.8;62;3;2451;12271;6607;275;85;36;103;78;2948;2431;82.5;204
Udinese;19;44.0;6.0;3382;405;1172;1639;813;110;3101;57;106;53.8;64;4;2224;12014;6739;267;90;14;76;62;2583;2252;87.2;138
Venezia;27;44.6;7.0;3840;557;1551;1777;767;118;3526;48;105;45.7;54;8;2256;12698;7397;241;72;28;89;91;2866;2399;83.7;186
