Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Performance-PK;Performance-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;Matches;
1;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Roma;24-001;1997;5.6;2;13;3;23.1;2.33;0.54;0.15;0.67;11.7;0;0;0;3.0;3.0;0.23;-1.0;-1.0;Matches
2;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;33-235;1988;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
3;Kevin Agudelo\Kevin-Agudelo;co COL;FW;Spezia;22-323;1998;0.3;0;2;2;100.0;6.21;6.21;0.00;0.00;20.7;0;0;0;0.2;0.2;0.10;-0.2;-0.2;Matches
4;Ola Aina\Ola-Aina;ng NGA;DF;Torino;24-360;1996;4.0;0;3;1;33.3;0.74;0.25;0.00;0.00;22.9;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Matches
5;Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro;ci CIV;MF;Lazio;28-357;1992;1.7;0;1;0;0.0;0.60;0.00;0.00;;11.0;0;0;0;0.4;0.4;0.36;-0.4;-0.4;Matches
6;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;29-005;1992;4.7;1;9;2;22.2;1.92;0.43;0.11;0.50;19.8;1;0;0;0.6;0.6;0.07;+0.4;+0.4;Matches
7;Giorgio Altare\Giorgio-Altare;it ITA;DF;Cagliari;23-055;1998;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
8;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Spezia;23-237;1998;4.6;0;2;0;0.0;0.44;0.00;0.00;;16.5;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matches
9;Ethan Ampadu\Ethan-Ampadu;wls WAL;MF;Venezia;21-019;2000;1.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
10;Sofyan Amrabat\Sofyan-Amrabat;ma MAR;MF;Fiorentina;25-043;1996;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
11;Felipe Anderson\Felipe-Anderson;br BRA;FW;Lazio;28-171;1993;5.6;2;8;3;37.5;1.44;0.54;0.25;0.67;16.0;0;0;0;1.2;1.2;0.15;+0.8;+0.8;Matches
12;Cristian Ansaldi\Cristian-Ansaldi;ar ARG;DF;Torino;35-013;1986;3.0;0;2;0;0.0;0.67;0.00;0.00;;17.8;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matches
13;Janis Antiste\Janis-Antiste;fr FRA;FWMF;Spezia;19-046;2002;3.5;1;5;2;40.0;1.42;0.57;0.20;0.50;11.5;0;0;0;0.5;0.5;0.10;+0.5;+0.5;Matches
14;Mattia Aramu\Mattia-Aramu;it ITA;FWMF;Venezia;26-142;1995;2.8;1;5;1;20.0;1.78;0.36;0.00;0.00;29.0;3;1;1;1.0;0.2;0.04;0.0;-0.2;Matches
15;Marko Arnautović\Marko-Arnautovic;at AUT;FW;Bologna;32-167;1989;5.9;3;18;5;27.8;3.03;0.84;0.11;0.40;15.5;1;1;2;3.8;2.2;0.12;-0.8;-0.2;Matches
16;Tolgay Arslan\Tolgay-Arslan;de GER;MF;Udinese;31-048;1990;4.1;0;3;3;100.0;0.74;0.74;0.00;0.00;21.7;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matches
17;Kristoffer Askildsen\Kristoffer-Askildsen;no NOR;MF;Sampdoria;20-267;2001;1.1;0;1;0;0.0;0.89;0.00;0.00;;19.0;0;0;0;0.0;0.0;0.04;0.0;0.0;Matches
18;Kristjan Asllani\Kristjan-Asllani;al ALB;FWMF;Empoli;19-208;2002;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
19;Emil Audero\Emil-Audero;it ITA;GK;Sampdoria;24-258;1997;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
20;Tommaso Augello\Tommaso-Augello;it ITA;DF;Sampdoria;27-034;1994;5.0;1;2;1;50.0;0.40;0.20;0.50;1.00;16.7;0;0;0;0.1;0.1;0.05;+0.9;+0.9;Matches
21;Ramzi Aya\Ramzi-Aya;it ITA;DF;Salernitana;31-062;1990;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
22;Kaan Ayhan\Kaan-Ayhan;tr TUR;DFMF;Sassuolo;26-327;1994;1.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
23;Milan Badelj\Milan-Badelj;hr CRO;MF;Genoa;32-220;1989;6.0;0;3;1;33.3;0.50;0.17;0.00;0.00;22.5;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matches
24;Nedim Bajrami\Nedim-Bajrami;al ALB;MF;Empoli;22-217;1999;4.6;2;13;3;23.1;2.83;0.65;0.00;0.00;23.4;2;2;2;2.3;0.8;0.06;-0.3;-0.8;Matches
25;Tiemoué Bakayoko\Tiemoue-Bakayoko;fr FRA;MF;Milan;27-047;1994;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
