Squad;# Pl;90s;Standard-Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Standard-PK;Standard-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;
Atalanta;16;1.0;2;7;2;28.6;7.00;2.00;0.29;1.00;14.6;0;0;0;1.0;1.0;0.14;+1.0;+1.0
Bologna;16;1.0;3;18;7;38.9;18.00;7.00;0.17;0.43;17.2;2;0;0;1.5;1.5;0.09;+1.5;+1.5
Cagliari;16;1.0;2;19;6;31.6;19.00;6.00;0.05;0.17;15.1;0;1;1;2.7;1.9;0.10;-0.7;-0.9
Empoli;16;1.0;1;17;4;23.5;17.00;4.00;0.06;0.25;17.4;0;0;0;1.3;1.3;0.08;-0.3;-0.3
Fiorentina;16;1.0;1;11;8;72.7;11.00;8.00;0.09;0.13;15.5;0;0;0;1.3;1.3;0.11;-0.3;-0.3
Genoa;16;1.0;0;10;4;40.0;10.00;4.00;0.00;0.00;20.5;1;0;0;1.0;1.0;0.10;-1.0;-1.0
Hellas Verona;20;2.0;3;22;4;18.2;11.00;2.00;0.09;0.50;14.8;1;1;1;2.9;2.2;0.10;+0.1;-0.2
Inter;18;2.0;7;33;16;48.5;16.50;8.00;0.21;0.44;13.5;0;0;0;3.3;3.3;0.10;+3.7;+3.7
Juventus;16;1.0;2;10;3;30.0;10.00;3.00;0.20;0.67;14.9;0;0;0;0.8;0.8;0.08;+1.2;+1.2
Lazio;16;1.0;3;7;3;42.9;7.00;3.00;0.29;0.67;14.4;0;1;1;1.3;0.5;0.08;+1.7;+1.5
Milan;15;1.0;1;11;3;27.3;11.00;3.00;0.09;0.33;19.3;0;0;0;1.1;1.1;0.10;-0.1;-0.1
Napoli;15;1.0;2;11;3;27.3;11.00;3.00;0.09;0.33;20.6;3;1;2;2.3;0.8;0.07;-0.3;+0.2
Roma;15;1.0;3;11;6;54.5;11.00;6.00;0.27;0.50;13.6;0;0;0;2.7;2.7;0.25;+0.3;+0.3
Salernitana;16;1.0;2;9;3;33.3;9.00;3.00;0.11;0.33;17.3;1;1;1;1.6;0.8;0.10;+0.4;+0.2
Sampdoria;14;1.0;0;17;3;17.6;17.00;3.00;0.00;0.00;18.1;2;0;0;1.1;1.1;0.06;-1.1;-1.1
Sassuolo;16;1.0;3;18;7;38.9;18.00;7.00;0.17;0.43;18.6;1;0;0;1.5;1.5;0.08;+1.5;+1.5
Spezia;13;1.0;2;12;4;33.3;12.00;4.00;0.17;0.50;21.1;1;0;0;0.8;0.8;0.07;+1.2;+1.2
Torino;15;1.0;1;21;7;33.3;21.00;7.00;0.05;0.14;18.6;1;0;0;1.3;1.3;0.06;-0.3;-0.3
Udinese;16;2.0;5;32;15;46.9;16.00;7.50;0.13;0.27;16.4;1;1;1;4.8;4.1;0.13;+0.2;-0.1
Venezia;24;2.0;0;19;7;36.8;9.50;3.50;0.00;0.00;16.7;0;0;0;1.6;1.6;0.09;-1.6;-1.6
