Squad;# Pl;Age;Poss;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;
Atalanta;16;27.2;52.0;1;11;90;1.0;2;2;2;0;0;2;0;2.00;2.00;4.00;2.00;4.00;1.0;1.0;0.8;1.8;0.96;0.84;1.80;0.96;1.80
Bologna;16;27.4;73.0;1;11;90;1.0;3;3;3;0;0;5;2;3.00;3.00;6.00;3.00;6.00;1.5;1.5;1.2;2.7;1.55;1.18;2.73;1.55;2.73
Cagliari;16;27.5;58.0;1;11;90;1.0;2;1;1;1;1;2;0;2.00;1.00;3.00;1.00;2.00;2.7;1.9;1.2;3.1;2.66;1.20;3.86;1.90;3.10
Empoli;16;25.3;45.0;1;11;90;1.0;1;1;1;0;0;2;0;1.00;1.00;2.00;1.00;2.00;1.3;1.3;1.1;2.4;1.35;1.10;2.45;1.35;2.45
Fiorentina;16;26.2;58.0;1;11;90;1.0;1;1;1;0;0;2;1;1.00;1.00;2.00;1.00;2.00;1.3;1.3;1.2;2.5;1.25;1.22;2.48;1.25;2.48
Genoa;16;27.6;40.0;1;11;90;1.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1.0;1.0;0.9;1.9;1.00;0.91;1.91;1.00;1.91
Hellas Verona;20;26.3;41.0;2;22;180;2.0;3;1;2;1;1;5;1;1.50;0.50;2.00;1.00;1.50;2.9;2.2;1.7;3.9;1.47;0.86;2.34;1.09;1.96
Inter;18;29.2;58.5;2;22;180;2.0;7;6;7;0;0;3;0;3.50;3.00;6.50;3.50;6.50;3.3;3.3;2.8;6.2;1.67;1.42;3.10;1.67;3.10
Juventus;16;29.3;57.0;1;11;90;1.0;2;2;2;0;0;3;0;2.00;2.00;4.00;2.00;4.00;0.8;0.8;0.7;1.5;0.81;0.68;1.49;0.81;1.49
Lazio;16;29.9;55.0;1;11;90;1.0;3;2;2;1;1;1;0;3.00;2.00;5.00;2.00;4.00;1.3;0.5;0.5;1.0;1.29;0.47;1.76;0.53;1.00
Milan;15;25.8;50.0;1;11;90;1.0;1;1;1;0;0;1;0;1.00;1.00;2.00;1.00;2.00;1.1;1.1;0.7;1.8;1.06;0.70;1.75;1.06;1.75
Napoli;15;27.5;56.0;1;11;90;1.0;2;0;1;1;2;1;1;2.00;0.00;2.00;1.00;1.00;2.3;0.8;0.5;1.3;2.27;0.47;2.75;0.78;1.25
Roma;15;26.6;42.0;1;11;90;1.0;3;3;3;0;0;3;1;3.00;3.00;6.00;3.00;6.00;2.7;2.7;2.3;5.0;2.71;2.28;4.99;2.71;4.99
Salernitana;16;26.3;27.0;1;11;90;1.0;2;0;1;1;1;3;1;2.00;0.00;2.00;1.00;1.00;1.6;0.8;0.3;1.1;1.60;0.27;1.87;0.84;1.11
Sampdoria;14;29.4;50.0;1;11;90;1.0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;1.1;1.1;0.4;1.5;1.06;0.44;1.49;1.06;1.49
Sassuolo;16;27.5;61.0;1;11;90;1.0;3;3;3;0;0;2;0;3.00;3.00;6.00;3.00;6.00;1.5;1.5;1.1;2.6;1.51;1.08;2.59;1.51;2.59
Spezia;13;24.5;42.0;1;11;90;1.0;2;2;2;0;0;3;0;2.00;2.00;4.00;2.00;4.00;0.8;0.8;0.7;1.5;0.80;0.68;1.48;0.80;1.48
Torino;15;26.0;48.0;1;11;90;1.0;1;1;1;0;0;2;0;1.00;1.00;2.00;1.00;2.00;1.3;1.3;1.1;2.5;1.33;1.12;2.46;1.33;2.46
Udinese;16;27.7;44.5;2;22;180;2.0;5;3;4;1;1;3;0;2.50;1.50;4.00;2.00;3.50;4.8;4.1;2.8;6.9;2.39;1.38;3.77;2.05;3.43
Venezia;24;26.1;50.0;2;22;180;2.0;0;0;0;0;0;10;0;0.00;0.00;0.00;0.00;0.00;1.6;1.6;1.5;3.0;0.78;0.74;1.52;0.78;1.52
