Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Playing Time-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success-On-Off;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;Team Success (xG)-On-Off;Matches;
1;Tammy Abraham\Tammy-Abraham;eng ENG;FW;Roma;24-001;1997;6;503;84;93.1;5.6;6;84;3;0;;0;2.00;13;8;+5;+0.89;-1.54;10.7;7.1;+3.6;+0.64;-1.49;Matches
2;Francesco Acerbi\Francesco-Acerbi;it ITA;DF;Lazio;33-235;1988;6;540;90;100.0;6.0;6;90;6;0;;0;1.83;15;9;+6;+1.00;;10.0;10.3;-0.3;-0.05;;Matches
3;Marius Adamonis\Marius-Adamonis;lt LTU;GK;Lazio;24-143;1997;0;;;;;0;;0;0;;6;;;;;;;;;;;;Matches
4;Lucien Agoume\Lucien-Agoume;fr FRA;MF;Inter;19-236;2002;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
5;Kevin Agudelo\Kevin-Agudelo;co COL;MF;Genoa;22-323;1998;0;;;;;0;;0;0;;2;;;;;;;;;;;;Matches
6;Kevin Agudelo\Kevin-Agudelo;co COL;FW;Spezia;22-323;1998;1;29;29;5.4;0.3;0;;0;1;29;0;0.00;0;1;-1;-3.10;-2.05;0.5;0.3;+0.2;+0.62;+1.83;Matches
7;Ola Aina\Ola-Aina;ng NGA;DF;Torino;24-360;1996;6;363;61;57.6;4.0;5;69;1;1;17;0;1.17;3;4;-1;-0.25;-1.26;5.2;2.8;+2.5;+0.61;+0.67;Matches
8;Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro;ci CIV;MF;Lazio;28-357;1992;4;151;38;28.0;1.7;2;62;0;2;14;2;2.00;3;3;0;0.00;-1.39;1.9;2.5;-0.6;-0.37;-0.44;Matches
9;Luis Alberto\Luis-Alberto;es ESP;MF;Lazio;29-005;1992;6;422;70;78.1;4.7;5;75;2;1;45;0;1.83;11;6;+5;+1.07;+0.30;7.3;8.0;-0.7;-0.15;-0.47;Matches
10;Giorgio Altare\Giorgio-Altare;it ITA;DF;Cagliari;23-055;1998;1;4;4;0.6;0.0;0;;0;1;4;6;1.00;0;1;-1;-22.50;-21.49;0.1;0.4;-0.3;-6.28;-5.90;Matches
11;Wisdom Amey\Wisdom-Amey;it ITA;DF;Bologna;16-053;2005;0;;;;;0;;0;0;;4;;;;;;;;;;;;Matches
12;Kelvin Amian\Kelvin-Amian;fr FRA;DF;Spezia;23-237;1998;5;413;83;76.5;4.6;5;83;4;0;;0;0.80;8;12;-4;-0.87;+1.25;3.6;10.8;-7.3;-1.58;-2.00;Matches
13;Ethan Ampadu\Ethan-Ampadu;wls WAL;MF;Venezia;21-019;2000;2;106;53;16.8;1.2;1;53;0;1;53;0;1.00;1;2;-1;-0.85;+0.18;1.5;0.9;+0.6;+0.49;+1.05;Matches
14;Sofyan Amrabat\Sofyan-Amrabat;ma MAR;MF;Fiorentina;25-043;1996;4;90;23;16.7;1.0;0;;0;4;23;1;2.25;1;2;-1;-1.00;-1.20;0.4;3.8;-3.5;-3.46;-3.58;Matches
15;Felipe Anderson\Felipe-Anderson;br BRA;FW;Lazio;28-171;1993;6;500;83;92.6;5.6;6;83;3;0;;0;1.83;14;8;+6;+1.08;+1.08;9.7;9.3;+0.4;+0.07;+1.58;Matches
16;Lorenzo Andrenacci\Lorenzo-Andrenacci;it ITA;GK;Genoa;26-274;1995;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
17;Ebenezer Annan\Ebenezer-Annan;gh GHA;DF;Bologna;19-043;2002;0;;;;;0;;0;0;;1;;;;;;;;;;;;Matches
18;Cristian Ansaldi\Cristian-Ansaldi;ar ARG;DF;Torino;35-013;1986;6;267;45;42.4;3.0;2;82;1;4;26;0;1.33;6;3;+3;+1.01;+1.26;3.3;3.5;-0.2;-0.06;-0.67;Matches
19;Janis Antiste\Janis-Antiste;fr FRA;FWMF;Spezia;19-046;2002;5;317;63;58.7;3.5;4;77;1;1;11;0;0.60;3;7;-4;-1.14;+0.08;3.0;4.7;-1.7;-0.47;+1.55;Matches
20;Mattia Aramu\Mattia-Aramu;it ITA;FWMF;Venezia;26-142;1995;5;253;51;40.2;2.8;3;66;1;2;28;0;1.00;2;4;-2;-0.71;+0.48;3.6;2.7;+0.9;+0.31;+1.16;Matches
21;Simone Aresti\Simone-Aresti;it ITA;GK;Cagliari;35-202;1986;0;;;;;0;;0;0;;7;;;;;;;;;;;;Matches
22;Marko Arnautović\Marko-Arnautovic;at AUT;FW;Bologna;32-167;1989;6;534;89;98.9;5.9;6;89;4;0;;0;1.33;9;14;-5;-0.84;-0.84;8.1;9.5;-1.4;-0.23;-0.86;Matches
23;Tolgay Arslan\Tolgay-Arslan;de GER;MF;Udinese;31-048;1990;6;366;61;67.8;4.1;5;72;0;1;6;0;1.17;3;6;-3;-0.74;-1.25;4.2;6.0;-1.8;-0.44;-0.98;Matches
24;Kristoffer Askildsen\Kristoffer-Askildsen;no NOR;MF;Sampdoria;20-267;2001;5;101;20;18.7;1.1;0;;0;5;20;1;1.00;1;0;+1;+0.89;+1.71;0.6;1.2;-0.6;-0.54;+0.02;Matches
25;Kristjan Asllani\Kristjan-Asllani;al ALB;FWMF;Empoli;19-208;2002;2;19;10;3.5;0.2;0;;0;2;10;2;3.00;1;0;+1;+4.74;+5.08;0.4;0.4;0.0;+0.05;+0.23;Matches
26;Emil Audero\Emil-Audero;it ITA;GK;Sampdoria;24-258;1997;6;540;90;100.0;6.0;6;90;6;0;;0;0.83;7;10;-3;-0.50;;5.8;9.2;-3.4;-0.56;;Matches
27;Tommaso Augello\Tommaso-Augello;it ITA;DF;Sampdoria;27-034;1994;6;449;75;83.1;5.0;5;83;3;1;32;0;0.83;6;7;-1;-0.20;+1.78;4.8;7.1;-2.3;-0.46;+0.61;Matches
28;Ramzi Aya\Ramzi-Aya;it ITA;DF;Salernitana;31-062;1990;1;90;90;14.3;1.0;1;90;1;0;;1;0.00;0;4;-4;-4.00;-3.00;0.3;1.9;-1.6;-1.59;-1.17;Matches
