Squad;# Pl;Age;Playing Time-MP;Playing Time-Min;Playing Time-Mn/MP;Playing Time-Min%;Playing Time-90s;Starts-Starts;Starts-Mn/Start;Starts-Compl;Subs-Subs;Subs-Mn/Sub;Subs-unSub;Team Success-PPM;Team Success-onG;Team Success-onGA;Team Success-+/-;Team Success-+/-90;Team Success (xG)-onxG;Team Success (xG)-onxGA;Team Success (xG)-xG+/-;Team Success (xG)-xG+/-90;
Atalanta;16;27.2;1;90;90;100;1.0;11;81;6;5;20;5;3.00;2;1;+1;+1.00;1.0;1.3;-0.4;-0.38
Bologna;16;27.4;1;90;90;100;1.0;11;78;4;5;17;7;3.00;3;2;+1;+1.00;1.5;1.6;-0.1;-0.05
Cagliari;16;27.5;1;90;90;100;1.0;11;82;6;5;17;7;1.00;2;2;0;0.00;2.7;0.8;+1.9;+1.86
Empoli;16;25.3;1;90;90;100;1.0;11;84;6;5;14;7;0.00;1;3;-2;-2.00;1.3;1.3;+0.1;+0.06
Fiorentina;16;26.2;1;90;90;100;1.0;11;70;5;5;29;7;0.00;1;3;-2;-2.00;1.3;2.7;-1.5;-1.46
Genoa;16;27.6;1;90;90;100;1.0;11;73;6;5;38;7;0.00;0;4;-4;-4.00;1.0;1.6;-0.6;-0.64
Hellas Verona;20;26.3;2;180;90;100;2.0;22;76;11;10;27;14;0.00;3;6;-3;-1.50;2.9;3.2;-0.3;-0.14
Inter;18;29.2;2;180;90;100;2.0;22;83;12;10;15;14;3.00;7;1;+6;+3.00;3.3;1.8;+1.5;+0.77
Juventus;16;29.3;1;90;90;100;1.0;11;80;6;5;22;7;1.00;2;2;0;0.00;0.8;2.2;-1.4;-1.38
Lazio;16;29.9;1;90;90;100;1.0;11;80;6;5;23;7;3.00;3;1;+2;+2.00;1.3;1.3;-0.1;-0.06
Milan;15;25.8;1;90;90;100;1.0;11;85;7;4;14;8;3.00;1;0;+1;+1.00;1.1;1.1;0.0;0.00
Napoli;15;27.5;1;90;90;100;1.0;11;75;6;4;25;8;3.00;2;0;+2;+2.00;2.3;0.5;+1.7;+1.74
Roma;15;26.6;1;90;90;100;1.0;11;83;6;4;10;8;3.00;3;1;+2;+2.00;2.7;1.3;+1.5;+1.46
Salernitana;16;26.3;1;90;90;100;1.0;11;78;5;5;15;6;0.00;2;3;-1;-1.00;1.6;1.5;+0.1;+0.05
Sampdoria;14;29.4;1;90;90;100;1.0;11;86;8;3;15;8;0.00;0;1;-1;-1.00;1.1;1.1;0.0;0.00
Sassuolo;16;27.5;1;90;90;100;1.0;11;86;6;5;8;6;3.00;3;2;+1;+1.00;1.5;2.1;-0.6;-0.63
Spezia;13;24.5;1;90;90;100;1.0;11;87;9;2;14;3;1.00;2;2;0;0.00;0.8;2.7;-1.9;-1.86
Torino;15;26.0;1;90;90;100;1.0;11;80;7;4;26;8;0.00;1;2;-1;-1.00;1.3;1.0;+0.4;+0.38
Udinese;16;27.7;2;180;90;100;2.0;22;83;13;9;16;15;2.00;5;2;+3;+1.50;4.8;1.8;+3.0;+1.48
Venezia;24;26.1;2;180;90;100;2.0;22;80;12;10;23;12;0.00;0;5;-5;-2.50;1.6;4.9;-3.3;-1.66
