id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OGMatches
1;Issah Abbas\Issah-Abbas;gh GHA;FW;Utrecht;20;1998;9.3;4;0;0;17;12;13;6;11;4;;;0;Matches
2;Dirk Abels\Dirk-Abels;nl NED;DF;Sparta R'dam;22;1997;20.0;1;0;0;16;8;1;35;13;33;;;0;Matches
3;Abdallah Aberkane\Abdallah-Aberkane;nl NED;DF;Sparta R'dam;19;2000;0.0;0;0;0;1;0;0;0;0;0;;;0;Matches
4;Nassim El Ablak\Nassim-El-Ablak;nl NED;MF;Fortuna Sittard;19;2000;0.6;0;0;0;3;1;0;2;0;2;;;0;Matches
5;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;AZ Alkmaar;19;2000;2.1;0;0;0;5;9;2;3;3;1;;;0;Matches
6;Zakaria Aboukhlal\Zakaria-Aboukhlal;nl NED;FW;PSV Eindhoven;19;2000;0.0;0;0;0;0;0;0;0;0;0;;;0;Matches
7;Amir Absalem\Amir-Absalem;nl NED;DF;Groningen;22;1997;3.9;3;0;0;8;3;0;5;3;6;;;0;Matches
8;Giorgi Aburjania\Giorgi-Aburjania;ge GEO;MF;Twente;24;1995;6.1;2;0;0;13;13;0;7;12;6;;;0;Matches
9;Ragnar Ache\Ragnar-Ache;de GER;FW;Sparta R'dam;21;1998;16.5;0;0;0;24;20;14;7;7;2;;;0;Matches
10;Luka Adžić\Luka-Adzic;rs SRB;FW;Emmen;20;1998;1.0;0;0;0;0;1;0;0;1;0;;;0;Matches
11;Ibrahim Afellay\Ibrahim-Afellay;nl NED;MF;PSV Eindhoven;33;1986;1.2;2;1;1;2;1;0;0;1;1;;;0;Matches
12;Hamdi Akujobi\Hamdi-Akujobi;nl NED;MF;Heerenveen;19;2000;0.4;0;0;0;1;2;0;0;1;0;;;0;Matches
13;Edson Álvarez\Edson-Alvarez;mx MEX;MFDF;Ajax;21;1997;6.1;1;0;0;8;3;1;1;6;20;;;0;Matches
14;Gregoire Amiot\Gregoire-Amiot;fr FRA;DF;Fortuna Sittard;24;1995;6.5;0;0;0;4;1;0;0;6;17;;;0;Matches
15;Martin Angha\Martin-Angha;ch SUI;DF;Fortuna Sittard;25;1994;13.8;2;0;0;12;12;1;11;16;24;;;0;Matches
16;Miguel Araujo\Miguel-Araujo;pe PER;DF;Emmen;24;1994;11.0;0;0;0;8;5;1;1;19;10;;;1;Matches
17;Jafar Arias\Jafar-Arias;cw CUW;MFFW;Emmen;24;1995;8.9;1;0;0;26;14;3;2;8;1;;;0;Matches
18;Jonas Arweiler\Jonas-Arweiler;de GER;FW;Utrecht;22;1997;0.3;0;0;0;0;1;0;1;0;0;;;0;Matches
19;Joel Asoro\Joel-Asoro;se SWE;FWMF;Groningen;20;1999;13.1;1;0;0;12;17;4;16;8;4;;;0;Matches
20;Adil Auassar\Adil-Auassar;nl NED;MF;Sparta R'dam;32;1986;19.2;11;1;1;48;13;2;18;21;29;;;0;Matches
21;Yassin Ayoub\Yassin-Ayoub;nl NED;MF;Feyenoord;25;1994;0.5;0;0;0;2;1;0;0;1;0;;;0;Matches
22;Marouan Azarkan\Marouan-Azarkan;nl NED;FW;Feyenoord;17;2001;0.2;0;0;0;0;0;0;0;1;1;;;0;Matches
23;Ryan Babel\Ryan-Babel;nl NED;FW;Ajax;32;1986;4.3;1;0;0;6;7;1;12;1;2;;;0;Matches
24;Nikolai Baden Frederiksen\Nikolai-Baden-Frederiksen;dk DEN;FW;Fortuna Sittard;19;2000;0.5;1;0;0;1;2;0;3;2;0;;;0;Matches
25;Jean-Christophe Bahebeck\Jean-Christophe-Bahebeck;fr FRA;FW;Utrecht;26;1993;6.5;0;0;0;12;12;6;3;5;1;;;0;Matches
26;Destan Bajselmani\Destan-Bajselmani;nl NED;DF;Zwolle;20;1999;2.3;0;0;0;3;3;0;10;3;0;;;0;Matches
27;Saïd Bakari\Said-Bakari;km COM;DFFW;RKC Waalwijk;24;1994;13.9;2;0;0;12;13;2;15;26;21;;;0;Matches
28;Navajo Bakboord\Navajo-Bakboord;nl NED;DF;Heracles Almelo;20;1999;9.0;2;0;0;20;13;0;15;25;11;;;0;Matches
29;Danny Bakker\Danny-Bakker;nl NED;MF;ADO Den Haag;24;1995;15.5;7;2;2;24;9;0;12;23;17;;;0;Matches
30;Nick Bakker\Nick-Bakker;nl NED;DF;Emmen;27;1992;7.0;4;0;0;11;1;0;1;10;6;;;0;Matches
31;Tudor Băluță\Tudor-Baluta;ro ROU;MF;ADO Den Haag;20;1999;3.0;1;0;0;3;1;0;0;2;4;;;0;Matches
32;Naoufal Bannis\Naoufal-Bannis;nl NED;MF;Feyenoord;17;2002;0.7;0;0;0;2;2;2;0;0;0;;;0;Matches
33;Aaron Bastiaans\Aaron-Bastiaans;nl NED;MF;VVV-Venlo;17;2002;0.2;0;0;0;1;1;0;0;0;0;;;0;Matches
34;Timo Baumgartl\Timo-Baumgartl;de GER;DF;PSV Eindhoven;23;1996;12.1;1;0;0;12;3;0;0;12;19;;;0;Matches
35;Riechedly Bazoer\Riechedly-Bazoer;nl NED;MF;Vitesse;22;1996;18.7;6;1;1;13;42;2;68;19;7;;;0;Matches
36;Filip Bednarek\Filip-Bednarek;pl POL;GK;Heerenveen;26;1992;5.0;1;0;0;0;0;0;0;0;0;;;0;Matches
37;Donny van de Beek\Donny-van-de-Beek;nl NED;MF;Ajax;22;1997;20.3;3;0;0;14;14;3;18;24;15;;;0;Matches
38;Sven van Beek\Sven-van-Beek;nl NED;DF;Feyenoord;25;1994;0.0;0;0;0;0;0;0;0;0;0;;;0;Matches
39;Iliass Bel Hassani\Iliass-Bel-Hassani;ma MAR;FWMF;Zwolle;26;1992;10.9;1;0;0;6;12;0;46;6;7;;;0;Matches
40;Hilal Ben Moussa\Hilal-Ben-Moussa;nl NED;MF;Emmen;27;1992;4.7;1;0;0;17;6;0;1;8;10;;;0;Matches
41;Charlison Benschop\Charlison-Benschop;cw CUW;FW;Groningen;29;1989;9.4;3;0;0;13;7;9;5;3;2;;;0;Matches
42;Mitchell van Bergen\Mitchell-van-Bergen;nl NED;FW;Heerenveen;19;1999;23.9;1;0;0;7;11;8;141;12;13;;;0;Matches
43;Emil Berggreen\Emil-Berggreen;dk DEN;FW;Twente;26;1993;3.9;2;0;0;10;6;2;1;1;1;;;0;Matches
44;Steven Berghuis\Steven-Berghuis;nl NED;FW;Feyenoord;27;1991;22.4;1;0;0;6;24;3;163;16;3;;;0;Matches
45;Emil Bergström\Emil-Bergstrom;se SWE;DF;Utrecht;26;1993;1.0;0;0;0;1;0;0;0;0;0;;;0;Matches
