Squad;# Pl;MP;Starts;Min;Gls;Ast;PK;PKatt;CrdY;CrdR;GlsPerM;AstPerM;G+A;G-PK;G+A-PK
ADO Den Haag;34;25;275;2250;22;14;3;5;54;4;0.88;0.56;1.44;0.76;1.32
Ajax;28;24;264;2160;64;52;3;3;31;0;2.67;2.17;4.83;2.54;4.71
AZ Alkmaar;23;24;264;2160;50;35;8;9;32;2;2.08;1.46;3.54;1.75;3.21
Emmen;29;25;275;2250;28;21;3;3;56;4;1.12;0.84;1.96;1.00;1.84
Feyenoord;30;24;264;2160;47;32;8;8;34;0;1.96;1.33;3.29;1.63;2.96
Fortuna Sittard;27;26;286;2340;27;15;3;4;49;4;1.04;0.58;1.62;0.92;1.50
Groningen;25;25;275;2250;27;17;4;6;44;4;1.08;0.68;1.76;0.92;1.60
Heerenveen;24;25;275;2250;39;29;3;6;26;0;1.56;1.16;2.72;1.44;2.60
Heracles Almelo;23;25;275;2250;35;25;1;1;43;1;1.40;1.00;2.40;1.36;2.36
PSV Eindhoven;29;25;275;2250;51;39;6;6;38;4;2.04;1.56;3.60;1.80;3.36
RKC Waalwijk;28;25;275;2250;25;19;1;1;55;5;1.00;0.76;1.76;0.96;1.72
Sparta R'dam;23;25;275;2250;39;30;2;4;48;3;1.56;1.20;2.76;1.48;2.68
Twente;25;25;275;2250;34;21;5;6;41;4;1.36;0.84;2.20;1.16;2.00
Utrecht;30;24;264;2160;43;26;7;7;31;3;1.79;1.08;2.88;1.50;2.58
Vitesse;25;25;275;2250;44;31;4;5;45;2;1.76;1.24;3.00;1.60;2.84
VVV-Venlo;25;25;275;2250;24;16;4;5;43;2;0.96;0.64;1.60;0.80;1.44
Willem II;24;25;275;2250;36;24;3;5;37;0;1.44;0.96;2.40;1.32;2.28
Zwolle;30;26;286;2340;36;23;3;3;45;2;1.38;0.88;2.27;1.27;2.1
