id;name;Nation;Position;Squad;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches
1;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;CSKA Moscow;33;1986;20.0;19;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
2;Yegor Baburin\Yegor-Baburin;ru RUS;GK;Rostov;25;1993;12.0;18;6;;;;;;;;;;;;;;;;;;;;;;;;Matches
3;Oleg Baklov\Oleg-Baklov;ru RUS;GK;Ural;24;1994;3.0;7;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
4;Aleksandr Belenov\Aleksandr-Belenov;ru RUS;GK;Ufa;32;1986;18.0;13;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
5;Aleksei Chernov\Aleksei-Chernov;ru RUS;GK;Ufa;21;1998;2.0;6;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
6;Aleksandr Dovbnya\Aleksandr-Dovbnya;ru RUS;GK;Orenburg;32;1987;5.0;9;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
7;Yuri Dyupin\Yuri-Dyupin;ru RUS;GK;Rubin Kazan;31;1988;20.0;21;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
8;Soslan Dzhanayev\Soslan-Dzhanayev;ru RUS;GK;Sochi;32;1987;14.0;19;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
9;Evgenii Frolov\Evgenii-Frolov;ru RUS;GK;Samara;31;1988;1.0;1;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
10;Evgenii Frolov\Evgenii-Frolov;ru RUS;GK;Sochi;31;1988;1.0;1;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
11;Yevgeni Gorodov\Yevgeni-Gorodov;ru RUS;GK;Akhmat Grozny;33;1985;16.0;19;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
12;Vitali Gudiyev\Vitali-Gudiyev;ru RUS;GK;Akhmat Grozny;24;1995;4.0;6;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
13;Yaroslav Hodzyur\Yaroslav-Hodzyur;ua UKR;GK;Ural;34;1985;17.0;25;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
14;Mikhail Kerzhakov\Mikhail-Kerzhakov;ru RUS;GK;Zenit;32;1987;8.0;4;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
15;Andrey Klimovich\Andrey-Klimovich;by BLR;GK;Orenburg;30;1988;11.0;14;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
16;Anton Kochenkov\Anton-Kochenkov;ru RUS;GK;Loko Moscow;32;1987;2.0;6;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
17;Stanislav Kritsyuk\Stanislav-Kritsyuk;ru RUS;GK;Krasnodar;28;1990;1.0;0;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
18;Igor Leshchuk\Igor-Leshchuk;ru RUS;GK;Dynamo Mosc;23;1996;6.8;9;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
19;Mikhail Levashov\Mikhail-Levashov;ru RUS;GK;Arsenal Tula;27;1991;14.0;17;3;;;;;;;;;;;;;;;;;;;;;;;;Matches
20;Andrey Lunyov\Andrey-Lunyov;ru RUS;GK;Zenit;27;1991;12.0;5;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
21;Aleksandr Maksimenko\Aleksandr-Maksimenko;ru RUS;GK;Spartak Moscow;21;1998;19.0;19;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
22;Guilherme Marinato\Guilherme-Marinato;ru RUS;GK;Loko Moscow;33;1985;18.0;18;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
23;Artur Nigmatullin\Artur-Nigmatullin;ru RUS;GK;Arsenal Tula;28;1991;1.0;3;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
24;Sergei Pesyakov\Sergei-Pesyakov;ru RUS;GK;Rostov;30;1988;8.0;11;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
25;Artyom Rebrov\Artyom-Rebrov;ru RUS;GK;Spartak Moscow;35;1984;1.0;2;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
26;Aleksandr Rudenko\Aleksandr-Rudenko;ru RUS;GK;Orenburg;26;1993;3.0;5;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
27;Sergey Ryzhikov\Sergey-Ryzhikov;ru RUS;GK;Samara;38;1980;19.0;25;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
28;Matvei Safonov\Matvei-Safonov;ru RUS;GK;Krasnodar;20;1999;19.0;20;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
29;Yegor Shamov\Yegor-Shamov;ru RUS;GK;Arsenal Tula;25;1994;5.0;4;0;;;;;;;;;;;;;;;;;;;;;;;;Matches
30;Giorgi Shelia\Giorgi-Shelia;ru RUS;GK;Tambov;30;1988;20.0;26;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
31;Anton Shunin\Anton-Shunin;ru RUS;GK;Dynamo Mosc;32;1987;13.2;14;2;;;;;;;;;;;;;;;;;;;;;;;;Matches
32;Nikolai Zabolotny\Nikolai-Zabolotny;ru RUS;GK;Sochi;29;1990;4.0;7;1;;;;;;;;;;;;;;;;;;;;;;;;Matches
