Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
Akhmat Grozny;2;22.0;29;1;;;;;;;;;;;;;;;;;;;;;;;
Arsenal Tula;3;22.0;27;3;;;;;;;;;;;;;;;;;;;;;;;
CSKA Moscow;1;22.0;22;3;;;;;;;;;;;;;;;;;;;;;;;
Dynamo Mosc;2;22.0;25;3;;;;;;;;;;;;;;;;;;;;;;;
Krasnodar;2;22.0;22;2;;;;;;;;;;;;;;;;;;;;;;;
Loko Moscow;2;22.0;25;4;;;;;;;;;;;;;;;;;;;;;;;
Orenburg;3;22.0;36;5;;;;;;;;;;;;;;;;;;;;;;;
Rostov;2;22.0;34;8;;;;;;;;;;;;;;;;;;;;;;;
Rubin Kazan;1;22.0;22;1;;;;;;;;;;;;;;;;;;;;;;;
Samara;2;22.0;29;1;;;;;;;;;;;;;;;;;;;;;;;
Sochi;3;22.0;28;3;;;;;;;;;;;;;;;;;;;;;;;
Spartak Moscow;2;22.0;23;1;;;;;;;;;;;;;;;;;;;;;;;
Tambov;1;22.0;27;1;;;;;;;;;;;;;;;;;;;;;;;
Ufa;2;22.0;19;2;;;;;;;;;;;;;;;;;;;;;;;
Ural;2;22.0;41;3;;;;;;;;;;;;;;;;;;;;;;;
Zenit;2;22.0;10;2;;;;;;;;;;;;;;;;;;;;;;;
