id;name;Nation;Position;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Matches
1;Oliver Abildgaard\Oliver-Abildgaard;dk DEN;MF;Rubin Kazan;23;1996;0.7;1;0;0;1;2;0;0;0;0;;;0;Matches
2;Luiz Adriano\Luiz-Adriano;br BRA;FW;Spartak Moscow;32;1987;2.9;1;0;0;2;6;2;1;1;0;;;0;Matches
3;Guram Adzhoyev\Guram-Adzhoyev;ru RUS;FW;Arsenal Tula;24;1995;0.0;0;0;0;0;0;0;0;0;0;;;0;Matches
4;Vadim Afonin\Vadim-Afonin;uz UZB;MFDF;Orenburg;31;1987;6.0;2;0;0;8;4;0;16;9;9;;;0;Matches
5;Gamid Agalarov\Gamid-Agalarov;ru RUS;FW;Ufa;19;2000;0.2;0;0;0;0;2;1;0;1;0;;;0;Matches
6;Roman Akbashev\Roman-Akbashev;ru RUS;MF;Rubin Kazan;27;1991;0.2;0;0;0;0;0;0;0;0;0;;;0;Matches
7;Ilzat Akhmetov\Ilzat-Akhmetov;ru RUS;MF;CSKA Moscow;21;1997;15.1;3;0;0;23;13;1;7;20;22;;;0;Matches
8;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;CSKA Moscow;33;1986;20.0;1;0;0;0;1;0;0;0;1;;;0;Matches
9;Pavel Alikin\Pavel-Alikin;ru RUS;DF;Ufa;35;1984;4.2;1;0;0;5;4;0;1;4;5;;;0;Matches
10;Azer Aliyev\Azer-Aliyev;ru RUS;DFMF;Ufa;25;1994;10.8;0;0;0;8;12;1;44;8;11;;;0;Matches
11;Víctor Álvarez\Victor-Alvarez;es ESP;DFMF;Arsenal Tula;26;1993;17.2;6;0;0;20;22;0;48;24;19;;;0;Matches
12;Jano Ananidze\Jano-Ananidze;ge GEO;MF;Spartak Moscow;26;1992;3.6;0;0;0;2;5;0;13;2;0;;;0;Matches
13;Aleksei Anatolyevich Kozlov\Aleksei-Anatolyevich-Kozlov;ru RUS;DF;Rostov;32;1986;19.8;3;0;0;12;14;2;54;33;31;;;0;Matches
14;Wilker Ángel\Wilker-Angel;ve VEN;DF;Akhmat Grozny;26;1993;14.5;3;0;0;22;12;0;0;9;34;;;0;Matches
15;Paul Anton\Paul-Anton;ro ROU;MF;Samara;28;1991;8.7;2;0;0;10;8;1;13;14;8;;;0;Matches
16;Aleksandr Anyukov\Aleksandr-Anyukov;ru RUS;DF;Samara;36;1982;14.5;4;1;0;9;9;5;19;9;18;;;0;Matches
17;Khyzyr Appayev\Khyzyr-Appayev;ru RUS;FWMF;Tambov;29;1990;7.9;2;0;0;18;13;5;9;2;1;;;0;Matches
18;Ari\Ari;ru RUS;FW;Krasnodar;33;1985;15.2;4;0;0;26;19;11;7;1;1;;;0;Matches
19;Rafał Augustyniak\Rafal-Augustyniak;pl POL;MF;Ural;25;1993;19.2;2;0;0;29;28;0;2;31;24;;;0;Matches
20;Timur Ayupov\Timur-Ayupov;ru RUS;MFDF;Orenburg;26;1993;13.4;8;0;0;25;16;1;22;18;25;;;0;Matches
21;Abdul Aziz Tetteh\Abdul-Aziz-Tetteh;gh GHA;MF;Dynamo Mosc;29;1990;1.6;0;0;0;0;0;0;0;0;3;;;0;Matches
22;Sardar Azmoun\Sardar-Azmoun;ir IRN;FW;Zenit;24;1995;16.8;3;0;0;29;12;11;9;12;4;;;0;Matches
23;Yegor Baburin\Yegor-Baburin;ru RUS;GK;Rostov;25;1993;12.0;0;0;0;0;0;0;0;0;0;;;0;Matches
24;Soltmurad Bakaev\Soltmurad-Bakaev;ru RUS;MF;Rubin Kazan;19;1999;0.2;0;0;0;0;0;0;1;0;0;;;0;Matches
25;Soltmurad Bakaev\Soltmurad-Bakaev;ru RUS;MF;Spartak Moscow;19;1999;0.2;1;0;0;1;0;0;1;0;0;;;0;Matches
26;Zelimkhan Bakayev\Zelimkhan-Bakayev;ru RUS;MF;Spartak Moscow;23;1996;16.6;6;0;0;35;29;1;98;8;7;;;0;Matches
27;Akmal Bakhtiyarov\Akmal-Bakhtiyarov;kz KAZ;FW;Sochi;21;1998;0.3;0;0;0;1;2;0;2;3;0;;;0;Matches
28;Oleg Baklov\Oleg-Baklov;ru RUS;GK;Ural;24;1994;3.0;0;0;0;0;2;0;0;0;0;;;0;Matches
29;Lameck Banda\Lameck-Banda;zm ZAM;FW;Arsenal Tula;18;2001;1.1;0;0;0;4;4;1;4;1;1;;;0;Matches
30;Dmitri Barinov\Dmitri-Barinov;ru RUS;MF;Loko Moscow;22;1996;17.0;7;0;0;35;15;3;5;23;26;;;0;Matches
31;Wílmar Barrios\Wilmar-Barrios;co COL;MF;Zenit;25;1993;17.9;5;0;0;20;44;0;8;29;32;;;0;Matches
32;Yevgeni Bashkirov\Yevgeni-Bashkirov;ru RUS;MF;Rubin Kazan;28;1991;7.3;4;1;1;12;7;1;7;7;12;;;0;Matches
33;Robert Bauer\Robert-Bauer;de GER;DFMF;Arsenal Tula;24;1995;11.5;2;0;0;13;11;0;15;14;22;;;0;Matches
34;Yuri Bavin\Yuri-Bavin;ru RUS;MF;Ural;25;1994;5.9;1;0;0;12;15;0;10;10;8;;;0;Matches
35;Khoren Bayramyan\Khoren-Bayramyan;ru RUS;MFFW;Rostov;27;1992;14.7;3;0;0;18;21;7;20;10;11;;;0;Matches
36;Aleksandr Belenov\Aleksandr-Belenov;ru RUS;GK;Ufa;32;1986;18.0;3;0;0;0;3;0;0;1;0;;;0;Matches
37;Maksim Belyayev\Maksim-Belyayev;ru RUS;DF;Arsenal Tula;27;1991;20.0;1;0;0;11;7;1;1;14;36;;;0;Matches
38;Marcus Berg\Marcus-Berg;se SWE;FW;Krasnodar;32;1986;7.8;3;1;0;18;17;4;0;2;3;;;0;Matches
39;Bernard Berisha\Bernard-Berisha;xk KVX;MFFW;Akhmat Grozny;27;1991;12.2;4;0;0;23;36;6;23;14;5;;;0;Matches
40;Kantemir Berkhamov\Kantemir-Berkhamov;ru RUS;FW;Arsenal Tula;30;1988;0.7;0;0;0;1;2;0;0;0;1;;;0;Matches
41;Eric Bicfalvi\Eric-Bicfalvi;ro ROU;MF;Ural;31;1988;14.9;2;0;0;27;36;2;19;17;8;;;0;Matches
42;Jaka Bijol\Jaka-Bijol;si SVN;MFFW;CSKA Moscow;20;1999;5.6;3;1;1;20;8;1;1;4;9;;;0;Matches
43;Kristijan Bistrović\Kristijan-Bistrovic;hr CRO;MF;CSKA Moscow;21;1998;12.0;3;0;0;14;17;0;16;11;14;;;0;Matches
44;Lovro Bizjak\Lovro-Bizjak;si SVN;FW;Ufa;25;1993;10.1;1;0;0;33;18;12;10;9;3;;;0;Matches
45;Miroslav Bogosavac\Miroslav-Bogosavac;rs SRB;DF;Akhmat Grozny;22;1996;1.0;0;0;0;0;1;0;2;2;5;;;0;Matches
46;Petrus Boumal\Petrus-Boumal;cm CMR;MF;Ural;26;1993;7.0;3;0;0;16;5;0;5;10;9;;;0;Matches
47;Taras Burlak\Taras-Burlak;ru RUS;DF;Samara;29;1990;5.0;0;0;0;3;1;0;0;0;9;;;0;Matches
48;Nikita Burmistrov\Nikita-Burmistrov;ru RUS;MF;Sochi;30;1989;12.5;4;0;0;24;12;2;42;14;8;;;0;Matches
49;Rémy Cabella\Remy-Cabella;fr FRA;MFFW;Krasnodar;29;1990;1.6;2;0;0;6;6;0;5;3;4;;;0;Matches
50;Miguel Filipe Nunes Cardoso\Miguel-Filipe-Nunes-Cardoso;pt POR;MF;Tambov;25;1994;0.1;0;0;0;0;0;0;1;0;0;;;0;Matches
51;Miguel Filipe Nunes Cardoso\Miguel-Filipe-Nunes-Cardoso;pt POR;MF;Dynamo Mosc;25;1994;3.0;1;0;0;4;5;2;10;4;1;;;0;Matches
52;Cătălin Carp\Catalin-Carp;md MDA;MF;Ufa;25;1993;17.7;5;0;0;25;28;1;11;23;32;;;0;Matches
53;Goran Čaušić\Goran-Causic;rs SRB;MF;Arsenal Tula;27;1992;12.4;1;0;0;21;11;0;3;17;20;;;0;Matches
54;Fiodor Černych\Fiodor-Cernych;lt LTU;MFFW;Orenburg;28;1991;2.6;0;0;0;4;4;3;9;0;4;;;0;Matches
55;Murilo Cerqueira\Murilo-Cerqueira;br BRA;DFMF;Loko Moscow;22;1997;13.8;1;0;0;16;10;0;1;19;26;;;0;Matches
56;Fyodor Chalov\Fyodor-Chalov;ru RUS;FW;CSKA Moscow;21;1998;19.6;2;0;0;22;22;11;3;2;4;;;0;Matches
57;Andrei Chasovskikh\Andrei-Chasovskikh;ru RUS;FW;Tambov;28;1991;0.4;0;0;0;0;2;0;0;1;0;;;0;Matches
58;Aleksandr Chernikov\Aleksandr-Chernikov;ru RUS;MF;Krasnodar;19;2000;0.5;0;0;0;3;0;0;0;0;1;;;0;Matches
59;Aleksei Chernov\Aleksei-Chernov;ru RUS;GK;Ufa;21;1998;2.0;0;0;0;0;1;0;0;0;0;;;0;Matches
60;Nikita Chernov\Nikita-Chernov;ru RUS;DF;Samara;23;1996;16.0;4;0;0;18;13;0;2;12;41;;;0;Matches
61;Yevgeni Chernov\Yevgeni-Chernov;ru RUS;DF;Rostov;26;1992;20.0;1;0;0;10;23;1;124;12;16;;;0;Matches
62;Oleg Chernyshov\Oleg-Chernyshov;ru RUS;MF;Tambov;32;1986;2.4;0;0;0;3;7;0;2;2;9;;;0;Matches
63;Nikita Chicherin\Nikita-Chicherin;ru RUS;DF;Samara;28;1990;0.2;0;0;0;3;0;0;0;0;0;;;0;Matches
64;Dmitri Chistyakov\Dmitri-Chistyakov;ru RUS;DF;Rostov;25;1994;17.0;4;0;0;19;14;1;3;12;44;;;0;Matches
65;Andrea Chukanov\Andrea-Chukanov;ru RUS;DFMF;Orenburg;23;1995;4.5;0;0;0;5;3;0;30;3;6;;;0;Matches
66;Valeriu Ciupercă\Valeriu-Ciuperca;md MDA;MF;Tambov;27;1992;13.2;8;3;2;34;37;0;22;21;18;;;0;Matches
67;Vedran Ćorluka\Vedran-Corluka;hr CRO;DF;Loko Moscow;33;1986;18.4;5;0;0;6;10;1;0;13;28;;;0;Matches
68;Oleh Danchenko\Oleh-Danchenko;ua UKR;DF;Rubin Kazan;24;1994;15.9;3;0;0;8;19;0;110;15;15;;;0;Matches
69;Zuriko Davitashvili\Zuriko-Davitashvili;ge GEO;MF;Rubin Kazan;18;2001;13.7;4;0;0;20;33;6;50;9;6;;;0;Matches
70;Aleksandr Denisov\Aleksandr-Denisov;ru RUS;DFMF;Arsenal Tula;30;1989;5.7;3;0;0;14;6;0;2;10;8;;;0;Matches
71;Vitaliy Denisov\Vitaliy-Denisov;uz UZB;DF;Rubin Kazan;32;1987;6.6;2;0;0;17;10;0;12;15;16;;;0;Matches
72;Đorđe Despotović\Djordje-Despotovic;rs SRB;FW;Orenburg;27;1992;16.6;5;0;0;28;19;11;12;11;5;;;0;Matches
73;Nikolay Dimitrov\Nikolay-Dimitrov;bg BUL;MF;Ural;31;1987;11.3;1;0;0;8;11;6;44;12;12;;;0;Matches
74;Igor Diveev\Igor-Diveev;ru RUS;DF;CSKA Moscow;19;1999;16.5;4;0;0;16;2;0;2;11;25;;;0;Matches
75;Aleksandr Dolgov\Aleksandr-Dolgov;ru RUS;FW;Rostov;20;1998;0.4;1;0;0;1;2;2;0;2;1;;;0;Matches
76;Aleksandr Dovbnya\Aleksandr-Dovbnya;ru RUS;GK;Orenburg;32;1987;5.0;2;0;0;1;1;0;0;0;0;;;0;Matches
77;Sebastián Driussi\Sebastian-Driussi;ar ARG;MFFW;Zenit;23;1996;13.3;1;0;0;22;16;1;62;11;6;;;0;Matches
78;Yuri Dyupin\Yuri-Dyupin;ru RUS;GK;Rubin Kazan;31;1988;20.0;2;0;0;0;5;0;0;1;0;;;0;Matches
