Squad;# Pl;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;Int;PKwon;PKcon;OG;Succ;Att;Succ%;#Pl;Megs;Tkl;Cont;Tkl%;Past
Akhmat Grozny;27;62;4;2;358;291;28;395;221;269;;;0
Arsenal Tula;25;53;1;1;305;349;29;359;237;237;;;0
CSKA Moscow;25;51;3;1;281;235;31;344;207;239;;;0
Dynamo Mosc;27;61;5;5;291;256;49;349;275;271;;;0
Krasnodar;26;58;4;2;294;325;36;362;185;270;;;0
Loko Moscow;26;60;2;1;322;311;30;346;241;283;;;0
Orenburg;26;52;3;3;304;256;35;520;221;268;;;2
Rostov;25;54;0;0;285;267;43;514;201;222;;;2
Rubin Kazan;30;68;4;4;292;288;31;416;244;277;;;0
Samara;26;56;5;1;297;337;22;406;213;299;;;1
Sochi;28;54;2;2;282;246;24;375;216;286;;;3
Spartak Moscow;31;63;3;2;314;279;30;364;242;252;;;2
Tambov;31;58;3;2;302;301;40;249;254;299;;;1
Ufa;27;47;1;1;294;254;48;347;218;265;;;1
Ural;27;43;1;1;302;245;37;473;270;277;;;0
Zenit;26;46;1;1;265;284;55;557;235;231;;;2
