Squad;# Pl;Gls;PK;PKatt;Sh;SoT;FK;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;xG;npxG;npxG/Sh;G-xG;np:G-xG
Akhmat Grozny;27;16;4;6;270;93;;34.4;12.27;4.23;0.04;0.13;;;;;;
Arsenal Tula;25;25;1;1;301;90;;29.9;13.68;4.09;0.08;0.27;;;;;;
CSKA Moscow;25;27;3;7;364;122;;33.5;16.55;5.55;0.07;0.20;;;;;;
Dynamo Mosc;27;20;4;5;306;97;;31.7;13.91;4.41;0.05;0.16;;;;;;
Krasnodar;26;33;3;6;358;111;;31.0;16.27;5.05;0.08;0.27;;;;;;
Loko Moscow;26;30;4;5;335;96;;28.7;15.23;4.36;0.08;0.27;;;;;;
Orenburg;26;25;2;3;342;100;;29.2;15.55;4.55;0.07;0.23;;;;;;
Rostov;25;38;3;6;369;130;;35.2;16.77;5.91;0.09;0.27;;;;;;
Rubin Kazan;30;12;0;0;272;75;;27.6;12.36;3.41;0.04;0.16;;;;;;
Samara;26;22;3;5;275;98;;35.6;12.50;4.45;0.07;0.19;;;;;;
Sochi;28;25;3;3;296;91;;30.7;13.45;4.14;0.07;0.24;;;;;;
Spartak Moscow;31;24;2;2;372;115;;30.9;16.91;5.23;0.06;0.19;;;;;;
Tambov;31;25;1;2;252;87;;34.5;11.45;3.95;0.10;0.28;;;;;;
Ufa;27;15;2;2;225;64;;28.4;10.23;2.91;0.06;0.20;;;;;;
Ural;27;25;2;3;297;100;;33.7;13.50;4.55;0.08;0.23;;;;;;
Zenit;26;43;6;7;371;131;;35.3;16.86;5.95;0.10;0.28;;;;;;
