"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"Matches"
1;Oliver Abildgaard\Oliver-Abildgaard;dk DEN;MF;Rubin Kazan;23;1996;1;1;62;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
2;Luiz Adriano\Luiz-Adriano;br BRA;FW;Spartak Moscow;32;1987;3;3;259;1;0;1;1;1;0;0.35;0.00;0.35;0.00;0.00;Matches
3;Guram Adzhoyev\Guram-Adzhoyev;ru RUS;FW;Arsenal Tula;24;1995;1;0;4;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
4;Vadim Afonin\Vadim-Afonin;uz UZB;MFDF;Orenburg;31;1987;10;5;537;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
5;Gamid Agalarov\Gamid-Agalarov;ru RUS;FW;Ufa;19;2000;1;0;21;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
6;Roman Akbashev\Roman-Akbashev;ru RUS;MF;Rubin Kazan;27;1991;1;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
7;Ilzat Akhmetov\Ilzat-Akhmetov;ru RUS;MF;CSKA Moscow;21;1997;20;16;1356;2;1;0;0;3;0;0.13;0.07;0.20;0.13;0.20;Matches
8;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;CSKA Moscow;33;1986;20;20;1800;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
9;Pavel Alikin\Pavel-Alikin;ru RUS;DF;Ufa;35;1984;6;4;381;1;0;0;0;1;0;0.24;0.00;0.24;0.24;0.24;Matches
10;Azer Aliyev\Azer-Aliyev;ru RUS;DFMF;Ufa;25;1994;12;11;970;1;1;0;0;0;0;0.09;0.09;0.19;0.09;0.19;Matches
11;Víctor Álvarez\Victor-Alvarez;es ESP;DFMF;Arsenal Tula;26;1993;18;18;1545;1;1;0;0;6;0;0.06;0.06;0.12;0.06;0.12;Matches
12;Jano Ananidze\Jano-Ananidze;ge GEO;MF;Spartak Moscow;26;1992;6;4;325;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
13;Aleksei Anatolyevich Kozlov\Aleksei-Anatolyevich-Kozlov;ru RUS;DF;Rostov;32;1986;20;20;1785;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
14;Wilker Ángel\Wilker-Angel;ve VEN;DF;Akhmat Grozny;26;1993;16;15;1306;1;0;0;0;3;0;0.07;0.00;0.07;0.07;0.07;Matches
15;Paul Anton\Paul-Anton;ro ROU;MF;Samara;28;1991;11;10;787;2;1;1;1;2;0;0.23;0.11;0.34;0.11;0.23;Matches
16;Aleksandr Anyukov\Aleksandr-Anyukov;ru RUS;DF;Samara;36;1982;16;16;1303;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;Matches
17;Khyzyr Appayev\Khyzyr-Appayev;ru RUS;FWMF;Tambov;29;1990;13;7;712;0;1;0;0;2;0;0.00;0.13;0.13;0.00;0.13;Matches
