Rk;Player;Nation;Pos;Squad;Age;Born;90s;GA;PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;Matches;
1;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-245;2000;2.0;1;0;0;0;0;0.6;0.11;-0.4;-0.22;4;16;25.0;30;8;36.7;38.9;16;31.3;31.9;21;1;4.8;4;2.00;17.0;Matches
2;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;30-145;1991;1.0;0;0;0;0;0;0.0;;0.0;0.00;5;11;45.5;22;6;31.8;33.0;10;40.0;38.7;9;0;0.0;1;1.00;13.2;Matches
3;Kiko Casilla\Kiko-Casilla;es ESP;GK;Elche;34-330;1986;2.0;1;0;0;0;0;1.2;0.18;+0.2;+0.12;10;29;34.5;50;16;44.0;37.8;21;33.3;32.1;16;0;0.0;1;0.50;10.3;Matches
4;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;Real Madrid;29-109;1992;2.0;4;1;0;0;0;2.6;0.25;-1.4;-0.69;4;12;33.3;43;11;20.9;31.7;7;42.9;40.0;21;1;4.8;3;1.50;17.8;Matches
5;Stole Dimitrievski\Stole-Dimitrievski;mk MKD;GK;Rayo Vallecano;27-246;1993;1.8;4;2;0;0;0;5.9;0.33;+1.9;+1.04;15;46;32.6;46;7;71.7;52.8;14;92.9;63.8;16;5;31.3;2;1.11;18.0;Matches
6;Matías Dituro\Matias-Dituro;ar ARG;GK;Celta Vigo;34-112;1987;2.0;2;0;0;0;0;4.3;0.35;+2.3;+1.16;13;31;41.9;55;7;38.2;38.5;18;55.6;49.9;16;2;12.5;4;2.00;21.0;Matches
7;Marko Dmitrović\Marko-Dmitrovic;rs SRB;GK;Sevilla;29-216;1992;1.0;0;0;0;0;0;0.6;0.19;+0.6;+0.56;0;3;0.0;28;5;10.7;24.3;2;0.0;18.0;3;0;0.0;2;2.00;20.3;Matches
8;Aarón Escandell\Aaron-Escandell;es ESP;GK;Granada;25-335;1995;2.0;1;1;0;0;0;1.4;0.06;+0.4;+0.22;25;61;41.0;57;6;71.9;49.6;25;80.0;55.4;15;1;6.7;5;2.50;15.5;Matches
9;Aitor Fernández\Aitor-Fernandez;es ESP;GK;Levante;30-117;1991;2.0;4;0;0;1;0;2.0;0.29;-2.0;-1.00;17;32;53.1;38;3;60.5;44.0;20;45.0;37.5;21;0;0.0;1;0.51;15.0;Matches
10;Sergio Herrera\Sergio-Herrera;es ESP;GK;Osasuna;28-084;1993;2.0;0;0;0;0;0;0.2;0.06;+0.2;+0.09;24;44;54.5;40;3;80.0;56.0;14;85.7;63.6;15;1;6.7;2;1.00;14.7;Matches
