Squad;# Pl;90s;Goals-GA;Goals-PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;
Alavés;2;7.0;12;2;0;4;0;10.5;0.35;-1.5;-0.21;70;139;50.4;152;14;65.1;49.0;73;54.8;44.7;59;7;11.9;1;0.14;12.8
Athletic Club;2;8.0;4;0;0;0;0;4.3;0.20;+0.3;+0.03;47;109;43.1;151;39;48.3;41.7;73;49.3;43.8;92;5;5.4;7;0.88;13.6
Atlético Madrid;1;8.0;6;1;0;2;1;4.3;0.28;-0.7;-0.09;34;95;35.8;158;41;42.4;40.5;56;50.0;42.9;62;6;9.7;1;0.13;14.3
Barcelona;2;7.0;7;0;1;2;0;7.7;0.35;+0.7;+0.10;43;86;50.0;240;26;29.2;31.3;49;32.7;36.6;51;3;5.9;6;0.86;16.0
Betis;2;7.0;7;1;0;0;0;6.0;0.28;-1.0;-0.14;38;89;42.7;174;26;40.8;38.2;43;41.9;38.9;74;2;2.7;6;0.86;15.6
Cádiz;1;8.0;11;3;0;2;0;11.3;0.28;+0.3;+0.04;72;199;36.2;145;11;84.1;59.5;82;93.9;70.3;91;5;5.5;3;0.38;13.1
Celta Vigo;1;7.0;10;1;0;0;0;13.4;0.34;+3.4;+0.48;63;127;49.6;191;24;50.3;42.7;46;67.4;53.2;44;4;9.1;12;1.71;20.2
Elche;1;7.0;8;0;0;0;0;8.4;0.26;+0.4;+0.05;45;133;33.8;165;37;53.9;42.0;73;60.3;44.8;79;4;5.1;2;0.29;12.4
Espanyol;1;7.0;7;0;0;0;1;5.4;0.20;-0.6;-0.08;25;97;25.8;158;29;44.3;38.3;72;37.5;34.1;72;6;8.3;6;0.86;14.3
Getafe;1;7.0;12;2;0;1;0;9.1;0.33;-2.9;-0.41;59;137;43.1;164;19;63.4;47.2;47;70.2;52.3;47;4;8.5;5;0.71;15.0
Granada;2;7.0;12;2;0;1;0;13.7;0.28;+1.7;+0.25;66;172;38.4;180;28;65.0;47.0;73;75.3;51.1;91;5;5.5;12;1.71;15.2
Levante;3;8.0;13;1;0;2;0;10.1;0.25;-2.9;-0.37;52;116;44.8;181;31;47.0;40.7;64;48.4;38.4;73;1;1.4;6;0.75;14.3
Mallorca;2;8.0;12;0;1;0;1;7.1;0.22;-3.9;-0.49;47;126;37.3;177;37;52.5;42.8;71;46.5;37.3;62;5;8.1;6;0.75;14.0
Osasuna;1;8.0;11;1;0;3;1;9.3;0.31;-0.7;-0.08;88;186;47.3;182;17;78.0;54.7;49;89.8;64.4;84;8;9.5;9;1.13;16.3
Rayo Vallecano;2;8.0;8;3;0;0;1;9.8;0.27;+2.8;+0.34;48;164;29.3;191;38;60.2;48.2;61;80.3;59.9;71;6;8.5;3;0.38;11.0
Real Madrid;1;7.0;8;1;0;0;0;8.5;0.27;+0.5;+0.07;17;57;29.8;183;35;22.4;31.4;33;48.5;42.2;56;6;10.7;7;1.00;15.8
Real Sociedad;2;7.0;6;1;0;1;0;5.1;0.25;-0.9;-0.13;56;88;63.6;180;26;36.7;34.4;38;57.9;47.4;42;5;11.9;8;1.14;17.0
Sevilla;2;6.0;2;0;0;0;0;2.6;0.11;+0.6;+0.10;22;63;34.9;152;22;30.3;33.2;32;53.1;45.7;42;1;2.4;8;1.33;15.6
Valencia;2;8.0;8;0;0;1;0;6.5;0.22;-1.5;-0.19;63;147;42.9;162;34;63.0;46.4;54;83.3;60.6;72;6;8.3;1;0.13;11.0
Villarreal;2;6.0;3;0;0;0;1;3.8;0.32;+1.8;+0.30;17;55;30.9;172;26;19.2;31.7;48;45.8;41.5;70;7;10.0;7;1.17;17.5
