Rk;Player;Nation;Pos;Squad;Age;Born;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;Matches;
1;Luis Abram\Luis-Abram;pe PER;DF;Granada;25-218;1996;1.7;2;1;2;0;0;0;1;0.0;1;8;4;50.0;2;6;0;4;1;0;3;2;4;13;0;Matches
2;Marcos Acuña\Marcos-Acuna;ar ARG;DF;Sevilla;29-340;1991;4.8;9;4;5;3;1;3;6;50.0;3;53;15;28.3;26;21;6;9;1;0;8;7;16;6;0;Matches
3;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;25-146;1996;3.8;11;6;6;2;3;4;10;40.0;6;54;12;22.2;21;24;9;13;2;0;11;7;18;15;0;Matches
4;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-281;2000;2.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;2;0;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;26-004;1995;1.0;1;1;1;0;0;0;0;;0;12;3;25.0;6;6;0;0;0;0;0;0;1;11;1;Matches
6;Carlos Akapo\Carlos-Akapo;gq EQG;DF;Cádiz;28-205;1993;4.0;8;4;7;1;0;3;6;50.0;3;63;17;27.0;36;21;6;6;0;0;6;7;15;10;0;Matches
7;Paul Akouokou\Paul-Akouokou;ci CIV;MF;Betis;23-287;1997;0.9;4;2;1;2;1;1;2;50.0;1;19;6;31.6;7;9;3;2;0;0;2;2;6;1;0;Matches
8;David Alaba\David-Alaba;at AUT;DF;Real Madrid;29-101;1992;6.0;8;5;6;2;0;3;5;60.0;2;58;18;31.0;28;26;4;8;2;0;6;12;20;20;0;Matches
9;Tomás Alarcón\Tomas-Alarcon;cl CHI;MF;Cádiz;22-257;1999;7.3;20;12;10;6;4;5;12;41.7;7;141;42;29.8;75;52;14;18;4;0;14;13;33;32;0;Matches
10;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;32-196;1989;3.0;4;3;1;3;0;1;6;16.7;5;33;13;39.4;13;13;7;10;2;0;8;8;12;7;0;Matches
11;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;36-029;1985;5.0;7;5;6;1;0;2;2;100.0;0;32;13;40.6;20;10;2;5;1;0;4;8;15;32;0;Matches
12;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;28-034;1993;1.8;2;1;0;1;1;1;1;100.0;0;24;7;29.2;1;10;13;0;0;0;0;3;5;0;0;Matches
13;Omar Alderete\Omar-Alderete;py PAR;DF;Valencia;24-281;1996;7.0;14;10;8;6;0;8;16;50.0;8;51;20;39.2;37;14;0;10;6;0;4;16;30;58;0;Matches
14;Iván Alejo\Ivan-Alejo;es ESP;MF;Cádiz;26-235;1995;0.3;2;2;2;0;0;0;3;0.0;3;13;3;23.1;8;5;0;1;0;0;1;0;2;1;0;Matches
15;Carles Aleñá\Carles-Alena;es ESP;MFFW;Getafe;23-271;1998;4.5;5;3;1;3;1;2;7;28.6;5;92;21;22.8;12;52;28;3;0;0;3;3;8;0;0;Matches
16;Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu;gh GHA;DF;Getafe;19-317;2001;0.1;0;0;0;0;0;0;0;;0;1;0;0.0;1;0;0;0;0;0;0;0;0;0;0;Matches
17;Amath\Amath;sn SEN;FWMF;Mallorca;25-079;1996;3.5;12;7;4;6;2;2;3;66.7;1;78;19;24.4;23;33;22;5;0;0;5;2;14;1;0;Matches
18;Florin Andone\Florin-Andone;ro ROU;FWMF;Cádiz;28-175;1993;1.0;0;0;0;0;0;0;0;;0;18;4;22.2;1;9;8;2;0;0;2;0;0;1;0;Matches
19;José Ángel\Jose-Angel;es ESP;DF;Osasuna;32-028;1989;1.2;2;2;0;2;0;0;0;;0;15;4;26.7;2;13;0;1;0;0;1;4;6;3;0;Matches
20;Josep Antoni Gayá\Josep-Antoni-Gaya;es ESP;DF;Mallorca;21-088;2000;0.6;0;0;0;0;0;0;0;;0;6;0;0.0;5;1;0;1;0;0;1;3;3;1;1;Matches
21;Mauro Arambarri\Mauro-Arambarri;uy URU;MF;Getafe;26-003;1995;3.3;7;4;1;4;2;4;11;36.4;7;70;17;24.3;14;40;16;1;0;0;1;9;16;1;0;Matches
22;Néstor Araujo\Nestor-Araujo;mx MEX;DF;Celta Vigo;30-035;1991;5.9;4;3;4;0;0;0;1;0.0;1;50;17;34.0;24;23;3;10;4;0;6;10;14;36;0;Matches
23;Ronald Araújo\Ronald-Araujo;uy URU;DF;Barcelona;22-210;1999;4.9;5;3;4;1;0;2;4;50.0;2;38;10;26.3;18;19;1;10;3;1;7;8;13;25;1;Matches
24;Jesús Areso\Jesus-Areso;es ESP;DF;Osasuna;22-093;1999;0.9;3;3;0;3;0;0;1;0.0;1;9;7;77.8;4;5;0;0;0;0;0;0;3;0;0;Matches
25;Santiago Arias\Santiago-Arias;co COL;DF;Granada;29-263;1992;2.0;4;2;2;2;0;1;4;25.0;3;29;8;27.6;18;7;4;3;0;0;3;2;6;4;0;Matches
26;Santiago Arzamendia\Santiago-Arzamendia;py PAR;MF;Cádiz;23-151;1998;1.5;5;3;3;1;1;2;7;28.6;5;41;9;22.0;14;15;12;5;0;0;5;0;5;7;0;Matches
27;Sergio Asenjo\Sergio-Asenjo;es ESP;GK;Villarreal;32-097;1989;1.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
28;Marco Asensio\Marco-Asensio;es ESP;MFFW;Real Madrid;25-255;1996;2.5;1;1;1;0;0;0;6;0.0;6;43;9;20.9;5;20;18;2;0;0;2;3;4;1;0;Matches
29;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;34-063;1987;6.8;2;0;1;0;1;1;2;50.0;1;64;13;20.3;7;20;37;7;1;1;6;8;10;1;0;Matches
30;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FW;Osasuna;27-239;1994;2.4;0;0;0;0;0;0;2;0.0;2;30;13;43.3;0;13;17;4;1;0;3;1;1;2;0;Matches
31;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;25-254;1996;7.1;28;18;11;16;1;6;14;42.9;8;127;48;37.8;50;72;5;14;2;0;12;11;39;16;0;Matches
32;Carlos Bacca\Carlos-Bacca;co COL;FW;Granada;35-025;1986;3.6;4;2;2;1;1;1;3;33.3;2;35;8;22.9;5;19;11;2;1;0;1;2;6;3;0;Matches
33;Miguel Baeza\Miguel-Baeza;es ESP;DF;Celta Vigo;21-190;2000;0.0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;Matches
34;Alejandro Balde\Alejandro-Balde;es ESP;DF;Barcelona;17-350;2003;0.5;2;2;1;1;0;0;0;;0;5;3;60.0;3;1;1;1;1;0;0;0;2;0;0;Matches
35;Gareth Bale\Gareth-Bale;wls WAL;FW;Real Madrid;32-079;1989;2.1;0;0;0;0;0;0;4;0.0;4;23;7;30.4;4;12;7;2;0;0;2;5;5;1;0;Matches
36;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Club;33-216;1988;6.6;14;10;7;5;2;7;11;63.6;4;59;23;39.0;26;25;8;14;1;0;13;12;26;28;0;Matches
37;Iván Balliu\Ivan-Balliu;al ALB;DF;Rayo Vallecano;29-275;1992;8.0;4;0;1;0;3;2;5;40.0;3;60;16;26.7;27;20;13;9;2;0;7;17;21;13;0;Matches
38;Barbero\Barbero;es ESP;FWMF;Osasuna;23-047;1998;0.1;1;1;1;0;0;0;0;;0;5;1;20.0;1;3;1;0;0;0;0;0;1;0;0;Matches
39;Enis Bardhi\Enis-Bardhi;mk MKD;MFFW;Levante;26-093;1995;1.2;5;4;2;3;0;1;3;33.3;2;21;1;4.8;5;11;5;2;0;0;2;3;8;0;0;Matches
