Squad;# Pl;90s;Tackles-Tkl;Tackles-TklW;Tackles-Def 3rd;Tackles-Mid 3rd;Tackles-Att 3rd;Vs Dribbles-Tkl;Vs Dribbles-Att;Vs Dribbles-Tkl%;Vs Dribbles-Past;Pressures-Press;Pressures-Succ;Pressures-%;Pressures-Def 3rd;Pressures-Mid 3rd;Pressures-Att 3rd;Blocks-Blocks;Blocks-Sh;Blocks-ShSv;Blocks-Pass;Int;Tkl+Int;Clr;Err;
Alavés;24;7.0;105;66;47;40;18;30;96;31.3;66;1091;284;26.0;366;482;243;103;23;0;80;85;190;227;1
Athletic Club;21;8.0;123;84;49;49;25;43;106;40.6;63;1349;383;28.4;336;622;391;136;25;0;111;94;217;203;0
Atlético Madrid;21;8.0;131;79;61;52;18;54;123;43.9;69;1068;331;31.0;323;480;265;95;17;0;78;91;222;143;4
Barcelona;25;7.0;119;89;53;48;18;47;99;47.5;52;844;312;37.0;260;383;201;106;15;1;91;72;191;133;1
Betis;28;7.0;117;81;53;40;24;43;112;38.4;69;916;286;31.2;294;403;219;110;16;0;94;80;197;183;1
Cádiz;26;8.0;164;98;97;53;14;60;153;39.2;93;1498;374;25.0;638;661;199;141;28;0;113;120;284;263;1
Celta Vigo;21;7.0;137;80;67;52;18;41;112;36.6;71;1001;327;32.7;310;439;252;123;16;1;107;95;232;155;1
Elche;23;7.0;86;46;52;26;8;32;88;36.4;56;901;228;25.3;345;424;132;88;22;1;66;115;201;186;5
Espanyol;25;7.0;118;64;59;42;17;41;108;38.0;67;862;233;27.0;351;359;152;100;24;0;76;74;192;176;6
Getafe;25;7.0;118;74;48;52;18;47;119;39.5;72;1199;337;28.1;290;593;316;76;12;0;64;119;237;104;4
Granada;23;7.0;109;68;59;36;14;36;113;31.9;77;1031;265;25.7;356;493;182;119;34;2;85;90;199;206;3
Levante;26;8.0;140;94;74;52;14;45;120;37.5;75;1136;286;25.2;400;522;214;106;26;0;80;112;252;163;2
Mallorca;27;8.0;121;79;64;48;9;37;103;35.9;66;1088;314;28.9;383;471;234;109;24;1;85;104;225;181;3
Osasuna;24;8.0;131;71;54;64;13;47;124;37.9;77;1120;345;30.8;308;532;280;122;20;0;102;113;244;193;3
Rayo Vallecano;23;8.0;121;71;67;42;12;41;100;41.0;59;1263;361;28.6;417;579;267;147;31;0;116;130;251;178;1
Real Madrid;22;7.0;112;67;54;38;20;29;104;27.9;75;930;265;28.5;289;405;236;78;20;0;58;117;229;106;2
Real Sociedad;26;7.0;105;64;49;39;17;25;75;33.3;50;969;291;30.0;242;439;288;83;11;0;72;64;169;130;1
Sevilla;23;6.0;103;67;49;45;9;31;76;40.8;45;670;219;32.7;235;302;133;73;18;0;55;77;180;130;1
Valencia;25;8.0;123;67;55;47;21;42;108;38.9;66;1019;283;27.8;356;459;204;98;24;0;74;116;239;223;0
Villarreal;22;6.0;99;65;55;29;15;32;76;42.1;44;804;242;30.1;292;328;184;96;26;1;70;74;173;134;3
