Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;W;D;L;Performance-CS;Performance-CS%;Performance-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;Matches;
1;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-245;2000;2;2;180;2.0;1;0.50;5;4;80.0;0;2;0;1;50.0;0;0;0;0;;Matches
2;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;30-145;1991;1;1;90;1.0;0;0.00;0;0;;1;0;0;1;100.0;0;0;0;0;;Matches
3;Kiko Casilla\Kiko-Casilla;es ESP;GK;Elche;34-330;1986;2;2;180;2.0;1;0.50;7;6;85.7;0;1;1;1;50.0;0;0;0;0;;Matches
4;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;Real Madrid;29-109;1992;2;2;180;2.0;4;2.00;7;4;57.1;1;1;0;0;0.0;1;1;0;0;0.0;Matches
5;Stole Dimitrievski\Stole-Dimitrievski;mk MKD;GK;Rayo Vallecano;27-246;1993;2;1;162;1.8;4;2.22;14;12;85.7;0;0;1;0;0.0;2;2;0;0;0.0;Matches
6;Matías Dituro\Matias-Dituro;ar ARG;GK;Celta Vigo;34-112;1987;2;2;180;2.0;2;1.00;10;8;80.0;0;1;1;1;50.0;1;0;1;0;100.0;Matches
7;Marko Dmitrović\Marko-Dmitrovic;rs SRB;GK;Sevilla;29-216;1992;1;1;90;1.0;0;0.00;3;3;100.0;1;0;0;1;100.0;0;0;0;0;;Matches
8;Aarón Escandell\Aaron-Escandell;es ESP;GK;Granada;25-335;1995;2;2;180;2.0;1;0.50;8;8;100.0;0;2;0;1;50.0;1;1;0;0;0.0;Matches
9;Aitor Fernández\Aitor-Fernandez;es ESP;GK;Levante;30-117;1991;2;2;176;2.0;4;2.05;7;3;42.9;0;2;0;0;0.0;0;0;0;0;;Matches
10;Sergio Herrera\Sergio-Herrera;es ESP;GK;Osasuna;28-084;1993;2;2;180;2.0;0;0.00;3;3;100.0;0;2;0;2;100.0;0;0;0;0;;Matches
11;Jeremías Ledesma\Jeremias-Ledesma;ar ARG;GK;Cádiz;28-196;1993;2;2;180;2.0;2;1.00;10;8;80.0;0;2;0;0;0.0;0;0;0;0;;Matches
12;Diego López\Diego-Lopez;es ESP;GK;Espanyol;39-298;1981;3;3;270;3.0;1;0.33;9;8;88.9;0;2;1;2;66.7;0;0;0;0;;Matches
13;Giorgi Mamardashvili\Giorgi-Mamardashvili;ge GEO;GK;Valencia;20-333;2000;3;3;270;3.0;1;0.33;8;7;87.5;2;1;0;2;66.7;0;0;0;0;;Matches
14;Neto\Neto;br BRA;GK;Barcelona;32-040;1989;2;2;180;2.0;3;1.50;9;6;66.7;1;1;0;0;0.0;0;0;0;0;;Matches
15;Jan Oblak\Jan-Oblak;si SVN;GK;Atlético Madrid;28-233;1993;2;2;180;2.0;1;0.50;3;3;100.0;2;0;0;1;50.0;1;1;0;0;0.0;Matches
16;Fernando Pacheco\Fernando-Pacheco;es ESP;GK;Alavés;29-102;1992;3;3;270;3.0;8;2.67;13;5;38.5;0;0;3;0;0.0;0;0;0;0;;Matches
17;Manolo Reina\Manolo-Reina;es ESP;GK;Mallorca;36-149;1985;3;3;270;3.0;1;0.33;5;5;80.0;2;1;0;2;66.7;0;0;0;0;;Matches
18;Álex Remiro\Alex-Remiro;es ESP;GK;Real Sociedad;26-157;1995;2;2;180;2.0;4;2.00;9;5;55.6;1;0;1;1;50.0;0;0;0;0;;Matches
19;Gerónimo Rulli\Geronimo-Rulli;ar ARG;GK;Villarreal;29-100;1992;2;2;180;2.0;0;0.00;4;4;100.0;0;2;0;2;100.0;0;0;0;0;;Matches
20;Rui Silva\Rui-Silva;pt POR;GK;Betis;27-202;1994;2;2;180;2.0;2;1.00;3;2;66.7;0;2;0;0;0.0;1;1;0;0;0.0;Matches
21;David Soria\David-Soria;es ESP;GK;Getafe;28-146;1993;2;2;180;2.0;2;1.00;4;3;75.0;0;0;2;0;0.0;1;1;0;0;0.0;Matches
22;Rúben Vezo\Ruben-Vezo;pt POR;DF;Levante;27-125;1994;1;1;4;1.0;0;0.00;0;0;;0;1;0;0;0.0;0;0;0;0;;Matches
23;Luca Zidane\Luca-Zidane;fr FRA;MFGK;Rayo Vallecano;23-107;1998;1;1;15;0.2;0;0.00;0;0;;0;0;1;0;0.0;0;0;0;0;;Matches
