Squad;# Pl;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-GA;Performance-GA90;Performance-SoTA;Performance-Saves;Performance-Save%;Performance-W;Performance-D;Performance-L;Performance-CS;Performance-CS%;Penalty Kicks-PKatt;Penalty Kicks-PKA;Penalty Kicks-PKsv;Penalty Kicks-PKm;Penalty Kicks-Save%;
Alavés;2;7;7;630;7.0;12;1.71;23;13;56.5;1;0;6;1;14.3;3;2;1;0;33.3
Athletic Club;2;8;8;720;8.0;4;0.50;21;15;81.0;3;4;1;5;62.5;0;0;0;0;
Atlético Madrid;1;8;8;720;8.0;6;0.75;12;7;58.3;5;2;1;3;37.5;1;1;0;0;0.0
Barcelona;2;7;7;630;7.0;7;1.00;22;15;68.2;3;3;1;2;28.6;0;0;0;0;
Betis;2;7;7;630;7.0;7;1.00;18;12;66.7;3;3;1;1;14.3;1;1;0;0;0.0
Cádiz;1;8;8;720;8.0;11;1.37;32;23;75.0;1;4;3;2;25.0;3;3;0;0;0.0
Celta Vigo;1;7;7;630;7.0;10;1.43;29;20;69.0;2;1;4;3;42.9;4;1;3;0;75.0
Elche;1;7;7;630;7.0;8;1.14;32;24;75.0;1;3;3;2;28.6;0;0;0;0;
Espanyol;1;7;7;630;7.0;7;1.00;27;21;74.1;1;3;3;3;42.9;0;0;0;0;
Getafe;1;7;7;630;7.0;12;1.71;23;11;56.5;0;0;7;0;0.0;2;2;0;0;0.0
Granada;2;7;7;630;7.0;12;1.71;42;32;76.2;0;3;4;1;14.3;3;2;1;0;33.3
Levante;3;8;8;720;8.0;13;1.62;37;25;67.6;0;4;4;0;0.0;1;1;0;0;0.0
Mallorca;2;8;8;720;8.0;12;1.50;31;20;61.3;3;2;3;4;50.0;1;0;1;0;100.0
Osasuna;1;8;8;720;8.0;11;1.37;29;20;65.5;4;2;2;4;50.0;1;1;0;0;0.0
Rayo Vallecano;2;8;8;717;8.0;8;1.00;26;21;80.8;4;1;3;2;25.0;4;3;1;0;25.0
Real Madrid;1;7;7;630;7.0;8;1.14;28;21;75.0;5;2;0;2;28.6;1;1;0;0;0.0
Real Sociedad;2;7;7;630;7.0;6;0.86;17;11;70.6;5;1;1;5;71.4;1;1;0;0;0.0
Sevilla;2;6;6;540;6.0;2;0.33;15;13;86.7;4;2;0;4;66.7;1;0;1;0;100.0
Valencia;2;8;8;720;8.0;8;1.00;30;22;73.3;3;3;2;3;37.5;0;0;0;0;
Villarreal;2;6;6;540;6.0;3;0.50;12;9;75.0;1;5;0;4;66.7;0;0;0;0;
