Rk;Player;Nation;Pos;Squad;Age;Born;90s;Performance-CrdY;Performance-CrdR;Performance-2CrdY;Performance-Fls;Performance-Fld;Performance-Off;Crs;Int;TklW;Performance-PKwon;Performance-PKcon;Performance-OG;Performance-Recov;Aerial Duels-Won;Aerial Duels-Lost;Aerial Duels-Won%;Matches;
1;Luis Abram\Luis-Abram;pe PER;DF;Granada;25-218;1996;1.7;0;0;0;0;1;0;0;2;1;0;0;0;3;4;2;66.7;Matches
2;Marcos Acuña\Marcos-Acuna;ar ARG;DF;Sevilla;29-340;1991;4.8;0;0;0;5;12;0;23;7;4;0;0;0;31;2;11;15.4;Matches
3;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;25-146;1996;3.8;0;0;0;3;5;0;13;7;6;0;0;0;19;7;8;46.7;Matches
4;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-281;2000;2.0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;26-004;1995;1.0;0;0;0;0;1;0;0;0;1;0;0;0;11;5;1;83.3;Matches
6;Carlos Akapo\Carlos-Akapo;gq EQG;DF;Cádiz;28-205;1993;4.0;1;0;0;5;5;0;6;7;4;0;1;0;31;8;9;47.1;Matches
7;Paul Akouokou\Paul-Akouokou;ci CIV;MF;Betis;23-287;1997;0.9;1;0;0;4;0;0;0;2;2;0;0;0;8;3;0;100.0;Matches
8;David Alaba\David-Alaba;at AUT;DF;Real Madrid;29-101;1992;6.0;0;0;0;3;4;0;10;12;5;0;0;0;35;3;3;50.0;Matches
9;Tomás Alarcón\Tomas-Alarcon;cl CHI;MF;Cádiz;22-257;1999;7.3;4;0;0;12;3;0;10;13;12;0;0;0;78;15;13;53.6;Matches
10;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;32-196;1989;3.0;1;0;0;4;3;1;14;8;3;0;0;0;20;1;4;20.0;Matches
11;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;36-029;1985;5.0;1;0;0;2;3;1;0;8;5;0;0;0;22;9;3;75.0;Matches
12;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;28-034;1993;1.8;0;0;0;1;0;1;0;3;1;0;0;0;3;3;4;42.9;Matches
13;Omar Alderete\Omar-Alderete;py PAR;DF;Valencia;24-281;1996;7.0;5;0;0;11;1;0;0;16;10;0;0;0;54;23;10;69.7;Matches
14;Iván Alejo\Ivan-Alejo;es ESP;MF;Cádiz;26-235;1995;0.3;1;0;0;2;1;0;1;0;2;0;0;0;2;0;1;0.0;Matches
15;Carles Aleñá\Carles-Alena;es ESP;MFFW;Getafe;23-271;1998;4.5;3;1;0;7;4;1;5;3;3;0;0;0;18;1;6;14.3;Matches
16;Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu;gh GHA;DF;Getafe;19-317;2001;0.1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;Matches
17;Amath\Amath;sn SEN;FWMF;Mallorca;25-079;1996;3.5;3;0;0;5;8;4;1;2;7;0;0;0;15;1;9;10.0;Matches
18;Florin Andone\Florin-Andone;ro ROU;FWMF;Cádiz;28-175;1993;1.0;0;0;0;1;1;1;0;0;0;0;0;0;3;6;12;33.3;Matches
19;José Ángel\Jose-Angel;es ESP;DF;Osasuna;32-028;1989;1.2;0;0;0;3;1;0;2;4;2;0;0;0;13;4;0;100.0;Matches
20;Josep Antoni Gayá\Josep-Antoni-Gaya;es ESP;DF;Mallorca;21-088;2000;0.6;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;;Matches
21;Mauro Arambarri\Mauro-Arambarri;uy URU;MF;Getafe;26-003;1995;3.3;1;0;0;3;11;0;3;9;4;0;0;0;31;1;3;25.0;Matches
22;Néstor Araujo\Nestor-Araujo;mx MEX;DF;Celta Vigo;30-035;1991;5.9;1;0;0;4;4;0;0;10;3;0;0;0;61;16;13;55.2;Matches
23;Ronald Araújo\Ronald-Araujo;uy URU;DF;Barcelona;22-210;1999;4.9;2;0;0;5;4;0;1;8;3;0;0;0;41;20;6;76.9;Matches
24;Jesús Areso\Jesus-Areso;es ESP;DF;Osasuna;22-093;1999;0.9;0;0;0;1;0;0;1;0;3;0;0;0;4;1;1;50.0;Matches
25;Santiago Arias\Santiago-Arias;co COL;DF;Granada;29-263;1992;2.0;1;0;0;2;2;0;3;2;2;0;0;0;27;4;7;36.4;Matches
26;Santiago Arzamendia\Santiago-Arzamendia;py PAR;MF;Cádiz;23-151;1998;1.5;0;0;0;2;2;1;3;0;3;0;0;0;9;4;5;44.4;Matches
27;Sergio Asenjo\Sergio-Asenjo;es ESP;GK;Villarreal;32-097;1989;1.0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;;Matches
28;Marco Asensio\Marco-Asensio;es ESP;MFFW;Real Madrid;25-255;1996;2.5;0;0;0;2;1;0;7;3;1;0;0;0;14;0;0;;Matches
29;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;34-063;1987;6.8;3;0;0;4;7;5;16;8;0;0;1;0;51;8;14;36.4;Matches
30;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FW;Osasuna;27-239;1994;2.4;1;0;0;1;4;2;4;1;0;0;0;0;10;4;17;19.0;Matches
31;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;25-254;1996;7.1;3;0;0;10;11;0;3;11;18;0;0;0;73;14;13;51.9;Matches
32;Carlos Bacca\Carlos-Bacca;co COL;FW;Granada;35-025;1986;3.6;1;0;0;1;5;1;1;2;2;1;0;0;13;7;11;38.9;Matches
33;Miguel Baeza\Miguel-Baeza;es ESP;DF;Celta Vigo;21-190;2000;0.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;Matches
34;Alejandro Balde\Alejandro-Balde;es ESP;DF;Barcelona;17-350;2003;0.5;0;0;0;1;0;0;1;0;2;0;0;0;5;0;0;;Matches
35;Gareth Bale\Gareth-Bale;wls WAL;FW;Real Madrid;32-079;1989;2.1;1;0;0;2;0;1;2;5;0;0;0;0;7;4;4;50.0;Matches
36;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Club;33-216;1988;6.6;0;0;0;5;4;0;9;12;10;0;0;0;75;17;9;65.4;Matches
37;Iván Balliu\Ivan-Balliu;al ALB;DF;Rayo Vallecano;29-275;1992;8.0;5;0;0;11;16;1;13;17;0;0;2;0;62;4;9;30.8;Matches
38;Barbero\Barbero;es ESP;FWMF;Osasuna;23-047;1998;0.1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;2;0.0;Matches
39;Enis Bardhi\Enis-Bardhi;mk MKD;MFFW;Levante;26-093;1995;1.2;0;0;0;4;3;0;1;3;4;0;0;0;9;0;0;;Matches
40;Keidi Bare\Keidi-Bare;al ALB;MF;Espanyol;24-036;1997;3.2;1;0;0;6;7;0;3;6;3;0;0;0;38;4;8;33.3;Matches
41;Kike Barja\Kike-Barja;es ESP;MF;Osasuna;24-185;1997;1.4;1;0;0;3;6;0;7;3;0;0;0;0;12;1;0;100.0;Matches
42;Antonio Barragán\Antonio-Barragan;es ESP;DF;Elche;34-113;1987;1.1;0;0;0;1;1;0;0;6;0;0;0;0;7;0;0;;Matches
43;Ander Barrenetxea\Ander-Barrenetxea;es ESP;MFFW;Real Sociedad;19-280;2001;2.3;0;0;0;4;8;0;4;2;4;0;0;0;12;1;0;100.0;Matches
44;Marc Bartra\Marc-Bartra;es ESP;DF;Betis;30-261;1991;0.1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;;Matches
45;Álvaro Bastida\Alvaro-Bastida;es ESP;MF;Cádiz;17-144;2004;1.5;1;0;0;1;0;0;0;3;1;0;0;0;6;1;2;33.3;Matches
46;Rodrigo Battaglia\Rodrigo-Battaglia;ar ARG;MF;Mallorca;30-083;1991;1.7;0;0;0;3;1;0;0;3;3;0;0;0;15;4;3;57.1;Matches
47;Jon Bautista\Jon-Bautista;es ESP;FWMF;Real Sociedad;26-092;1995;0.5;0;0;0;1;2;1;0;1;0;0;0;0;2;1;1;50.0;Matches
48;Bebé\Bebe;pt POR;FWMF;Rayo Vallecano;31-083;1990;1.4;1;0;0;1;5;1;7;1;0;0;0;0;10;4;3;57.1;Matches
49;Héctor Bellerín\Hector-Bellerin;es ESP;DF;Betis;26-198;1995;3.0;0;0;0;3;2;0;3;3;3;0;0;0;26;4;3;57.1;Matches
50;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;22-242;1999;3.0;0;0;0;1;1;0;3;3;8;0;0;0;39;3;1;75.0;Matches
51;Darío Benedetto\Dario-Benedetto;ar ARG;FW;Elche;31-139;1990;3.6;1;0;0;2;2;1;3;2;1;0;0;0;8;8;8;50.0;Matches
52;Pedro Benito\Pedro-Benito;es ESP;FW;Cádiz;21-190;2000;0.3;0;0;0;3;0;0;0;0;0;0;0;0;1;3;3;50.0;Matches
53;Karim Benzema\Karim-Benzema;fr FRA;FW;Real Madrid;33-288;1987;6.9;0;0;0;7;4;11;4;2;1;0;0;0;26;3;6;33.3;Matches
54;Álex Berenguer\Alex-Berenguer;es ESP;MF;Athletic Club;26-091;1995;6.6;2;0;0;16;13;2;19;5;11;0;0;0;49;14;21;40.0;Matches
55;Pedro Bigas\Pedro-Bigas;es ESP;DF;Elche;31-018;1990;2.6;0;0;0;1;0;0;0;5;3;0;0;0;12;2;2;50.0;Matches
56;Blanco\Blanco;es ESP;MF;Real Madrid;21-072;2000;0.3;0;0;0;1;0;0;0;2;0;0;0;0;3;0;0;;Matches
57;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;30-181;1991;5.0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;;Matches
58;Lucas Boyé\Lucas-Boye;ar ARG;FW;Elche;25-217;1996;2.9;0;0;0;5;6;3;1;1;0;0;0;0;13;4;10;28.6;Matches
59;Martin Braithwaite\Martin-Braithwaite;dk DEN;FW;Barcelona;30-120;1991;2.5;0;0;0;5;2;2;1;0;1;0;0;0;10;3;5;37.5;Matches
60;Darko Brašanac\Darko-Brasanac;rs SRB;MFFW;Osasuna;29-233;1992;7.9;2;0;0;18;3;1;10;10;4;0;0;0;71;25;15;62.5;Matches
61;Claudio Bravo\Claudio-Bravo;cl CHI;GK;Betis;38-173;1983;3.0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;0;;Matches
62;Yan Brice Eteki\Yan-Brice-Eteki;cm CMR;MF;Granada;24-038;1997;0.7;0;0;0;4;2;0;0;0;0;0;0;0;10;1;1;50.0;Matches
63;Ante Budimir\Ante-Budimir;hr CRO;FW;Osasuna;30-073;1991;1.0;0;0;0;3;0;0;0;0;1;0;0;0;8;6;7;46.2;Matches
64;Sergio Busquets\Sergio-Busquets;es ESP;MF;Barcelona;33-079;1988;6.7;2;0;0;8;16;1;1;7;16;0;0;0;62;9;10;47.4;Matches
65;Erick Cabaco\Erick-Cabaco;uy URU;DF;Getafe;26-167;1995;0.8;3;1;1;3;1;0;0;0;0;0;0;0;7;0;0;;Matches
66;Leandro Cabrera\Leandro-Cabrera;uy URU;DF;Espanyol;30-108;1991;7.0;2;0;0;7;7;2;0;6;2;0;0;0;37;14;10;58.3;Matches
