Squad;# Pl;90s;Performance-CrdY;Performance-CrdR;Performance-2CrdY;Performance-Fls;Performance-Fld;Performance-Off;Performance-Crs;Performance-Int;Performance-TklW;Performance-PKwon;Performance-PKcon;Performance-OG;Performance-Recov;Aerial Duels-Won;Aerial Duels-Lost;Aerial Duels-Won%;
Alavés;24;7.0;17;1;1;102;95;12;101;85;66;1;3;0;498;178;111;61.6
Athletic Club;21;8.0;15;0;0;114;97;13;105;94;84;0;0;0;717;148;173;46.1
Atlético Madrid;21;8.0;32;2;1;92;88;18;105;91;79;0;1;0;644;121;107;53.1
Barcelona;25;7.0;16;2;1;81;112;11;116;72;89;1;0;0;548;107;88;54.9
Betis;28;7.0;19;1;0;94;82;6;87;80;81;0;1;0;585;126;99;56.0
Cádiz;26;8.0;22;1;1;90;76;7;96;120;98;2;2;0;610;178;183;49.3
Celta Vigo;21;7.0;19;1;0;76;78;13;94;95;80;1;4;0;656;136;134;50.4
Elche;23;7.0;16;0;0;80;89;15;76;115;46;0;0;0;476;91;105;46.4
Espanyol;25;7.0;16;1;0;80;90;18;71;74;64;0;0;0;497;91;141;39.2
Getafe;25;7.0;23;2;1;111;102;12;88;119;74;1;2;0;536;128;134;48.9
Granada;23;7.0;28;0;0;99;97;7;47;90;68;1;3;0;519;124;175;41.5
Levante;26;8.0;24;1;0;131;96;11;72;112;94;0;1;0;530;88;118;42.7
Mallorca;27;8.0;19;0;0;101;130;15;71;104;79;0;1;1;553;122;131;48.2
Osasuna;24;8.0;22;0;0;131;74;9;132;113;71;1;1;1;758;221;197;52.9
Rayo Vallecano;23;8.0;23;1;0;117;118;15;92;130;71;0;3;1;619;157;170;48.0
Real Madrid;22;7.0;17;0;0;80;91;21;109;117;67;1;1;0;487;56;66;45.9
Real Sociedad;26;7.0;12;0;0;107;83;14;83;64;64;1;1;0;547;163;107;60.4
Sevilla;23;6.0;15;1;1;79;70;12;79;77;67;1;1;0;420;102;107;48.8
Valencia;25;8.0;24;2;1;130;136;10;106;116;67;2;0;0;606;152;163;48.3
Villarreal;22;6.0;17;1;1;79;69;13;67;74;65;0;0;1;354;81;61;57.0
