Rk;Player;Nation;Pos;Squad;Age;Born;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;Matches;
1;Luis Abram\Luis-Abram;pe PER;DF;Granada;25-182;1996;0.5;8;8;0;0;0;2;0;0;0;0;0;0;4;1;3;5;0;1;0;0;4;0;0;1;0;Matches
2;Marcos Acuña\Marcos-Acuna;ar ARG;DF;Sevilla;29-304;1991;1.8;148;125;23;6;0;10;8;6;3;0;3;0;104;14;30;117;15;2;14;0;129;0;1;4;0;Matches
3;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;25-110;1996;1.0;55;44;11;0;0;8;2;6;0;0;0;0;29;17;9;2;37;4;11;0;39;0;2;7;3;Matches
4;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-245;2000;2.0;46;23;23;7;0;0;1;0;0;0;0;0;28;1;17;16;18;0;0;8;34;0;4;0;0;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;25-333;1995;0.1;3;3;0;0;0;1;0;0;0;0;0;0;2;0;1;0;3;0;0;0;2;0;0;0;0;Matches
6;Carlos Akapo\Carlos-Akapo;gq EQG;DF;Cádiz;28-169;1993;2.0;78;57;21;3;0;10;6;3;0;0;0;0;38;22;18;4;51;4;18;0;58;0;4;2;4;Matches
7;Paul Akouokou\Paul-Akouokou;ci CIV;MF;Betis;23-251;1997;0.9;61;61;0;0;0;9;2;0;0;0;0;0;48;5;8;8;48;2;0;0;54;0;2;1;1;Matches
8;David Alaba\David-Alaba;at AUT;DF;Real Madrid;29-065;1992;2.0;150;129;21;2;0;22;1;10;1;1;0;0;108;22;20;105;26;1;18;0;130;1;2;3;2;Matches
9;Tomás Alarcón\Tomas-Alarcon;cl CHI;MF;Cádiz;22-221;1999;2.0;58;57;1;1;0;13;4;1;0;0;0;0;36;9;13;4;50;0;0;0;46;0;3;2;0;Matches
10;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;32-160;1989;2.0;176;142;34;4;0;8;3;10;0;0;0;0;104;46;26;123;15;8;30;0;142;1;1;5;8;Matches
11;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;35-358;1985;2.0;92;87;5;5;0;11;4;0;0;0;0;0;76;5;11;15;72;4;0;0;84;0;1;1;1;Matches
12;Omar Alderete\Omar-Alderete;py PAR;DF;Valencia;24-245;1996;2.9;73;69;4;3;2;12;6;0;0;0;0;0;37;6;30;60;6;4;0;0;53;1;1;3;1;Matches
13;Carles Aleñá\Carles-Alena;es ESP;MF;Getafe;23-235;1998;1.5;60;53;7;2;0;8;5;1;5;2;1;1;41;5;14;50;7;2;0;0;42;0;2;6;0;Matches
14;Amath\Amath;sn SEN;FW;Mallorca;25-043;1996;0.9;8;8;0;0;0;2;0;0;0;0;0;0;7;0;1;2;6;0;0;0;7;0;0;0;0;Matches
15;José Ángel\Jose-Angel;es ESP;DF;Osasuna;31-357;1989;0.1;11;11;0;0;0;2;1;0;0;0;0;0;6;3;2;8;3;0;0;0;10;0;0;1;0;Matches
16;Mauro Arambarri\Mauro-Arambarri;uy URU;MFDF;Getafe;25-332;1995;2.0;79;71;8;6;0;6;6;3;0;0;0;0;52;16;11;9;65;2;2;1;61;0;3;2;3;Matches
17;Néstor Araujo\Nestor-Araujo;mx MEX;DF;Celta Vigo;29-364;1991;2.0;123;120;3;2;0;9;6;0;0;0;0;0;98;9;16;13;100;6;1;0;104;1;1;2;0;Matches
18;Ronald Araújo\Ronald-Araujo;uy URU;DF;Barcelona;22-174;1999;0.8;44;39;5;3;0;4;0;0;0;0;0;0;34;4;6;1;40;2;1;0;39;0;0;2;0;Matches
19;Marco Asensio\Marco-Asensio;es ESP;MF;Real Madrid;25-219;1996;0.4;25;23;2;1;0;0;0;1;0;0;0;0;17;6;2;22;1;1;1;0;20;0;0;1;2;Matches
20;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;34-027;1987;2.0;57;56;1;0;0;15;1;0;0;0;0;0;43;11;3;37;12;5;1;0;45;0;2;2;4;Matches
21;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FWMF;Osasuna;27-203;1994;0.4;9;9;0;0;0;0;0;2;0;0;0;0;3;3;3;2;5;2;0;0;5;0;0;0;1;Matches
22;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;25-218;1996;2.8;83;81;2;2;0;10;1;2;0;0;0;0;68;3;12;4;70;6;0;0;68;0;0;4;1;Matches
23;Carlos Bacca\Carlos-Bacca;co COL;FW;Granada;34-354;1986;1.2;29;28;1;0;1;9;0;1;0;0;0;0;21;2;6;1;25;2;0;0;21;0;0;2;1;Matches
24;Miguel Baeza\Miguel-Baeza;es ESP;DF;Celta Vigo;21-154;2000;0.0;5;5;0;0;0;1;0;1;0;0;0;0;4;0;1;5;0;0;0;0;4;0;0;0;0;Matches
25;Gareth Bale\Gareth-Bale;wls WAL;FW;Real Madrid;32-043;1989;1.4;25;25;0;0;0;6;0;1;0;0;0;0;16;5;4;21;2;1;0;0;19;0;1;3;0;Matches
26;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Club;33-180;1988;2.0;73;64;9;0;0;5;1;3;0;0;0;0;44;14;15;55;4;2;9;0;62;1;2;0;1;Matches
27;Iván Balliu\Ivan-Balliu;al ALB;DF;Rayo Vallecano;29-239;1992;2.0;60;44;16;2;0;6;3;3;0;0;0;0;29;15;16;5;37;4;14;0;47;0;3;1;1;Matches
28;Enis Bardhi\Enis-Bardhi;mk MKD;FWMF;Levante;26-057;1995;0.5;6;4;2;1;0;1;0;0;1;1;0;0;1;3;2;1;5;0;0;0;2;0;0;1;1;Matches
29;Keidi Bare\Keidi-Bare;al ALB;MF;Espanyol;24-000;1997;0.5;21;20;1;1;0;2;0;1;0;0;0;0;10;5;6;3;17;1;0;0;12;0;0;3;2;Matches
30;Kike Barja\Kike-Barja;es ESP;MF;Osasuna;24-149;1997;1.4;57;56;1;0;0;9;4;7;0;0;0;0;28;15;14;23;30;2;1;0;36;0;1;2;3;Matches
31;Ander Barrenetxea\Ander-Barrenetxea;es ESP;MFFW;Real Sociedad;19-244;2001;1.4;36;35;1;1;1;15;0;1;0;0;0;0;30;2;4;8;27;0;0;0;26;0;0;2;4;Matches
32;Rodrigo Battaglia\Rodrigo-Battaglia;ar ARG;MFFW;Mallorca;30-047;1991;0.4;25;23;2;2;0;4;0;0;0;0;0;0;17;6;2;4;16;3;0;0;22;0;0;0;0;Matches
33;Jon Bautista\Jon-Bautista;es ESP;FWMF;Real Sociedad;26-056;1995;0.5;8;7;1;0;0;2;0;0;0;0;0;0;6;2;0;2;4;1;0;0;6;0;1;0;0;Matches
34;Bebé\Bebe;pt POR;FW;Rayo Vallecano;31-047;1990;0.4;15;10;5;2;0;1;1;3;1;1;0;0;5;5;5;1;11;1;1;0;8;0;1;0;0;Matches
35;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;22-206;1999;0.4;42;36;6;5;0;6;0;0;0;0;0;0;37;4;1;3;37;1;1;0;39;1;0;1;0;Matches
