Squad;# Pl;90s;Att;Pass Types-Live;Pass Types-Dead;Pass Types-FK;Pass Types-TB;Pass Types-Press;Pass Types-Sw;Pass Types-Crs;Pass Types-CK;Corner Kicks-In;Corner Kicks-Out;Corner Kicks-Str;Height-Ground;Height-Low;Height-High;Body Parts-Left;Body Parts-Right;Body Parts-Head;Body Parts-TI;Body Parts-Other;Outcomes-Cmp;Outcomes-Off;Outcomes-Out;Outcomes-Int;Outcomes-Blocks;
Alavés;24;7.0;2727;2349;378;107;2;436;133;101;27;11;10;3;1550;427;750;735;1546;134;151;33;2057;10;68;94;78
Athletic Club;21;8.0;3234;2803;431;120;1;380;103;105;57;10;26;1;1835;501;898;814;1898;182;169;54;2356;12;92;111;100
Atlético Madrid;21;8.0;4101;3693;408;101;12;473;177;105;46;13;27;1;2750;596;755;1038;2581;141;191;64;3337;16;84;113;107
Barcelona;25;7.0;4810;4428;382;122;9;629;115;116;44;17;3;1;3808;435;567;963;3505;89;150;47;4213;10;47;103;73
Betis;28;7.0;3824;3496;328;101;5;518;93;87;37;13;15;0;2784;430;610;1718;1744;112;133;42;3205;5;63;93;77
Cádiz;26;8.0;2249;1851;398;87;3;439;94;96;22;7;10;2;970;375;904;436;1302;140;188;24;1413;6;83;78;88
Celta Vigo;21;7.0;3957;3603;354;86;7;523;153;94;28;9;12;3;2675;566;716;1207;2288;148;177;43;3153;11;74;103;107
Elche;23;7.0;2949;2589;360;107;3;437;103;76;26;14;8;1;1900;417;632;968;1618;91;140;67;2336;13;64;80;100
Espanyol;25;7.0;2812;2452;360;107;3;326;99;71;39;15;15;0;1784;376;652;791;1684;109;120;44;2182;16;55;74;71
Getafe;25;7.0;2946;2572;374;120;0;448;127;88;32;15;9;2;1774;387;785;958;1522;159;156;38;2214;9;70;88;92
Granada;23;7.0;2260;1896;364;111;2;379;65;47;27;11;11;5;1148;367;745;460;1381;123;135;48;1566;6;58;76;79
Levante;26;8.0;3190;2807;383;112;9;487;123;72;25;12;6;2;1983;540;667;594;2195;127;157;49;2481;10;77;100;96
Mallorca;27;8.0;3039;2612;427;135;7;452;99;71;33;7;8;2;1922;373;744;794;1794;143;161;58;2336;15;68;73;74
Osasuna;24;8.0;3679;3244;435;93;4;660;152;132;43;13;21;4;2008;651;1020;999;2001;237;231;39;2704;8;83;126;123
Rayo Vallecano;23;8.0;3165;2752;413;121;3;704;126;92;27;14;11;0;1859;481;825;850;1817;151;188;54;2384;15;64;92;73
Real Madrid;22;7.0;4113;3802;311;97;8;443;108;109;38;15;6;2;3170;415;528;1130;2696;93;113;47;3557;18;53;83;85
Real Sociedad;26;7.0;3478;3156;322;87;7;449;82;83;36;12;15;1;2451;432;595;1247;1797;135;148;32;2895;12;53;80;85
Sevilla;23;6.0;3414;3152;262;83;7;467;168;79;22;3;13;1;2462;378;574;1121;1985;98;117;40;2923;10;68;78;35
Valencia;25;8.0;2967;2541;426;146;4;528;150;106;28;11;14;2;1619;501;847;835;1641;154;172;61;2208;9;75;87;79
Villarreal;22;6.0;3197;2916;281;88;5;518;84;67;25;13;1;1;2493;324;380;1003;1932;72;111;37;2729;13;37;99;55
