Rk;Player;Nation;Pos;Squad;Age;Born;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;Matches;
1;Luis Abram\Luis-Abram;pe PER;DF;Granada;25-182;1996;0.5;4;8;50.0;82;22;2;2;100.0;1;3;33.3;1;3;33.3;0;0.0;0.0;0;0;0;0;0;Matches
2;Marcos Acuña\Marcos-Acuna;ar ARG;DF;Sevilla;29-304;1991;1.8;129;148;87.2;2436;909;58;58;100.0;58;64;90.6;13;26;50.0;0;0.2;-0.2;5;6;2;0;7;Matches
3;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;25-110;1996;1.0;39;55;70.9;664;364;18;22;81.8;18;23;78.3;3;8;37.5;0;0.0;0.0;1;0;2;2;1;Matches
4;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-245;2000;2.0;34;46;73.9;857;445;8;8;100.0;19;19;100.0;6;18;33.3;0;0.0;0.0;0;1;0;0;0;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;25-333;1995;0.1;2;3;66.7;41;0;0;0;;2;2;100.0;0;1;0.0;0;0.0;0.0;0;0;0;0;0;Matches
6;Carlos Akapo\Carlos-Akapo;gq EQG;DF;Cádiz;28-169;1993;2.0;58;78;74.4;1286;445;19;23;82.6;29;34;85.3;9;17;52.9;0;0.1;-0.1;1;3;3;1;4;Matches
7;Paul Akouokou\Paul-Akouokou;ci CIV;MF;Betis;23-251;1997;0.9;54;61;88.5;1042;310;19;23;82.6;31;32;96.9;4;6;66.7;0;0.0;0.0;0;7;1;0;5;Matches
8;David Alaba\David-Alaba;at AUT;DF;Real Madrid;29-065;1992;2.0;130;150;86.7;1913;556;73;79;92.4;46;52;88.5;7;13;53.8;1;0.4;+0.6;4;7;3;0;5;Matches
9;Tomás Alarcón\Tomas-Alarcon;cl CHI;MF;Cádiz;22-221;1999;2.0;46;58;79.3;1101;262;15;18;83.3;18;22;81.8;12;17;70.6;0;0.0;0.0;0;4;1;1;4;Matches
10;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;32-160;1989;2.0;142;176;80.7;2350;935;67;73;91.8;65;76;85.5;8;15;53.3;0;0.2;-0.2;2;12;5;0;17;Matches
11;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;35-358;1985;2.0;84;92;91.3;1890;519;14;17;82.4;55;57;96.5;14;16;87.5;0;0.0;0.0;0;5;0;0;5;Matches
12;Omar Alderete\Omar-Alderete;py PAR;DF;Valencia;24-245;1996;2.9;53;73;72.6;1636;849;8;13;61.5;23;24;95.8;22;36;61.1;0;0.1;-0.1;2;8;2;0;5;Matches
13;Carles Aleñá\Carles-Alena;es ESP;MF;Getafe;23-235;1998;1.5;42;60;70.0;917;165;16;20;80.0;15;22;68.2;11;17;64.7;0;0.0;0.0;2;7;0;0;2;Matches
14;Amath\Amath;sn SEN;FW;Mallorca;25-043;1996;0.9;7;8;87.5;110;17;5;5;100.0;2;3;66.7;0;0;;0;0.0;0.0;0;0;0;0;0;Matches
15;José Ángel\Jose-Angel;es ESP;DF;Osasuna;31-357;1989;0.1;10;11;90.9;265;146;1;2;50.0;6;6;100.0;3;3;100.0;0;0.0;0.0;1;1;4;0;5;Matches
16;Mauro Arambarri\Mauro-Arambarri;uy URU;MFDF;Getafe;25-332;1995;2.0;61;79;77.2;1372;216;17;22;77.3;28;34;82.4;15;21;71.4;0;0.1;-0.1;2;8;3;1;4;Matches
17;Néstor Araujo\Nestor-Araujo;mx MEX;DF;Celta Vigo;29-364;1991;2.0;104;123;84.6;2525;435;16;19;84.2;57;62;91.9;30;41;73.2;0;0.0;0.0;0;0;0;0;2;Matches
18;Ronald Araújo\Ronald-Araujo;uy URU;DF;Barcelona;22-174;1999;0.8;39;44;88.6;768;143;10;10;100.0;25;25;100.0;4;9;44.4;0;0.0;0.0;0;1;0;0;0;Matches
19;Marco Asensio\Marco-Asensio;es ESP;MF;Real Madrid;25-219;1996;0.4;20;25;80.0;347;27;10;12;83.3;8;9;88.9;2;3;66.7;0;0.0;0.0;0;2;2;0;2;Matches
20;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;34-027;1987;2.0;45;57;78.9;716;122;27;31;87.1;13;16;81.3;5;6;83.3;0;0.1;-0.1;1;1;2;0;5;Matches
21;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FWMF;Osasuna;27-203;1994;0.4;5;9;55.6;118;27;1;4;25.0;2;3;66.7;2;2;100.0;0;0.0;0.0;0;0;1;0;1;Matches
22;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;25-218;1996;2.8;68;83;81.9;1345;329;22;30;73.3;32;34;94.1;13;17;76.5;0;0.1;-0.1;2;6;2;1;6;Matches
23;Carlos Bacca\Carlos-Bacca;co COL;FW;Granada;34-354;1986;1.2;21;29;72.4;325;86;12;15;80.0;6;9;66.7;2;3;66.7;1;0.2;+0.8;2;2;0;0;1;Matches
24;Miguel Baeza\Miguel-Baeza;es ESP;DF;Celta Vigo;21-154;2000;0.0;4;5;80.0;68;10;2;2;100.0;2;2;100.0;0;1;0.0;0;0.0;0.0;0;0;0;0;0;Matches
25;Gareth Bale\Gareth-Bale;wls WAL;FW;Real Madrid;32-043;1989;1.4;19;25;76.0;336;74;10;11;90.9;8;11;72.7;1;2;50.0;0;0.0;0.0;1;0;2;0;3;Matches
26;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Club;33-180;1988;2.0;62;73;84.9;1030;374;29;29;100.0;25;30;83.3;6;12;50.0;0;0.0;0.0;0;8;0;0;10;Matches
27;Iván Balliu\Ivan-Balliu;al ALB;DF;Rayo Vallecano;29-239;1992;2.0;47;60;78.3;1082;511;16;19;84.2;19;25;76.0;11;14;78.6;0;0.0;0.0;0;6;0;0;4;Matches
28;Enis Bardhi\Enis-Bardhi;mk MKD;FWMF;Levante;26-057;1995;0.5;2;6;33.3;41;29;1;3;33.3;1;1;100.0;0;2;0.0;0;0.0;0.0;0;0;0;0;0;Matches
29;Keidi Bare\Keidi-Bare;al ALB;MF;Espanyol;24-000;1997;0.5;12;21;57.1;238;86;6;7;85.7;4;7;57.1;2;5;40.0;0;0.1;-0.1;1;2;0;0;3;Matches
30;Kike Barja\Kike-Barja;es ESP;MF;Osasuna;24-149;1997;1.4;36;57;63.2;590;208;21;29;72.4;10;14;71.4;4;11;36.4;0;0.4;-0.4;2;3;0;0;6;Matches
31;Ander Barrenetxea\Ander-Barrenetxea;es ESP;MFFW;Real Sociedad;19-244;2001;1.4;26;36;72.2;429;95;14;18;77.8;8;11;72.7;3;3;100.0;1;0.5;+0.5;2;0;1;0;2;Matches
32;Rodrigo Battaglia\Rodrigo-Battaglia;ar ARG;MFFW;Mallorca;30-047;1991;0.4;22;25;88.0;342;77;13;13;100.0;5;7;71.4;3;4;75.0;0;0.0;0.0;0;1;0;0;1;Matches
33;Jon Bautista\Jon-Bautista;es ESP;FWMF;Real Sociedad;26-056;1995;0.5;6;8;75.0;81;21;4;5;80.0;0;1;0.0;1;1;100.0;0;0.0;0.0;0;0;1;0;2;Matches
34;Bebé\Bebe;pt POR;FW;Rayo Vallecano;31-047;1990;0.4;8;15;53.3;149;18;1;2;50.0;5;8;62.5;1;4;25.0;0;0.0;0.0;0;0;0;0;0;Matches
35;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;22-206;1999;0.4;39;42;92.9;711;128;15;16;93.8;19;20;95.0;4;5;80.0;0;0.0;0.0;0;2;0;0;2;Matches
36;Darío Benedetto\Dario-Benedetto;ar ARG;FW;Elche;31-103;1990;0.3;5;6;83.3;111;29;3;4;75.0;1;1;100.0;1;1;100.0;0;0.0;0.0;0;2;0;0;2;Matches
37;Karim Benzema\Karim-Benzema;fr FRA;FW;Real Madrid;33-252;1987;2.0;66;77;85.7;1085;197;42;48;87.5;15;16;93.8;9;9;100.0;2;0.2;+1.8;2;2;4;0;7;Matches
38;Álex Berenguer\Alex-Berenguer;es ESP;MF;Athletic Club;26-055;1995;1.9;47;79;59.5;727;306;23;25;92.0;18;26;69.2;4;23;17.4;0;0.4;-0.4;3;3;2;1;7;Matches
39;Pedro Bigas\Pedro-Bigas;es ESP;DF;Elche;30-347;1990;1.9;107;116;92.2;2232;846;28;28;100.0;64;67;95.5;14;17;82.4;0;0.0;0.0;0;8;1;0;5;Matches
40;Yassine Bounou\Yassine-Bounou;ma MAR;GK;Sevilla;30-145;1991;1.0;25;32;78.1;643;234;5;5;100.0;12;12;100.0;8;15;53.3;0;0.0;0.0;0;0;0;0;0;Matches
41;Lucas Boyé\Lucas-Boye;ar ARG;FW;Elche;25-181;1996;1.9;31;40;77.5;528;77;17;19;89.5;8;9;88.9;5;8;62.5;0;0.1;-0.1;1;3;0;0;3;Matches
42;Martin Braithwaite\Martin-Braithwaite;dk DEN;FW;Barcelona;30-084;1991;1.7;34;40;85.0;487;69;22;23;95.7;12;15;80.0;0;1;0.0;1;1.3;-0.3;2;0;1;0;1;Matches
43;Darko Brašanac\Darko-Brasanac;rs SRB;FWMF;Osasuna;29-197;1992;1.9;61;78;78.2;980;140;33;38;86.8;22;28;78.6;4;5;80.0;0;0.3;-0.3;4;2;1;0;4;Matches
44;Ante Budimir\Ante-Budimir;hr CRO;FW;Osasuna;30-037;1991;1.0;11;19;57.9;139;22;9;13;69.2;2;5;40.0;0;0;;0;0.0;0.0;0;1;0;0;0;Matches
45;Sergio Busquets\Sergio-Busquets;es ESP;MF;Barcelona;33-043;1988;1.9;103;124;83.1;2068;566;43;47;91.5;40;49;81.6;18;25;72.0;0;0.0;0.0;0;14;1;0;9;Matches
46;Erick Cabaco\Erick-Cabaco;uy URU;DF;Getafe;26-131;1995;0.8;35;40;87.5;994;291;4;4;100.0;15;16;93.8;16;20;80.0;0;0.0;0.0;0;6;0;0;2;Matches
