Squad;# Pl;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;
Alavés;24;7.0;2057;2727;75.4;45429;17561;743;891;83.4;862;1027;83.9;413;712;58.0;1;2.6;-1.6;48;153;41;20;143
Athletic Club;21;8.0;2356;3234;72.9;48321;18905;895;1084;82.6;1037;1281;81.0;390;744;52.4;6;7.9;-1.9;67;191;68;19;264
Atlético Madrid;21;8.0;3337;4101;81.4;66407;21887;1378;1549;89.0;1358;1545;87.9;537;846;63.5;9;6.9;+2.1;71;274;72;12;311
Barcelona;25;7.0;4213;4810;87.6;78457;23089;1804;1944;92.8;1805;1967;91.8;537;759;70.8;8;8.4;-0.4;65;321;76;19;323
Betis;28;7.0;3205;3824;83.8;61341;19727;1335;1474;90.6;1386;1555;89.1;428;668;64.1;8;8.7;-0.7;87;238;78;10;265
Cádiz;26;8.0;1413;2249;62.8;31842;14236;535;674;79.4;547;762;71.8;299;697;42.9;3;3.9;-0.9;35;121;39;18;121
Celta Vigo;21;7.0;3153;3957;79.7;66025;18645;1146;1316;87.1;1365;1581;86.3;598;916;65.3;4;5.7;-1.7;50;218;60;16;234
Elche;23;7.0;2336;2949;79.2;48428;16452;884;1019;86.8;1008;1131;89.1;403;675;59.7;3;4.1;-1.1;36;102;32;16;127
Espanyol;25;7.0;2182;2812;77.6;42876;13980;869;987;88.0;933;1069;87.3;319;628;50.8;2;3.9;-1.9;44;145;28;9;143
Getafe;25;7.0;2214;2946;75.2;46193;16296;860;1002;85.8;890;1089;81.7;417;726;57.4;2;2.6;-0.6;51;177;41;13;204
Granada;23;7.0;1566;2260;69.3;32847;14266;605;730;82.9;626;787;79.5;298;625;47.7;4;3.0;+1.0;37;119;22;10;130
Levante;26;8.0;2481;3190;77.8;49707;18097;966;1093;88.4;1054;1243;84.8;402;708;56.8;4;5.3;-1.3;45;177;41;9;232
Mallorca;27;8.0;2336;3039;76.9;45794;16623;968;1114;86.9;927;1100;84.3;367;684;53.7;6;4.6;+1.4;60;153;35;8;171
Osasuna;24;8.0;2704;3679;73.5;55958;22955;1068;1311;81.5;1142;1402;81.5;447;828;54.0;7;6.0;+1.0;71;274;92;28;310
Rayo Vallecano;23;8.0;2384;3165;75.3;50049;17766;888;1041;85.3;1013;1212;83.6;439;800;54.9;9;6.7;+2.3;62;180;44;19;179
Real Madrid;22;7.0;3557;4113;86.5;66209;18846;1536;1669;92.0;1486;1634;90.9;468;666;70.3;16;9.3;+6.7;86;268;92;15;275
Real Sociedad;26;7.0;2895;3478;83.2;58088;18682;1085;1218;89.1;1303;1481;88.0;458;652;70.2;5;5.9;-0.9;60;217;75;13;252
Sevilla;23;6.0;2923;3414;85.6;59601;16265;1100;1184;92.9;1273;1407;90.5;495;729;67.9;7;6.9;+0.1;67;196;67;16;206
Valencia;25;8.0;2208;2967;74.4;48680;18531;811;949;85.5;905;1103;82.0;452;814;55.5;7;6.6;+0.4;72;206;56;12;236
Villarreal;22;6.0;2729;3197;85.4;52797;16184;1031;1128;91.4;1289;1432;90.0;364;540;67.4;5;5.0;0.0;41;176;47;12;218
