Squad;# Pl;Poss;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;
Alavés;24;45.0;7.0;3581;479;1293;1618;833;137;3212;53;88;60.2;55;5;1984;9277;4484;175;46;19;100;71;2518;2057;81.7;143
Athletic Club;21;45.8;8.0;4173;504;1333;1950;1115;189;3750;55;98;56.1;63;5;2361;11795;6682;260;84;24;113;91;2841;2356;82.9;264
Atlético Madrid;21;52.4;8.0;4929;414;1478;2309;1448;231;4539;80;123;65.0;91;4;3263;15976;9050;379;100;43;96;105;3931;3337;84.9;311
Barcelona;25;68.9;7.0;5650;511;1545;2898;1553;219;5291;75;136;55.1;81;8;4036;19319;10635;471;117;47;110;93;4665;4213;90.3;323
Betis;28;58.9;7.0;4693;438;1379;2343;1255;219;4378;68;122;55.7;73;5;3134;16209;8872;363;98;43;86;70;3695;3205;86.7;265
Cádiz;26;30.5;8.0;3263;532;1339;1296;779;111;2869;51;99;51.5;57;6;1538;8194;4227;142;62;13;106;71;1970;1413;71.7;121
Celta Vigo;21;59.3;7.0;4799;402;1357;2535;1178;150;4452;58;103;56.3;65;4;3051;15454;8527;358;92;18;102;71;3786;3153;83.3;234
Elche;23;44.4;7.0;3764;513;1572;1760;645;81;3409;52;97;53.6;57;6;2322;11377;5706;208;69;8;92;79;2751;2336;84.9;127
Espanyol;25;46.0;7.0;3611;540;1444;1569;827;120;3259;54;102;52.9;57;3;2192;11254;6292;229;76;28;93;73;2626;2182;83.1;143
Getafe;25;47.6;7.0;3657;340;1026;1851;984;125;3289;44;83;53.0;49;2;2167;10932;5615;249;78;17;81;70;2627;2214;84.3;204
Granada;23;38.7;7.0;3099;542;1237;1350;644;97;2748;37;73;50.7;41;4;1558;8013;4068;150;46;17;87;73;2079;1566;75.3;130
Levante;26;44.8;8.0;4051;501;1501;1942;837;107;3677;68;128;53.1;74;5;2379;12056;6473;238;63;19;88;79;2934;2481;84.6;232
Mallorca;27;46.1;8.0;3938;545;1479;1817;879;145;3517;72;125;57.6;80;2;2340;12806;7165;256;77;29;82;97;2846;2336;82.1;171
Osasuna;24;52.0;8.0;4634;400;1192;2217;1443;217;4206;56;96;58.3;65;3;2521;11628;5890;248;73;23;117;84;3438;2704;78.7;310
Rayo Vallecano;23;47.1;8.0;4119;471;1443;1947;971;145;3716;76;131;58.0;82;15;2313;12012;6534;235;92;25;100;86;2938;2384;81.1;179
Real Madrid;22;56.9;7.0;4867;459;1489;2191;1499;247;4568;88;137;64.2;94;11;3427;18014;10383;403;125;61;60;83;3975;3557;89.5;275
Real Sociedad;26;57.3;7.0;4249;448;1305;2101;1139;195;3937;59;102;57.8;66;5;2811;14670;8295;325;89;24;102;91;3204;2895;90.4;252
Sevilla;23;62.2;6.0;4062;411;1310;2050;931;128;3811;45;76;59.2;49;6;2797;12216;6791;269;78;14;67;56;3252;2923;89.9;206
Valencia;25;46.8;8.0;3922;436;1248;1812;1099;148;3508;52;104;50.0;58;5;2239;11649;6550;253;89;29;109;86;2745;2208;80.4;236
Villarreal;22;58.0;6.0;3858;453;1276;1944;921;141;3588;52;96;54.2;55;4;2651;15110;8425;287;89;30;64;53;3078;2729;88.7;218
