Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Performance-PK;Performance-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;Matches;
1;Luis Abram\Luis-Abram;pe PER;DF;Granada;25-218;1996;1.7;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
2;Marcos Acuña\Marcos-Acuna;ar ARG;DF;Sevilla;29-340;1991;4.8;0;3;2;66.7;0.62;0.42;0.00;0.00;23.6;0;0;0;0.7;0.7;0.23;-0.7;-0.7;Matches
3;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;25-146;1996;3.8;0;2;0;0.0;0.53;0.00;0.00;;17.6;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Matches
4;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-281;2000;2.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;26-004;1995;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
6;Carlos Akapo\Carlos-Akapo;gq EQG;DF;Cádiz;28-205;1993;4.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
7;Paul Akouokou\Paul-Akouokou;ci CIV;MF;Betis;23-287;1997;0.9;0;1;0;0.0;1.11;0.00;0.00;;26.0;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches
8;David Alaba\David-Alaba;at AUT;DF;Real Madrid;29-101;1992;6.0;0;3;0;0.0;0.50;0.00;0.00;;27.7;1;0;0;0.1;0.1;0.02;-0.1;-0.1;Matches
9;Tomás Alarcón\Tomas-Alarcon;cl CHI;MF;Cádiz;22-257;1999;7.3;0;7;1;14.3;0.96;0.14;0.00;0.00;22.8;0;0;0;0.6;0.6;0.09;-0.6;-0.6;Matches
10;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;32-196;1989;3.0;0;2;0;0.0;0.67;0.00;0.00;;18.0;0;0;0;0.4;0.4;0.22;-0.4;-0.4;Matches
11;Raúl Albiol\Raul-Albiol;es ESP;DF;Villarreal;36-029;1985;5.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
12;Paco Alcácer\Paco-Alcacer;es ESP;FW;Villarreal;28-034;1993;1.8;0;2;0;0.0;1.09;0.00;0.00;;14.0;0;0;0;0.3;0.3;0.14;-0.3;-0.3;Matches
13;Omar Alderete\Omar-Alderete;py PAR;DF;Valencia;24-281;1996;7.0;1;6;2;33.3;0.86;0.29;0.17;0.50;12.5;0;0;0;0.4;0.4;0.06;+0.6;+0.6;Matches
14;Iván Alejo\Ivan-Alejo;es ESP;MF;Cádiz;26-235;1995;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
15;Carles Aleñá\Carles-Alena;es ESP;MFFW;Getafe;23-271;1998;4.5;0;7;0;0.0;1.55;0.00;0.00;;23.8;0;0;0;0.2;0.2;0.03;-0.2;-0.2;Matches
16;Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu;gh GHA;DF;Getafe;19-317;2001;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
17;Amath\Amath;sn SEN;FWMF;Mallorca;25-079;1996;3.5;0;4;1;25.0;1.14;0.28;0.00;0.00;18.8;0;0;0;0.4;0.4;0.09;-0.4;-0.4;Matches
18;Florin Andone\Florin-Andone;ro ROU;FWMF;Cádiz;28-175;1993;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
19;José Ángel\Jose-Angel;es ESP;DF;Osasuna;32-028;1989;1.2;1;3;2;66.7;2.55;1.70;0.33;0.50;29.5;0;0;0;0.0;0.0;0.02;+1.0;+1.0;Matches
20;Josep Antoni Gayá\Josep-Antoni-Gaya;es ESP;DF;Mallorca;21-088;2000;0.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
21;Mauro Arambarri\Mauro-Arambarri;uy URU;MF;Getafe;26-003;1995;3.3;0;12;2;16.7;3.59;0.60;0.00;0.00;23.7;1;0;0;0.4;0.4;0.03;-0.4;-0.4;Matches
