Squad;# Pl;90s;Standard-Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Standard-PK;Standard-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;
Alavés;24;7.0;2;69;17;24.6;9.86;2.43;0.01;0.06;16.4;2;1;1;4.7;4.0;0.06;-2.7;-3.0
Athletic Club;21;8.0;6;93;26;28.0;11.62;3.25;0.06;0.23;15.4;2;0;1;10.3;9.6;0.10;-4.3;-3.6
Atlético Madrid;21;8.0;10;102;24;23.5;12.75;3.00;0.10;0.42;18.2;2;0;0;9.2;9.2;0.09;+0.8;+0.8
Barcelona;25;7.0;11;82;35;42.7;11.71;5.00;0.12;0.29;15.4;4;1;1;11.3;10.5;0.13;-0.3;-0.5
Betis;28;7.0;10;117;44;37.6;16.71;6.29;0.09;0.23;17.3;4;0;0;12.6;12.6;0.11;-2.6;-2.6
Cádiz;26;8.0;7;53;15;28.3;6.62;1.87;0.09;0.33;16.8;2;2;3;7.5;5.1;0.10;-0.5;-0.1
Celta Vigo;21;7.0;7;66;16;24.2;9.43;2.29;0.09;0.38;17.8;1;1;2;8.3;6.8;0.11;-1.3;-0.8
Elche;23;7.0;4;50;18;36.0;7.14;2.57;0.08;0.22;18.8;2;0;0;5.0;5.0;0.10;-1.0;-1.0
Espanyol;25;7.0;4;73;19;26.0;10.43;2.71;0.04;0.16;18.7;6;1;1;7.0;6.3;0.09;-3.0;-3.3
Getafe;25;7.0;2;77;13;16.9;11.00;1.86;0.03;0.15;20.7;10;0;1;4.5;3.8;0.05;-2.5;-1.8
Granada;23;7.0;5;57;15;26.3;8.14;2.14;0.07;0.27;18.1;1;1;1;4.6;3.8;0.07;+0.4;+0.2
Levante;26;8.0;6;61;18;29.5;7.62;2.25;0.08;0.28;18.6;1;1;3;9.4;7.2;0.12;-3.4;-2.2
Mallorca;27;8.0;7;91;30;33.0;11.37;3.75;0.08;0.23;18.9;6;0;0;7.0;7.0;0.08;0.0;0.0
Osasuna;24;8.0;11;94;27;28.7;11.75;3.38;0.09;0.30;18.3;1;3;4;10.1;7.3;0.08;+0.9;+0.7
Rayo Vallecano;23;8.0;13;89;28;31.5;11.12;3.50;0.12;0.39;17.4;6;2;2;10.1;8.6;0.10;+2.9;+2.4
Real Madrid;22;7.0;21;117;47;40.2;16.71;6.71;0.17;0.43;17.1;3;1;1;12.6;11.8;0.10;+8.4;+8.2
Real Sociedad;26;7.0;10;94;33;35.1;13.43;4.71;0.09;0.24;17.9;5;2;3;11.5;9.3;0.10;-1.5;-1.3
Sevilla;23;6.0;10;81;29;35.8;13.50;4.83;0.11;0.31;17.6;0;1;1;9.1;8.3;0.10;+0.9;+0.7
Valencia;25;8.0;11;89;31;34.8;11.12;3.87;0.10;0.29;18.8;5;2;2;9.2;7.7;0.09;+1.8;+1.3
Villarreal;22;6.0;6;59;21;35.6;9.83;3.50;0.10;0.29;15.8;2;0;0;7.0;7.0;0.12;-1.0;-1.0
