Rk;Player;Nation;Pos;Squad;Age;Born;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;Matches;
1;Luis Abram\Luis-Abram;pe PER;DF;Granada;25-218;1996;3;2;154;1.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
2;Marcos Acuña\Marcos-Acuna;ar ARG;DF;Sevilla;29-340;1991;5;5;433;4.8;0;1;0;0;0;0;0;0.00;0.21;0.21;0.00;0.21;0.7;0.7;1.2;1.9;0.14;0.26;0.40;0.14;0.40;Matches
3;Martin Agirregabiria\Martin-Agirregabiria;es ESP;DF;Alavés;25-146;1996;4;4;338;3.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.2;0.02;0.03;0.05;0.02;0.05;Matches
4;Julen Agirrezabala\Julen-Agirrezabala;es ESP;GK;Athletic Club;20-281;2000;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
5;Joseph Aidoo\Joseph-Aidoo;gh GHA;DF;Celta Vigo;26-004;1995;3;1;93;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches
6;Carlos Akapo\Carlos-Akapo;gq EQG;DF;Cádiz;28-205;1993;5;4;358;4.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.01;0.01;0.00;0.01;Matches
7;Paul Akouokou\Paul-Akouokou;ci CIV;MF;Betis;23-287;1997;1;1;81;0.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.02;0.00;0.02;0.02;0.02;Matches
8;David Alaba\David-Alaba;at AUT;DF;Real Madrid;29-101;1992;6;6;540;6.0;0;2;0;0;0;0;0;0.00;0.33;0.33;0.00;0.33;0.1;0.1;0.7;0.8;0.01;0.12;0.13;0.01;0.13;Matches
9;Tomás Alarcón\Tomas-Alarcon;cl CHI;MF;Cádiz;22-257;1999;8;7;659;7.3;0;1;0;0;0;4;0;0.00;0.14;0.14;0.00;0.14;0.6;0.6;0.3;0.9;0.09;0.04;0.13;0.09;0.13;Matches
10;Jordi Alba\Jordi-Alba;es ESP;DF;Barcelona;32-196;1989;3;3;270;3.0;0;1;0;0;0;1;0;0.00;0.33;0.33;0.00;0.33;0.4;0.4;0.7;1.2;0.15;0.24;0.39;0.15;0.39;Matches
