Squad;# Pl;Age;Poss;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;
Alavés;20;28.5;46.3;3;33;270;3.0;1;0;0;1;1;8;1;0.33;0.00;0.33;0.00;0.00;2.6;1.8;1.3;3.1;0.85;0.42;1.27;0.60;1.02
Athletic Club;18;26.6;41.5;2;22;180;2.0;1;1;1;0;0;3;0;0.50;0.50;1.00;0.50;1.00;2.2;2.2;1.2;3.4;1.10;0.62;1.72;1.10;1.72
Atlético Madrid;16;28.0;44.5;2;22;180;2.0;3;3;3;0;0;7;1;1.50;1.50;3.00;1.50;3.00;2.7;2.7;2.3;5.0;1.35;1.13;2.48;1.35;2.48
Barcelona;17;27.4;64.5;2;22;180;2.0;5;4;5;0;0;4;1;2.50;2.00;4.50;2.50;4.50;3.7;3.7;2.9;6.6;1.87;1.43;3.30;1.87;3.30
Betis;20;27.8;70.5;2;22;180;2.0;1;1;1;0;0;7;0;0.50;0.50;1.00;0.50;1.00;2.4;2.4;1.2;3.7;1.21;0.62;1.83;1.21;1.83
Cádiz;17;28.6;34.0;2;22;180;2.0;2;0;1;1;1;1;0;1.00;0.00;1.00;0.50;0.50;1.9;1.1;0.8;1.9;0.93;0.39;1.32;0.55;0.94
Celta Vigo;18;28.4;53.5;2;22;180;2.0;1;0;0;1;1;7;1;0.50;0.00;0.50;0.00;0.00;2.2;1.5;1.2;2.8;1.12;0.61;1.73;0.77;1.38
Elche;16;29.9;54.0;2;22;180;2.0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;1.1;1.1;1.0;2.1;0.53;0.49;1.03;0.53;1.03
Espanyol;22;28.5;47.0;3;33;270;3.0;0;0;0;0;0;9;1;0.00;0.00;0.00;0.00;0.00;3.0;3.0;1.8;4.7;0.99;0.58;1.57;0.99;1.57
Getafe;19;27.5;56.5;2;22;180;2.0;0;0;0;0;0;6;1;0.00;0.00;0.00;0.00;0.00;1.7;1.7;0.9;2.6;0.83;0.46;1.28;0.83;1.28
Granada;17;28.7;43.5;2;22;180;2.0;1;1;1;0;0;5;0;0.50;0.50;1.00;0.50;1.00;1.1;1.1;1.0;2.1;0.55;0.50;1.05;0.55;1.05
Levante;20;28.9;48.0;2;22;180;2.0;4;3;4;0;0;8;1;2.00;1.50;3.50;2.00;3.50;3.0;3.0;1.6;4.6;1.48;0.80;2.28;1.48;2.28
Mallorca;20;27.8;44.7;3;33;270;3.0;3;2;3;0;0;8;0;1.00;0.67;1.67;1.00;1.67;2.2;2.2;1.6;3.7;0.73;0.52;1.24;0.73;1.24
Osasuna;18;27.8;49.5;2;22;180;2.0;0;0;0;0;1;7;0;0.00;0.00;0.00;0.00;0.00;3.1;2.3;1.7;4.0;1.55;0.85;2.40;1.17;2.02
Rayo Vallecano;18;27.3;32.0;2;22;180;2.0;0;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;0.8;0.8;0.4;1.2;0.38;0.22;0.59;0.38;0.59
Real Madrid;17;28.9;60.0;2;22;180;2.0;7;6;7;0;0;4;0;3.50;3.00;6.50;3.50;6.50;3.0;3.0;2.3;5.3;1.48;1.17;2.65;1.48;2.65
Real Sociedad;19;25.4;49.5;2;22;180;2.0;3;1;2;1;1;7;0;1.50;0.50;2.00;1.00;1.50;2.9;2.1;1.8;4.0;1.43;0.92;2.35;1.06;1.99
Sevilla;20;28.6;68.5;2;22;180;2.0;4;1;3;1;1;3;0;2.00;0.50;2.50;1.50;2.00;4.3;3.5;3.0;6.5;2.13;1.52;3.65;1.75;3.27
Valencia;19;25.9;42.7;3;33;270;3.0;5;3;3;2;2;9;1;1.67;1.00;2.67;1.00;2.00;4.8;3.3;2.7;6.0;1.61;0.89;2.50;1.11;1.99
Villarreal;17;28.5;60.0;2;22;180;2.0;0;0;0;0;0;9;1;0.00;0.00;0.00;0.00;0.00;1.7;1.7;1.3;3.0;0.83;0.67;1.50;0.83;1.50
